"SkinScNew","SkinScNewRC","Mean","Sex","AgeM","Generation","F","Is12Score","dps_SkinScore","altDogID","altSireID","altDamID"
5,4,1,2,232,9.04,0.05,0,15,"R5199","R4174","R3311"
1,1,1,2,232,9.04,0.05,1,1,"R5200","R4174","R3311"
3,3,1,1,232,9.04,0.05,0,7,"R5201","R4174","R3311"
3,3,1,1,229,9.19,0.05,0,7,"R5344","R2534","R1444"
5,4,1,1,232,9.04,0.05,0,15,"R5202","R4174","R3311"
3,3,1,1,229,9.19,0.05,0,7,"R5345","R2534","R1444"
5,4,1,2,232,9.04,0.05,0,15,"R5203","R4174","R3311"
5,4,1,2,232,9.04,0.05,0,15,"R5205","R4174","R3311"
5,4,1,2,232,9.04,0.05,0,15,"R5206","R4174","R3311"
3,3,1,2,229,9.19,0.05,0,7,"R5346","R2534","R1444"
2,2,1,1,232,9.04,0.05,1,7,"R5207","R4174","R3311"
5,4,1,1,229,9.19,0.05,0,15,"R5347","R2534","R1444"
2,2,1,2,229,9.74,0.05,1,7,"R5349","R3773","R3204"
1,1,1,1,232,8.46,0.04,1,1,"R5208","R1667","R3638"
5,4,1,2,232,8.46,0.04,0,15,"R5209","R1667","R3638"
3,3,1,2,229,9.19,0.05,0,7,"R5350","R2534","R1444"
2,2,1,1,232,8.46,0.04,1,7,"R5210","R1667","R3638"
5,4,1,2,229,9.74,0.05,0,15,"R5351","R3773","R3204"
2,2,1,2,232,8.46,0.04,1,7,"R5211","R1667","R3638"
5,4,1,1,232,8.46,0.04,0,15,"R5212","R1667","R3638"
1,1,1,1,229,9.74,0.05,1,1,"R5352","R3773","R3204"
5,4,1,1,232,8.46,0.04,0,15,"R5213","R1667","R3638"
5,4,1,2,232,8.46,0.04,0,15,"R5214","R1667","R3638"
3,3,1,2,229,9.74,0.05,0,7,"R5353","R3773","R3204"
1,1,1,1,232,8.46,0.04,1,1,"R5215","R1667","R3638"
5,4,1,1,229,9.74,0.05,0,15,"R5354","R3773","R3204"
5,4,1,2,232,8.65,0.04,0,15,"R5216","R1377","R2476"
5,4,1,2,232,8.65,0.04,0,15,"R5217","R1377","R2476"
2,2,1,2,229,9.24,0.04,1,7,"R5355","R2608","R4060"
1,1,1,2,232,8.65,0.04,1,1,"R5218","R1377","R2476"
5,4,1,2,232,8.65,0.04,0,15,"R5219","R1377","R2476"
5,4,1,2,232,8.65,0.04,0,15,"R5220","R1377","R2476"
2,2,1,1,232,8.65,0.04,1,5,"R5221","R1377","R2476"
4,4,1,1,232,8.65,0.04,0,11,"R5222","R1377","R2476"
3,3,1,1,229,9.24,0.04,0,7,"R5356","R2608","R4060"
5,4,1,1,229,10.56,0.09,0,15,"R5357","R3773","R2359"
5,4,1,2,229,10.56,0.09,0,15,"R5358","R3773","R2359"
1,1,1,2,229,10.56,0.09,1,1,"R5359","R3773","R2359"
3,3,1,2,232,9.36,0.03,0,7,"R5226","R2534","R2057"
3,3,1,1,232,9.36,0.03,0,7,"R5227","R2534","R2057"
2,2,1,2,232,10.25,0.13,1,7,"R5228","R2534","R2941"
2,2,1,1,232,10.25,0.13,1,7,"R5229","R2534","R2941"
1,1,1,2,232,10.25,0.13,1,1,"R5230","R2534","R2941"
1,1,1,2,232,10.25,0.13,1,1,"R5231","R2534","R2941"
5,4,1,1,232,10.25,0.13,0,15,"R5232","R2534","R2941"
2,2,1,2,229,9.47,0.05,1,7,"R5360","R2553","R3732"
3,3,1,2,232,10.25,0.13,0,7,"R5233","R2534","R2941"
5,4,1,2,232,10.25,0.13,0,15,"R5234","R2534","R2941"
1,1,1,1,229,9.47,0.05,1,1,"R5361","R2553","R3732"
3,3,1,1,229,9.47,0.05,0,7,"R5362","R2553","R3732"
2,2,1,2,232,10.25,0.13,1,5,"R5235","R2534","R2941"
5,4,1,2,228,8.96,0.05,0,15,"R5363","R2553","R1957"
5,4,1,1,232,9.93,0.09,0,15,"R5236","R2534","R3988"
1,1,1,1,228,8.96,0.05,1,1,"R5364","R2553","R1957"
5,4,1,1,232,9.93,0.09,0,15,"R5237","R2534","R3988"
2,2,1,2,232,9.93,0.09,1,5,"R5238","R2534","R3988"
5,4,1,1,232,9.93,0.09,0,15,"R5239","R2534","R3988"
1,1,1,1,232,9.93,0.09,1,1,"R5240","R2534","R3988"
2,2,1,1,228,8.96,0.05,1,5,"R5365","R2553","R1957"
5,4,1,2,232,9.93,0.09,0,15,"R5241","R2534","R3988"
5,4,1,2,232,9.93,0.09,0,15,"R5242","R2534","R3988"
1,1,1,2,228,8.96,0.05,1,1,"R5366","R2553","R1957"
2,2,1,1,228,9.66,0.13,1,7,"R5367","R2534","R1545"
3,3,1,2,228,9.66,0.13,0,7,"R5368","R2534","R1545"
1,1,1,2,228,9.66,0.13,1,1,"R5369","R2534","R1545"
2,2,1,1,228,9.66,0.13,1,7,"R5370","R2534","R1545"
5,4,1,2,228,9.66,0.13,0,15,"R5371","R2534","R1545"
1,1,1,1,228,9.66,0.13,1,1,"R5372","R2534","R1545"
3,3,1,1,228,9.68,0.04,0,7,"R5375","R2608","R3902"
3,3,1,2,232,9.32,0.09,0,7,"R5243","R258","R1700"
1,1,1,1,228,9.68,0.04,1,1,"R5376","R2608","R3902"
5,4,1,1,232,9.32,0.09,0,15,"R5244","R258","R1700"
3,3,1,2,228,9.68,0.04,0,7,"R5377","R2608","R3902"
2,2,1,1,228,9.68,0.04,1,7,"R5378","R2608","R3902"
5,4,1,1,232,9.32,0.09,0,15,"R5245","R258","R1700"
5,4,1,1,232,9.32,0.09,0,15,"R5246","R258","R1700"
1,1,1,1,232,9.32,0.09,1,1,"R5247","R258","R1700"
1,1,1,2,228,9.68,0.04,1,1,"R5379","R2608","R3902"
3,3,1,1,228,9.68,0.04,0,7,"R5380","R2608","R3902"
5,4,1,2,232,8.84,0.11,0,15,"R5249","R4174","R3147"
3,3,1,1,232,8.84,0.11,0,7,"R5250","R4174","R3147"
5,4,1,2,228,9.15,0.04,0,15,"R5381","R2553","R2735"
2,2,1,1,228,9.15,0.04,1,7,"R5382","R2553","R2735"
1,1,1,2,228,9.15,0.04,1,1,"R5383","R2553","R2735"
5,4,1,1,232,8.84,0.11,0,15,"R5251","R4174","R3147"
5,4,1,2,228,9.15,0.04,0,15,"R5384","R2553","R2735"
2,2,1,2,232,8.84,0.11,1,7,"R5252","R4174","R3147"
5,4,1,1,228,9.15,0.04,0,15,"R5385","R2553","R2735"
1,1,1,2,228,9.15,0.04,1,1,"R5386","R2553","R2735"
3,3,1,1,228,9.15,0.04,0,7,"R5387","R2553","R2735"
1,1,1,2,228,9.15,0.04,1,1,"R5388","R2553","R2735"
2,2,1,1,228,9.15,0.04,1,7,"R5389","R2553","R2735"
2,2,1,1,232,8.84,0.11,1,7,"R5253","R4174","R3147"
3,3,1,2,232,8.84,0.11,0,7,"R5254","R4174","R3147"
5,4,1,2,232,8.84,0.11,0,15,"R5255","R4174","R3147"
5,4,1,1,228,9.15,0.04,0,15,"R5390","R2553","R2735"
2,2,1,2,228,8.52,0.05,1,7,"R5391","R2608","R3391"
5,4,1,2,232,9.68,0.04,0,15,"R5256","R2534","R3667"
3,3,1,2,232,9.68,0.04,0,7,"R5257","R2534","R3667"
3,3,1,1,228,8.52,0.05,0,7,"R5392","R2608","R3391"
1,1,1,1,232,9.68,0.04,1,1,"R5258","R2534","R3667"
2,2,1,2,228,8.52,0.05,1,5,"R5393","R2608","R3391"
3,3,1,2,228,8.52,0.05,0,7,"R5394","R2608","R3391"
2,2,1,1,228,8.52,0.05,1,7,"R5395","R2608","R3391"
5,4,1,2,228,8.52,0.05,0,7,"R5396","R2608","R3391"
3,3,1,2,232,9.68,0.04,0,7,"R5260","R2534","R3667"
5,4,1,2,232,9.68,0.04,0,15,"R5261","R2534","R3667"
2,2,1,1,228,8.52,0.05,1,7,"R5397","R2608","R3391"
5,4,1,2,232,8.63,0.04,0,15,"R5265","R2553","R3086"
5,4,1,2,228,9.62,0.07,0,15,"R5399","R4127","R1327"
5,4,1,1,228,9.62,0.07,0,15,"R5400","R4127","R1327"
5,4,1,1,228,9.62,0.07,0,15,"R5401","R4127","R1327"
1,1,1,1,232,8.63,0.04,1,1,"R5266","R2553","R3086"
5,4,1,1,228,9.62,0.07,0,11,"R5402","R4127","R1327"
3,3,1,1,232,8.63,0.04,0,7,"R5267","R2553","R3086"
1,1,1,1,232,8.63,0.04,1,1,"R5268","R2553","R3086"
2,2,1,2,232,8.63,0.04,1,7,"R5269","R2553","R3086"
1,1,1,2,228,9.62,0.07,1,1,"R5403","R4127","R1327"
1,1,1,2,232,8.63,0.04,1,1,"R5270","R2553","R3086"
5,4,1,1,228,9.62,0.07,0,11,"R5404","R4127","R1327"
5,4,1,1,228,9.62,0.07,0,15,"R5405","R4127","R1327"
1,1,1,1,232,8.63,0.04,1,1,"R5271","R2553","R3086"
1,1,1,2,232,8.63,0.04,1,1,"R5272","R2553","R3086"
3,3,1,2,228,9.9,0.09,0,7,"R5407","R4240","R3696"
3,3,1,1,228,9.9,0.09,0,7,"R5408","R4240","R3696"
3,3,1,1,228,9.9,0.09,0,7,"R5409","R4240","R3696"
3,3,1,1,231,8.6,0.03,0,7,"R5274","R2553","R1467"
5,4,1,2,228,9.9,0.09,0,15,"R5410","R4240","R3696"
5,4,1,2,228,9.9,0.09,0,15,"R5411","R4240","R3696"
1,1,1,1,231,8.6,0.03,1,1,"R5275","R2553","R1467"
5,4,1,1,231,8.6,0.03,0,15,"R5276","R2553","R1467"
3,3,1,1,228,9.9,0.09,0,7,"R5413","R4240","R3696"
2,2,1,1,231,8.6,0.03,1,5,"R5277","R2553","R1467"
1,1,1,1,231,8.6,0.03,1,1,"R5278","R2553","R1467"
5,4,1,2,231,8.6,0.03,0,15,"R5279","R2553","R1467"
3,3,1,1,232,9.68,0.04,0,7,"R5262","R2534","R3667"
1,1,1,2,228,10.48,0.17,1,1,"R5429","R2534","R3775"
5,4,1,1,232,8.65,0.04,0,15,"R5224","R1377","R2476"
5,4,1,2,232,9.32,0.09,0,15,"R5248","R258","R1700"
2,2,1,1,232,9.68,0.04,1,7,"R5263","R2534","R3667"
2,2,1,1,228,9.9,0.09,1,7,"R5414","R4240","R3696"
2,2,1,1,228,9.62,0.07,1,7,"R5415","R4127","R1327"
5,4,1,2,232,9.68,0.04,0,15,"R5264","R2534","R3667"
3,3,1,2,228,8.52,0.05,0,7,"R5398","R2608","R3391"
5,4,1,2,231,8.92,0.05,0,15,"R5280","R2608","R4105"
5,4,1,2,231,8.92,0.05,0,15,"R5281","R2608","R4105"
1,1,1,1,231,8.92,0.05,1,1,"R5282","R2608","R4105"
1,1,1,2,231,8.92,0.05,1,1,"R5283","R2608","R4105"
5,4,1,1,231,8.92,0.05,0,15,"R5284","R2608","R4105"
2,2,1,1,231,8.92,0.05,1,7,"R5285","R2608","R4105"
5,4,1,2,231,8.92,0.05,0,15,"R5286","R2608","R4105"
1,1,1,2,231,8.92,0.05,1,1,"R5287","R2608","R4105"
5,4,1,1,231,8.92,0.05,0,15,"R5288","R2608","R4105"
1,1,1,2,228,9.03,0.05,1,1,"R5420","R2059","R3822"
1,1,1,1,231,8.92,0.05,1,1,"R5289","R2608","R4105"
3,3,1,1,226,9.64,0.06,0,7,"R5492","R2553","R2941"
3,3,1,2,226,9.55,0.07,0,7,"R5509","R2608","R2940"
2,2,1,1,225,10.18,0.08,1,7,"R5520","R4127","R4373"
1,1,1,2,226,9.64,0.06,1,1,"R5493","R2553","R2941"
2,2,1,1,226,9.55,0.07,1,7,"R5510","R2608","R2940"
5,4,1,2,227,8.63,0.00800000137997961,0,15,"R5458","R2534","R4265"
2,2,1,1,227,10.19,0.07,1,5,"R5463","R4127","R3928"
2,2,1,2,227,9.59,0.07,1,7,"R5474","R4240","R2197"
3,3,1,1,227,8.66,0.04,0,7,"R5475","R2608","R2933"
5,4,1,1,226,9.64,0.06,0,15,"R5494","R2553","R2941"
3,3,1,2,226,9.37,0.05,0,7,"R5501","R2534","R2489"
3,3,1,2,226,9.55,0.07,0,7,"R5511","R2608","R2940"
2,2,1,2,225,10.16,0.1,1,7,"R5529","R2534","R4383"
1,1,1,1,225,8.75,0.04,1,1,"R5533","R2553","R2057"
5,4,1,2,228,9.8,0.07,0,15,"R5444","R2553","R2475"
1,1,1,2,227,8.63,0.00800000137997961,1,1,"R5459","R2534","R4265"
5,4,1,1,227,10.19,0.07,0,15,"R5464","R4127","R3928"
2,2,1,1,227,9.43,0.05,1,5,"R5470","R3148","R3998"
3,3,1,2,227,8.66,0.04,0,7,"R5477","R2608","R2933"
1,1,1,2,226,9.17,0.02,1,1,"R5490","R2534","R2671"
5,4,1,2,226,9.64,0.06,0,15,"R5495","R2553","R2941"
3,3,1,1,226,9.37,0.05,0,7,"R5502","R2534","R2489"
2,2,1,1,226,9.55,0.07,1,7,"R5512","R2608","R2940"
5,4,1,1,225,10.18,0.08,0,15,"R5521","R4127","R4373"
1,1,1,1,225,10.16,0.1,1,1,"R5530","R2534","R4383"
2,2,1,2,225,8.75,0.04,1,5,"R5534","R2553","R2057"
1,1,1,1,228,10.07,0.11,1,1,"R5430","R2534","R2958"
1,1,1,1,227,8.63,0.00800000137997961,1,1,"R5460","R2534","R4265"
2,2,1,2,227,10.19,0.07,1,7,"R5465","R4127","R3928"
1,1,1,2,227,9.43,0.05,1,1,"R5471","R3148","R3998"
3,3,1,1,227,9.59,0.07,0,7,"R5478","R4240","R2197"
3,3,1,1,227,8.66,0.04,0,7,"R5479","R2608","R2933"
2,2,1,2,226,9.17,0.02,1,7,"R5491","R2534","R2671"
5,4,1,2,226,9.64,0.06,0,15,"R5496","R2553","R2941"
3,3,1,1,226,9.37,0.05,0,7,"R5503","R2534","R2489"
3,3,1,2,226,9.55,0.07,0,7,"R5513","R2608","R2940"
2,2,1,2,225,10.18,0.08,1,7,"R5522","R4127","R4373"
2,2,1,2,225,8.75,0.04,1,7,"R5535","R2553","R2057"
1,1,1,2,227,9.86,0.07,1,1,"R5451","R4127","R3668"
2,2,1,1,227,10.19,0.07,1,5,"R5466","R4127","R3928"
1,1,1,2,227,9.43,0.05,1,1,"R5472","R3148","R3998"
1,1,1,1,227,9.59,0.07,1,1,"R5480","R4240","R2197"
5,4,1,2,227,8.66,0.04,0,15,"R5481","R2608","R2933"
5,4,1,1,226,9.64,0.06,0,15,"R5497","R2553","R2941"
1,1,1,1,226,9.37,0.05,1,1,"R5504","R2534","R2489"
3,3,1,2,226,9.55,0.07,0,7,"R5514","R2608","R2940"
5,4,1,2,225,10.18,0.08,0,15,"R5523","R4127","R4373"
5,4,1,1,225,8.75,0.04,0,7,"R5536","R2553","R2057"
2,2,1,1,228,9.8,0.07,1,5,"R5446","R2553","R2475"
5,4,1,2,233,10.04,0.09,0,15,"R5190","R2534","R3831"
3,3,1,1,227,10.19,0.07,0,7,"R5467","R4127","R3928"
3,3,1,2,227,9.43,0.05,0,7,"R5473","R3148","R3998"
1,1,1,1,227,9.59,0.07,1,1,"R5482","R4240","R2197"
2,2,1,1,227,8.66,0.04,1,7,"R5483","R2608","R2933"
5,4,1,2,226,9.64,0.06,0,11,"R5498","R2553","R2941"
5,4,1,2,226,9.37,0.05,0,15,"R5505","R2534","R2489"
5,4,1,2,226,9.55,0.07,0,15,"R5515","R2608","R2940"
5,4,1,1,225,10.18,0.08,0,15,"R5524","R4127","R4373"
5,4,1,2,225,10.16,0.1,0,15,"R5532","R2534","R4383"
1,1,1,2,225,8.75,0.04,1,1,"R5537","R2553","R2057"
5,4,1,2,228,9.8,0.07,0,11,"R5447","R2553","R2475"
5,4,1,2,227,9.86,0.07,0,15,"R5452","R4127","R3668"
1,1,1,1,227,8.63,0.00800000137997961,1,1,"R5461","R2534","R4265"
3,3,1,2,227,10.19,0.07,0,7,"R5468","R4127","R3928"
5,4,1,1,227,9.59,0.07,0,15,"R5484","R4240","R2197"
2,2,1,2,227,8.66,0.04,1,7,"R5485","R2608","R2933"
5,4,1,1,226,9.37,0.05,0,15,"R5506","R2534","R2489"
1,1,1,1,226,9.55,0.07,1,1,"R5516","R2608","R2940"
2,2,1,1,225,10.18,0.08,1,7,"R5525","R4127","R4373"
5,4,1,1,225,8.75,0.04,0,15,"R5538","R2553","R2057"
5,4,1,2,232,8.63,0.04,0,15,"R5273","R2553","R3086"
2,2,1,1,228,9.9,0.09,1,7,"R5418","R4240","R3696"
5,4,1,1,228,9.8,0.07,0,15,"R5448","R2553","R2475"
2,2,1,1,227,9.59,0.07,1,7,"R5486","R4240","R2197"
1,1,1,2,227,8.66,0.04,1,1,"R5487","R2608","R2933"
5,4,1,1,226,9.64,0.06,0,15,"R5499","R2553","R2941"
1,1,1,2,226,9.37,0.05,1,1,"R5507","R2534","R2489"
5,4,1,1,225,10.18,0.08,0,15,"R5526","R4127","R4373"
3,3,1,1,227,9.86,0.07,0,7,"R5454","R4127","R3668"
2,2,1,2,227,8.63,0.00800000137997961,1,7,"R5462","R2534","R4265"
3,3,1,1,227,9.59,0.07,0,7,"R5488","R4240","R2197"
5,4,1,1,226,9.37,0.05,0,15,"R5508","R2534","R2489"
5,4,1,1,226,9.55,0.07,0,15,"R5517","R2608","R2940"
2,2,1,1,225,10.18,0.08,1,7,"R5527","R4127","R4373"
2,2,1,2,226,9.64,0.06,1,5,"R5500","R2553","R2941"
5,4,1,1,226,9.55,0.07,0,15,"R5518","R2608","R2940"
5,4,1,2,225,10.18,0.08,0,15,"R5528","R4127","R4373"
2,2,1,2,231,9.96,0.06,1,7,"R5290","R2534","R3745"
3,3,1,2,228,10.31,0.09,0,7,"R5421","R4127","R3189"
5,4,1,1,228,10.31,0.09,0,15,"R5422","R4127","R3189"
1,1,1,2,228,10.31,0.09,1,1,"R5423","R4127","R3189"
3,3,1,1,231,9.96,0.06,0,7,"R5291","R2534","R3745"
2,2,1,1,228,10.31,0.09,1,5,"R5424","R4127","R3189"
1,1,1,1,231,9.96,0.06,1,1,"R5292","R2534","R3745"
2,2,1,1,228,10.31,0.09,1,5,"R5427","R4127","R3189"
2,2,1,1,231,9.96,0.06,1,7,"R5293","R2534","R3745"
1,1,1,1,228,10.31,0.09,1,1,"R5428","R4127","R3189"
3,3,1,1,231,8.28,0.02,0,7,"R5294","R4174","R1917"
5,4,1,1,231,8.28,0.02,0,15,"R5295","R4174","R1917"
5,4,1,2,231,8.28,0.02,0,11,"R5296","R4174","R1917"
1,1,1,1,231,8.28,0.02,1,1,"R5297","R4174","R1917"
3,3,1,1,231,8.28,0.02,0,7,"R5298","R4174","R1917"
5,4,1,1,231,8.28,0.02,0,15,"R5299","R4174","R1917"
5,4,1,2,231,8.28,0.02,0,15,"R5300","R4174","R1917"
5,4,1,1,231,8.28,0.02,0,15,"R5301","R4174","R1917"
5,4,1,1,231,8.28,0.02,0,15,"R5302","R4174","R1917"
5,4,1,2,231,8.28,0.02,0,15,"R5303","R4174","R1917"
5,4,1,2,231,8.28,0.02,0,15,"R5304","R4174","R1917"
5,4,1,1,228,10.48,0.17,0,15,"R5432","R2534","R3775"
3,3,1,2,228,10.48,0.17,0,7,"R5433","R2534","R3775"
5,4,1,1,228,10.48,0.17,0,15,"R5434","R2534","R3775"
5,4,1,2,228,10.48,0.17,0,15,"R5435","R2534","R3775"
5,4,1,2,231,9.75,0.04,0,15,"R5305","R2534","R3306"
4,4,1,1,228,10.48,0.17,0,11,"R5436","R2534","R3775"
1,1,1,2,231,8.76,0.03,1,1,"R5306","R2534","R1944"
2,2,1,2,231,8.76,0.03,1,7,"R5308","R2534","R1944"
2,2,1,2,228,10.07,0.11,1,7,"R5439","R2534","R2958"
5,4,1,2,228,10.07,0.11,0,15,"R5440","R2534","R2958"
2,2,1,1,231,8.76,0.03,1,7,"R5309","R2534","R1944"
2,2,1,2,231,8.76,0.03,1,7,"R5310","R2534","R1944"
3,3,1,2,228,10.07,0.11,0,7,"R5441","R2534","R2958"
2,2,1,1,231,8.76,0.03,1,7,"R5311","R2534","R1944"
1,1,1,1,228,10.07,0.11,1,1,"R5442","R2534","R2958"
3,3,1,2,228,10.07,0.11,0,7,"R5443","R2534","R2958"
2,2,1,1,231,9.36,0.04,1,1,"R5312","R4127","R1441"
1,1,1,1,231,9.36,0.04,1,1,"R5313","R4127","R1441"
1,1,1,1,231,9.36,0.04,1,1,"R5314","R4127","R1441"
5,4,1,1,231,9.36,0.04,0,15,"R5315","R4127","R1441"
3,3,1,1,231,9.36,0.04,0,7,"R5316","R4127","R1441"
5,4,1,2,228,9.8,0.07,0,15,"R5449","R2553","R2475"
2,2,1,1,231,9.13,0.05,1,7,"R5317","R2553","R2800"
5,4,1,2,231,9.13,0.05,0,15,"R5318","R2553","R2800"
3,3,1,2,227,9.86,0.07,0,7,"R5455","R4127","R3668"
3,3,1,2,227,9.86,0.07,0,7,"R5456","R4127","R3668"
5,4,1,1,231,9.13,0.05,0,15,"R5319","R2553","R2800"
5,4,1,2,231,9.13,0.05,0,15,"R5320","R2553","R2800"
3,3,1,2,226,9.55,0.07,0,7,"R5519","R2608","R2940"
4,4,1,1,225,9.49,0.05,0,7,"R5545","R4240","R1086"
1,1,1,1,225,9.49,0.05,1,1,"R5546","R4240","R1086"
3,3,1,1,225,9.49,0.05,0,7,"R5547","R4240","R1086"
3,3,1,1,225,9.49,0.05,0,7,"R5548","R4240","R1086"
5,4,1,2,225,8.96,0.05,0,15,"R5539","R2553","R3147"
2,2,1,2,225,8.96,0.05,1,7,"R5540","R2553","R3147"
5,4,1,2,225,8.96,0.05,0,15,"R5541","R2553","R3147"
4,4,1,1,225,8.96,0.05,0,11,"R5542","R2553","R3147"
5,4,1,1,225,8.96,0.05,0,15,"R5543","R2553","R3147"
1,1,1,1,225,8.96,0.05,1,1,"R5544","R2553","R3147"
1,1,1,1,225,9.53,0.04,1,1,"R5549","R2608","R4267"
5,4,1,2,225,9.53,0.04,0,15,"R5551","R2608","R4267"
2,2,1,1,225,9.53,0.04,1,5,"R5552","R2608","R4267"
3,3,1,1,225,9.53,0.04,0,7,"R5553","R2608","R4267"
5,4,1,1,225,8.84,0.07,0,7,"R5554","R3148","R1425"
1,1,1,2,225,8.84,0.07,1,1,"R5555","R3148","R1425"
3,3,1,1,225,8.84,0.07,0,7,"R5556","R3148","R1425"
1,1,1,1,225,8.84,0.07,1,1,"R5557","R3148","R1425"
3,3,1,2,225,8.84,0.07,0,7,"R5558","R3148","R1425"
1,1,1,2,225,8.84,0.07,1,1,"R5559","R3148","R1425"
5,4,1,2,225,8.84,0.07,0,15,"R5560","R3148","R1425"
4,4,1,2,225,9.23,0.05,0,11,"R5561","R2608","R3988"
5,4,1,2,225,9.23,0.05,0,15,"R5562","R2608","R3988"
5,4,1,1,225,9.23,0.05,0,15,"R5563","R2608","R3988"
1,1,1,2,225,9.23,0.05,1,1,"R5564","R2608","R3988"
1,1,1,1,225,9.23,0.05,1,1,"R5565","R2608","R3988"
2,2,1,2,225,9.23,0.05,1,7,"R5566","R2608","R3988"
5,4,1,2,225,9.23,0.05,0,7,"R5567","R2608","R3988"
2,2,1,2,225,9.23,0.05,1,7,"R5568","R2608","R3988"
3,3,1,2,225,9.23,0.05,0,7,"R5569","R2608","R3988"
1,1,1,1,224,9.64,0.06,1,1,"R5570","R2608","R3542"
2,2,1,1,224,9.64,0.06,1,5,"R5571","R2608","R3542"
3,3,1,1,224,9.64,0.06,0,7,"R5572","R2608","R3542"
1,1,1,1,224,9.64,0.06,1,1,"R5574","R2608","R3542"
5,4,1,2,224,9.1,0.08,0,15,"R5575","R4372","R1659"
3,3,1,1,224,9.1,0.08,0,7,"R5576","R4372","R1659"
2,2,1,1,224,9.1,0.08,1,5,"R5577","R4372","R1659"
2,2,1,1,224,9.1,0.08,1,7,"R5578","R4372","R1659"
5,4,1,1,224,9.1,0.08,0,15,"R5579","R4372","R1659"
3,3,1,1,224,9.74,0.07,0,7,"R5580","R2534","R2800"
3,3,1,1,224,9.74,0.07,0,7,"R5581","R2534","R2800"
2,2,1,2,224,9.74,0.07,1,7,"R5582","R2534","R2800"
4,4,1,1,224,9.74,0.07,0,11,"R5583","R2534","R2800"
2,2,1,1,224,9.74,0.07,1,7,"R5584","R2534","R2800"
2,2,1,1,224,9.74,0.07,1,7,"R5585","R2534","R2800"
3,3,1,2,224,9.74,0.07,0,7,"R5586","R2534","R2800"
2,2,1,2,224,9.74,0.07,1,7,"R5588","R2534","R2800"
1,1,1,1,224,8.71,0.06,1,1,"R5590","R1667","R4105"
3,3,1,2,224,8.71,0.06,0,7,"R5591","R1667","R4105"
3,3,1,1,224,8.71,0.06,0,7,"R5592","R1667","R4105"
5,4,1,2,224,8.71,0.06,0,15,"R5593","R1667","R4105"
1,1,1,2,224,8.71,0.06,1,1,"R5594","R1667","R4105"
2,2,1,1,224,8.71,0.06,1,7,"R5595","R1667","R4105"
