"SkinScNew","SkinScNewRC","Mean","Sex","AgeM","Generation","F","Is12Score","dps_SkinScore","altDogID","altSireID","altDamID"
5,4,1,2,230,8.85,0.06,0,15,"R5321","R4174","R2271"
1,1,1,1,233,10.01,0.09,1,1,"R5181","R2534","R3928"
5,4,1,1,227,8.63,0.00800000137997961,0,15,"R5457","R2534","R4265"
5,4,1,1,230,8.85,0.06,0,15,"R5322","R4174","R2271"
1,1,1,2,230,8.85,0.06,1,1,"R5323","R4174","R2271"
3,3,1,1,230,8.85,0.06,0,7,"R5324","R4174","R2271"
5,4,1,1,233,10.01,0.09,0,15,"R5182","R2534","R3928"
5,4,1,1,230,8.85,0.06,0,15,"R5325","R4174","R2271"
3,3,1,2,230,8.85,0.06,0,7,"R5326","R4174","R2271"
2,2,1,1,233,10.01,0.09,1,7,"R5183","R2534","R3928"
1,1,1,2,230,8.85,0.06,1,1,"R5327","R4174","R2271"
2,2,1,1,230,8.85,0.06,1,7,"R5328","R4174","R2271"
2,2,1,2,230,8.85,0.06,1,7,"R5329","R4174","R2271"
5,4,1,2,233,10.01,0.09,0,15,"R5184","R2534","R3928"
1,1,1,2,230,8.85,0.06,1,1,"R5330","R4174","R2271"
5,4,1,2,233,10.04,0.09,0,15,"R5186","R2534","R3831"
2,2,1,1,233,10.04,0.09,1,7,"R5187","R2534","R3831"
2,2,1,1,230,10.33,0.14,1,7,"R5331","R2534","R3607"
5,4,1,2,230,10.33,0.14,0,15,"R5332","R2534","R3607"
2,2,1,1,233,10.04,0.09,1,7,"R5188","R2534","R3831"
5,4,1,2,230,10.33,0.14,0,7,"R5333","R2534","R3607"
2,2,1,2,230,10.33,0.14,1,7,"R5334","R2534","R3607"
5,4,1,1,230,10.33,0.14,0,15,"R5335","R2534","R3607"
3,3,1,2,233,10.04,0.09,0,7,"R5189","R2534","R3831"
5,4,1,2,230,10.33,0.14,0,15,"R5336","R2534","R3607"
2,2,1,1,230,9.53,0.06,1,7,"R5337","R4127","R2058"
5,4,1,1,233,9.68,0.06,0,15,"R5191","R4073","R2960"
5,4,1,1,233,9.68,0.06,0,15,"R5192","R4073","R2960"
5,4,1,1,233,9.68,0.06,0,15,"R5193","R4073","R2960"
1,1,1,1,230,9.53,0.06,1,1,"R5338","R4127","R2058"
2,2,1,1,230,9.53,0.06,1,7,"R5339","R4127","R2058"
3,3,1,1,230,9.53,0.06,0,7,"R5340","R4127","R2058"
5,4,1,1,233,9.68,0.06,0,15,"R5194","R4073","R2960"
5,4,1,1,233,9.68,0.06,0,15,"R5195","R4073","R2960"
1,1,1,1,230,9.53,0.06,1,1,"R5341","R4127","R2058"
2,2,1,2,233,9.68,0.06,1,5,"R5196","R4073","R2960"
2,2,1,2,230,9.53,0.06,1,7,"R5342","R4127","R2058"
3,3,1,1,230,9.53,0.06,0,7,"R5343","R4127","R2058"
5,4,1,2,233,9.68,0.06,0,15,"R5198","R4073","R2960"
