"altDogID","altSireID","altDamID"
"R2318","R258","R1002"
"R4372","R3148","R1327"
"R14552","R14551","R14551"
"R14553","R14551","R14551"
"R189","R72","R97"
"R223","R181","R116"
"R206","R168","R14551"
"R14554","R10","R14584"
"R256","R14706","R174"
"R60","R14551","R11"
"R2588","R1831","R623"
"R14555","R10","R14584"
"R2589","R1831","R623"
"R14556","R14551","R14551"
"R2534","R258","R1700"
"R88","R52","R40"
"R14557","R14551","R11"
"R207","R168","R175"
"R3366","R1178","R481"
"R3830","R2727","R1425"
"R36","R10","R14584"
"R134","R22","R39"
"R224","R181","R116"
"R14558","R14711","R14551"
"R14559","R14683","R14551"
"R190","R72","R97"
"R1377","R14642","R623"
"R14560","R14551","R14551"
"R193","R14702","R122"
"R3831","R2727","R1425"
"R1574","R14702","R175"
"R208","R168","R14551"
"R194","R14702","R122"
"R1575","R14702","R175"
"R1857","R238","R175"
"R1536","R179","R224"
"R1378","R14642","R623"
"R4373","R3148","R1327"
"R209","R168","R175"
"R2535","R258","R1700"
"R432","R14683","R133"
"R1128","R258","R174"
"R158","R72","R71"
"R242","R14551","R14551"
"R1127","R258","R174"
"R72","R33","R50"
"R14561","R14551","R14551"
"R245","R14583","R14700"
"R14562","R14734","R14551"
"R14563","R15820","R15737"
"R191","R95","R153"
"R2552","R497","R1425"
"R14564","R14551","R14551"
"R81","R14551","R14551"
"R14565","R14551","R14551"
"R1544","R14608","R176"
"R1129","R258","R174"
"R14566","R14551","R14551"
"R19","R10","R11"
"R1384","R14695","R244"
"R14567","R14551","R14551"
"R1130","R258","R174"
"R14568","R14551","R14551"
"R14569","R10","R11"
"R14570","R14551","R14551"
"R128","R14551","R14551"
"R14571","R15936","R15938"
"R258","R14715","R158"
"R37","R10","R11"
"R2151","R14702","R1378"
"R2553","R497","R1425"
"R1545","R14608","R176"
"R2595","R1702","R184"
"R1131","R258","R174"
"R68","R14563","R14551"
"R14572","R15840","R15823"
"R14573","R14551","R14551"
"R14574","R14551","R14551"
"R118","R19","R88"
"R14575","R14551","R14551"
"R14576","R14551","R14551"
"R14577","R14551","R14551"
"R14578","R14551","R14551"
"R3","R15960","R15959"
"R1","R15764","R15854"
"R14579","R14551","R14551"
"R4240","R3148","R2799"
"R3988","R2727","R2488"
"R14580","R14551","R14551"
"R14581","R14551","R14551"
"R449","R14722","R14551"
"R120","R83","R50"
"R52","R15897","R15969"
"R160","R45","R110"
"R38","R14717","R15"
"R3391","R165","R648"
"R226","R45","R184"
"R1593","R799","R624"
"R39","R14717","R15"
"R14582","R14551","R14551"
"R1594","R799","R624"
"R227","R45","R184"
"R1595","R799","R624"
"R3989","R2727","R2488"
"R210","R14551","R14551"
"R14583","R14551","R14551"
"R40","R14717","R15"
"R4383","R1564","R3147"
"R3990","R2727","R2488"
"R121","R83","R50"
"R14584","R14717","R11"
"R14585","R14551","R14551"
"R14586","R14722","R15217"
"R2395","R178","R305"
"R14587","R14551","R14708"
"R122","R83","R50"
"R14588","R15900","R15941"
"R2396","R178","R305"
"R25","R22","R14613"
"R14589","R14663","R14551"
"R1596","R799","R624"
"R180","R14551","R14551"
"R14590","R52","R14551"
"R448","R14567","R211"
"R123","R83","R50"
"R228","R45","R184"
"R14591","R14551","R14551"
"R279","R14702","R173"
"R14592","R1","R14551"
"R135","R52","R48"
"R14593","R14629","R3"
"R136","R52","R48"
"R91","R68","R47"
"R59","R33","R38"
"R14594","R14551","R14551"
"R76","R33","R29"
"R177","R95","R158"
"R196","R72","R104"
"R14595","R14734","R14597"
"R14596","R14551","R14551"
"R197","R72","R104"
"R14597","R14672","R15067"
"R14598","R14618","R14725"
"R3246","R2319","R1701"
"R14599","R14563","R14551"
"R82","R14551","R14551"
"R14600","R14551","R14551"
"R700","R179","R224"
"R2735","R1702","R1216"
"R14601","R6","R8"
"R127","R14551","R14551"
"R3247","R2319","R1701"
"R14602","R14552","R14604"
"R2870","R14648","R648"
"R14603","R14551","R14551"
"R1738","R449","R800"
"R4","R14551","R14551"
"R3998","R2553","R1545"
"R15","R6","R8"
"R612","R14702","R176"
"R3248","R2319","R1701"
"R198","R72","R104"
"R613","R14702","R176"
"R178","R95","R158"
"R14604","R95","R161"
"R14605","R14734","R14597"
"R14606","R14552","R14551"
"R14607","R14551","R14551"
"R14608","R15186","R15197"
