"altDogID","altSireID","altDamID"
"R14609","R14551","R14551"
"R14610","R14551","R14551"
"R14611","R14551","R14551"
"R179","R118","R155"
"R168","R14588","R15937"
"R288","R14568","R187"
"R622","R14702","R230"
"R4105","R1377","R1086"
"R984","R165","R185"
"R151","R14696","R117"
"R1409","R14695","R230"
"R707","R238","R116"
"R14612","R14702","R1131"
"R1564","R14608","R197"
"R623","R14702","R230"
"R1565","R14608","R197"
"R624","R14702","R230"
"R125","R31","R14551"
"R2174","R1178","R481"
"R3732","R1377","R1700"
"R14613","R6","R9"
"R1604","R539","R700"
"R2607","R1440","R244"
"R11","R6","R9"
"R138","R52","R56"
"R2608","R1440","R244"
"R2015","R14734","R538"
"R14614","R14734","R1128"
"R93","R45","R60"
"R3281","R1831","R1808"
"R14615","R22","R14687"
"R14616","R33","R37"
"R3400","R2059","R904"
"R14617","R14717","R14685"
"R14618","R15865","R15867"
"R14619","R14551","R14551"
"R2038","R14734","R1128"
"R14620","R14595","R1130"
"R14621","R14551","R14551"
"R159","R72","R14551"
"R248","R14551","R110"
"R14622","R15069","R16174"
"R4265","R14642","R1696"
"R129","R14551","R14551"
"R126","R31","R14551"
"R14623","R14717","R14677"
"R2039","R14734","R1128"
"R1612","R539","R227"
"R66","R14551","R15"
"R18","R6","R14685"
"R14624","R14551","R14551"
"R153","R45","R82"
"R3607","R1564","R1593"
"R169","R95","R147"
"R3608","R1564","R1593"
"R3147","R1377","R2075"
"R14625","R14551","R14551"
"R170","R95","R147"
"R1895","R14702","R984"
"R14626","R14551","R14551"
"R14627","R14551","R14551"
"R14628","R10","R8"
"R4267","R2553","R2800"
"R1425","R622","R221"
"R167","R95","R147"
"R130","R95","R79"
"R67","R14714","R15"
"R14629","R15853","R15848"
"R171","R95","R147"
"R95","R19","R14584"
"R3609","R1564","R1593"
"R306","R14552","R199"
"R14630","R14551","R14551"
"R4127","R196","R1425"
"R1000","R165","R211"
"R14631","R14551","R14551"
"R1001","R165","R211"
"R1431","R14702","R185"
"R97","R45","R71"
"R249","R142","R14551"
"R14632","R22","R18"
"R43","R22","R18"
"R2378","R14734","R1129"
"R1002","R165","R211"
"R14633","R14695","R14551"
"R4128","R196","R1425"
"R1003","R165","R211"
"R14634","R14551","R14551"
"R2056","R15460","R15548"
"R1440","R14648","R651"
"R1441","R14648","R651"
"R3422","R196","R549"
"R1442","R14648","R651"
"R307","R14552","R207"
"R139","R22","R88"
"R1007","R14721","R207"
"R14635","R6","R9"
"R1008","R14721","R207"
"R230","R14659","R122"
"R140","R22","R88"
"R77","R31","R11"
"R86","R31","R25"
"R141","R22","R88"
"R28","R22","R14677"
"R1443","R14648","R651"
"R142","R22","R88"
"R85","R31","R25"
"R1444","R14648","R651"
"R102","R19","R40"
"R29","R22","R14677"
"R648","R238","R226"
"R14636","R14551","R14551"
"R14637","R14551","R14551"
"R14638","R15957","R15934"
"R14639","R14734","R14551"
"R2319","R258","R1002"
"R649","R238","R226"
"R14640","R14551","R14551"
"R154","R95","R88"
"R14641","R14734","R14551"
"R182","R14572","R85"
"R14642","R15200","R15201"
"R14643","R14551","R14551"
"R650","R238","R226"
"R14644","R6","R14551"
"R104","R72","R37"
"R1917","R165","R700"
"R14645","R14551","R14551"
"R2197","R258","R612"
"R14646","R14551","R14551"
"R651","R238","R226"
"R14647","R14734","R14551"
"R2727","R14618","R1131"
"R1458","R242","R612"
"R199","R179","R176"
"R14648","R14733","R15878"
"R202","R14609","R14653"
"R14649","R95","R14551"
"R173","R14551","R86"
"R14650","R1377","R2538"
"R162","R14551","R14551"
"R479","R95","R227"
"R480","R95","R227"
"R144","R31","R14554"
"R4440","R3148","R2959"
"R3306","R2059","R1536"
"R14651","R14622","R14605"
"R481","R95","R227"
"R14652","R14551","R14551"
"R14653","R14551","R14551"
"R2057","R1377","R1232"
"R14654","R14551","R14551"
"R174","R95","R104"
"R3310","R1178","R1958"
"R3311","R1178","R1958"
"R14655","R14551","R14551"
"R99","R19","R67"
"R163","R31","R117"
"R175","R95","R104"
"R2058","R1377","R1232"
"R14656","R14671","R1128"
"R3638","R1377","R1231"
"R2059","R1377","R1232"
"R2474","R1702","R1693"
"R1466","R165","R648"
"R2060","R1377","R1232"
"R3639","R1377","R1231"
"R176","R95","R104"
"R164","R31","R117"
"R3640","R1377","R1231"
"R1467","R165","R648"
"R100","R19","R67"
"R14657","R14551","R14551"
"R14658","R14551","R14551"
"R3072","R1738","R1467"
"R200","R179","R147"
"R183","R14551","R116"
"R3109","R14701","R14551"
"R2475","R1594","R481"
"R14659","R15202","R15872"
"R14660","R14551","R14551"
"R3745","R2059","R1957"
"R14661","R14551","R14551"
"R497","R14715","R182"
"R45","R31","R29"
"R14662","R14551","R14551"
"R14663","R14551","R14551"
"R14664","R14733","R14551"
"R3073","R1738","R1467"
"R2662","R1085","R1694"
"R2476","R1594","R481"
"R14665","R14551","R14551"
"R3902","R1702","R2671"
"R259","R14715","R158"
"R155","R15917","R15858"
"R14666","R14713","R14652"
"R3589","R2059","R2636"
"R31","R10","R15"
"R14667","R14551","R14551"
"R79","R33","R36"
"R14668","R1594","R14602"
"R14669","R14551","R14571"
"R14670","R14648","R14551"
"R2488","R1215","R707"
"R3772","R799","R1808"
"R14671","R15029","R15030"
"R2670","R165","R1327"
"R2074","R1215","R174"
"R252","R95","R162"
"R203","R14551","R14551"
"R1178","R165","R260"
"R2489","R1215","R707"
"R2933","R1377","R1536"
"R2075","R1215","R174"
"R3773","R799","R1808"
"R2671","R165","R1327"
"R48","R31","R11"
"R14672","R15204","R15205"
"R3774","R799","R1808"
"R14673","R14551","R14551"
"R498","R14683","R14571"
"R1497","R14718","R14551"
"R14674","R14551","R14551"
"R3189","R2059","R1595"
"R14675","R14551","R14551"
"R14676","R14551","R14551"
"R132","R72","R14551"
"R22","R6","R8"
"R14677","R6","R14685"
"R2672","R165","R1327"
"R1327","R14695","R220"
"R14678","R6","R8"
"R185","R118","R114"
"R3190","R2059","R1595"
"R1043","R242","R217"
"R1179","R165","R260"
"R3667","R2059","R2588"
"R1943","R14702","R904"
"R2079","R1377","R648"
"R1659","R14702","R801"
"R2346","R497","R1443"
"R1944","R14702","R904"
"R904","R95","R305"
"R1945","R14702","R904"
"R2940","R799","R2057"
"R1660","R14702","R801"
"R2941","R799","R2057"
"R14679","R14595","R1130"
"R106","R52","R38"
"R3668","R2059","R2588"
"R107","R52","R38"
"R201","R14551","R170"
"R14680","R14648","R651"
"R253","R14702","R123"
"R2080","R1377","R648"
"R50","R31","R25"
"R2799","R1695","R1545"
"R186","R14572","R135"
"R108","R52","R38"
"R4174","R2727","R623"
"R2800","R1695","R1545"
"R14681","R14648","R14551"
"R14682","R68","R14551"
"R10","R14638","R14593"
"R110","R31","R71"
"R9","R2","R5"
"R1808","R622","R177"
"R14683","R15751","R15750"
"R14684","R14551","R14551"
"R187","R118","R79"
"R370","R14715","R122"
"R1831","R1069","R14551"
"R3204","R2059","R1694"
"R231","R14706","R188"
"R14685","R2","R5"
"R188","R118","R79"
"R195","R14580","R14551"
"R2683","R14681","R800"
"R14686","R14711","R15236"
"R4060","R1667","R1327"
"R181","R14551","R14551"
"R3086","R1215","R2080"
"R1667","R14711","R481"
"R241","R14706","R188"
"R232","R14706","R188"
"R14687","R2","R14592"
"R6","R15914","R15915"
"R233","R14551","R14551"
"R234","R14706","R188"
"R54","R10","R14615"
"R260","R14715","R158"
"R112","R45","R82"
"R5","R14629","R4"
"R14688","R14551","R14551"
"R145","R14551","R14551"
"R146","R68","R14551"
"R14689","R14671","R15067"
"R113","R45","R82"
"R14690","R14551","R14551"
"R14691","R14551","R14551"
"R14692","R14583","R14551"
"R14693","R14629","R4"
"R14694","R14648","R14551"
"R14695","R14711","R15714"
"R14696","R14551","R14551"
"R1498","R14608","R187"
"R14697","R14551","R14551"
"R14698","R15824","R15836"
"R376","R14697","R194"
"R3928","R2727","R2080"
"R70","R68","R14621"
"R211","R142","R104"
"R47","R31","R28"
"R14699","R14551","R14551"
"R14700","R14722","R14551"
"R14701","R14622","R14551"
"R114","R45","R82"
"R862","R14551","R14551"
"R116","R45","R36"
"R14702","R15766","R15198"
"R237","R14706","R158"
"R172","R14551","R14551"
"R14703","R14551","R14551"
"R14704","R14551","R14551"
"R1957","R1214","R176"
"R1958","R1214","R176"
"R14705","R14551","R14551"
"R1067","R238","R176"
"R14706","R15753","R15789"
"R71","R15921","R15922"
"R14707","R14671","R14551"
"R3775","R799","R1808"
"R2958","R178","R1444"
"R156","R45","R122"
"R14708","R14551","R14551"
"R14709","R14551","R14551"
"R238","R14706","R158"
"R14710","R14551","R14551"
"R117","R45","R36"
"R239","R14706","R158"
"R240","R14706","R158"
"R1901","R14608","R14686"
"R1959","R1214","R176"
"R133","R72","R14551"
"R14711","R15199","R15198"
"R1068","R238","R176"
"R1069","R238","R176"
"R2","R1","R15851"
"R166","R14551","R14551"
"R83","R15897","R15956"
"R255","R14578","R14589"
"R470","R14551","R14551"
"R538","R14702","R175"
"R14712","R14551","R14551"
"R14713","R14659","R16186"
"R539","R14702","R14551"
"R3542","R2534","R2058"
"R14714","R15807","R15904"
"R2959","R178","R1444"
"R3148","R1377","R2075"
"R2960","R178","R1444"
"R157","R45","R122"
"R2359","R1702","R1466"
"R547","R14608","R216"
"R3696","R2534","R1696"
"R1693","R14711","R623"
"R14715","R15736","R15818"
"R1211","R14702","R498"
"R184","R14715","R14698"
"R305","R14683","R14571"
"R2526","R1377","R1467"
"R799","R258","R174"
"R800","R258","R174"
"R14716","R14551","R14551"
"R14717","R14629","R3"
"R14718","R14551","R14551"
"R1694","R14711","R623"
"R1212","R14702","R498"
"R1695","R14711","R623"
"R1213","R14702","R498"
"R7","R14629","R3"
"R801","R258","R174"
"R14719","R14594","R14551"
"R548","R14608","R216"
"R1214","R14702","R498"
"R14720","R1","R14551"
"R14721","R14551","R14551"
"R14722","R15237","R15223"
"R1215","R14702","R498"
"R14723","R14618","R14566"
"R1216","R14702","R498"
"R8","R14629","R3"
"R1696","R14711","R623"
"R1697","R14711","R623"
"R14724","R14713","R14664"
"R549","R14608","R216"
"R14725","R14648","R14551"
"R165","R14722","R15705"
"R213","R118","R176"
"R403","R179","R183"
"R214","R118","R176"
"R215","R118","R176"
"R216","R118","R176"
"R14726","R19","R14685"
"R1700","R196","R549"
"R2373","R1178","R480"
"R33","R14717","R18"
"R2839","R1068","R1693"
"R3226","R1178","R2057"
"R3466","R2553","R1441"
"R2374","R1178","R480"
"R1701","R196","R549"
"R1702","R196","R549"
"R34","R14717","R18"
"R14727","R14551","R14551"
"R14728","R14551","R14551"
"R217","R181","R187"
"R1085","R214","R184"
"R1086","R214","R184"
"R3227","R1178","R2057"
"R3822","R1667","R2075"
"R3228","R1178","R2057"
"R1368","R14702","R480"
"R2527","R1377","R1467"
"R56","R14563","R39"
"R825","R165","R14551"
"R1231","R14648","R538"
"R1232","R14648","R538"
"R14729","R14696","R14551"
"R1369","R14702","R480"
"R14730","R14551","R14551"
"R161","R14551","R14551"
"R147","R52","R56"
"R14731","R14734","R14551"
"R218","R168","R177"
"R14732","R14734","R14551"
"R219","R168","R177"
"R2271","R14734","R176"
"R58","R33","R14551"
"R220","R168","R177"
"R221","R168","R177"
"R244","R14702","R185"
"R14733","R15875","R15886"
"R222","R14551","R185"
"R14734","R14733","R15868"
"R2277","R1594","R244"
"R2985","R1943","R1466"
"R3832","R2727","R1425"
"R262","R14702","R132"
"R2139","R1214","R707"
"R3970","R2474","R2958"
"R425","R14552","R201"
"R1244","R14697","R209"
"R4374","R3148","R1327"
"R3110","R1943","R1001"
"R2536","R258","R1700"
"R14735","R2534","R14612"
"R2986","R1943","R1466"
"R4519","R3608","R904"
"R3237","R2174","R1945"
"R1537","R179","R224"
"R5321","R4174","R2271"
"R4448","R3310","R1444"
"R1717","R242","R217"
"R5181","R2534","R3928"
"R2987","R1943","R1466"
"R1935","R1003","R221"
"R3971","R2474","R2958"
"R3972","R2474","R2958"
"R1095","R255","R177"
"R2386","R1604","R1442"
"R840","R14576","R220"
"R3833","R2727","R1425"
"R1997","R258","R624"
"R2537","R258","R1700"
"R61","R14714","R11"
"R3718","R1702","R1212"
"R3555","R14595","R480"
"R3367","R1178","R481"
"R841","R14576","R220"
"R14736","R14551","R14551"
"R3238","R2174","R1945"
"R1718","R242","R217"
"R3111","R1943","R1001"
"R4814","R3608","R3639"
"R1719","R242","R217"
"R5457","R2534","R4265"
"R3834","R2727","R1425"
"R1245","R14697","R209"
"R2387","R1604","R1442"
"R426","R14552","R201"
"R4520","R3608","R904"
"R5099","R2059","R3772"
"R4375","R3148","R1327"
"R2140","R1214","R707"
"R4521","R3608","R904"
"R1720","R242","R217"
"R89","R52","R40"
"R3112","R1943","R1001"
"R427","R14552","R201"
"R3113","R1943","R1001"
"R1538","R179","R224"
"R3492","R14618","R1444"
"R4522","R3608","R904"
"R2988","R1943","R1466"
"R4954","R2059","R3246"
"R2723","R1214","R1701"
"R1576","R14702","R175"
"R2989","R1943","R1466"
"R5100","R2059","R3772"
"R3556","R14595","R480"
"R3719","R1702","R1212"
"R1577","R14702","R175"
"R1246","R14697","R209"
"R1581","R14608","R222"
"R4523","R3608","R904"
"R2990","R1943","R1466"
"R4674","R3248","R2662"
"R263","R14702","R132"
"R1721","R242","R217"
"R5322","R4174","R2271"
"R246","R142","R182"
"R2141","R1214","R707"
"R1998","R258","R624"
"R590","R231","R220"
"R3557","R14595","R480"
"R428","R14552","R201"
"R2142","R1214","R707"
"R4815","R3608","R3639"
"R2991","R1943","R1466"
"R3973","R2474","R2958"
"R3558","R14595","R480"
"R2847","R1831","R1697"
"R5323","R4174","R2271"
"R3835","R2727","R1425"
"R4675","R3248","R2662"
"R14737","R14595","R480"
"R1858","R238","R175"
"R2724","R1214","R1701"
"R4524","R3608","R904"
"R842","R14576","R220"
"R4915","R2870","R2476"
"R2590","R1831","R623"
"R5324","R4174","R2271"
"R3368","R1178","R481"
"R2388","R1604","R1442"
"R1096","R255","R177"
"R429","R14552","R201"
"R3499","R2059","R2197"
"R2591","R1831","R623"
"R683","R238","R201"
"R5101","R2059","R3772"
"R1999","R258","R624"
"R2278","R1594","R244"
"R4676","R3248","R2662"
"R3239","R2174","R1945"
"R4824","R3466","R2683"
"R5102","R2059","R3772"
"R2848","R1831","R1697"
"R4955","R2059","R3246"
"R4816","R3608","R3639"
"R3493","R14618","R1444"
"R4740","R2534","R3147"
"R4817","R3608","R3639"
"R2279","R1594","R244"
"R3240","R2174","R1945"
"R4956","R2059","R3246"
"R430","R14552","R201"
"R2000","R258","R624"
"R903","R14576","R220"
"R5103","R2059","R3772"
"R3720","R1702","R1212"
"R14738","R2534","R14612"
"R2849","R1831","R1697"
"R1722","R242","R217"
"R5182","R2534","R3928"
"R2280","R1594","R244"
"R843","R14576","R220"
"R3974","R2474","R2958"
"R1578","R14702","R175"
"R14739","R449","R14708"
"R14740","R14551","R14551"
"R2992","R1943","R1466"
"R4677","R3248","R2662"
"R4474","R3366","R2552"
"R4488","R3466","R1959"
"R2143","R1214","R707"
"R3975","R2474","R2958"
"R5104","R2059","R3772"
"R264","R14702","R132"
"R2850","R1831","R1697"
"R2725","R1214","R1701"
"R1859","R238","R175"
"R5105","R2059","R3772"
"R3836","R2727","R1425"
"R844","R14576","R220"
"R2538","R258","R1700"
"R4678","R3248","R2662"
"R3559","R14595","R480"
"R4679","R3248","R2662"
"R4957","R2059","R3246"
"R5325","R4174","R2271"
"R4525","R3608","R904"
"R4818","R3608","R3639"
"R1539","R179","R224"
"R2539","R258","R1700"
"R431","R14552","R201"
"R4819","R3608","R3639"
"R2001","R258","R624"
"R2540","R258","R1700"
"R3976","R2474","R2958"
"R2144","R1214","R707"
"R2851","R1831","R1697"
"R845","R14576","R220"
"R2852","R1831","R1697"
"R5326","R4174","R2271"
"R1579","R14702","R175"
"R4682","R3148","R2359"
"R4958","R2059","R3246"
"R3977","R2474","R2958"
"R2592","R1831","R623"
"R846","R14576","R220"
"R5183","R2534","R3928"
"R591","R231","R220"
"R3721","R1702","R1212"
"R592","R231","R220"
"R5327","R4174","R2271"
"R3978","R2474","R2958"
"R4256","R3228","R2589"
"R2541","R258","R1700"
"R4820","R3608","R3639"
"R2145","R1214","R707"
"R2726","R1214","R1701"
"R1097","R255","R177"
"R3114","R1943","R1001"
"R1247","R14697","R209"
"R1723","R242","R217"
"R3115","R1943","R1001"
"R3241","R2174","R1945"
"R2002","R258","R624"
"R2146","R1214","R707"
"R3369","R1178","R481"
"R1540","R179","R224"
"R3370","R1178","R481"
"R2147","R1214","R707"
"R5328","R4174","R2271"
"R1379","R14642","R623"
"R1098","R255","R177"
"R2003","R258","R624"
"R3371","R1178","R481"
"R2993","R1943","R1466"
"R684","R238","R201"
"R4376","R3148","R1327"
"R1860","R238","R175"
"R4821","R3608","R3639"
"R3560","R14595","R480"
"R1541","R179","R224"
"R14741","R3109","R14620"
"R2281","R1594","R244"
"R3372","R1178","R481"
"R4377","R3148","R1327"
"R847","R14576","R220"
"R3242","R2174","R1945"
"R2004","R258","R624"
"R1248","R14697","R209"
"R2853","R1831","R1697"
"R4779","R1738","R2488"
"R1249","R14697","R209"
"R2854","R1831","R1697"
"R257","R14551","R174"
"R3494","R14618","R1444"
"R4680","R3248","R2662"
"R1542","R179","R224"
"R3116","R1943","R1001"
"R3495","R14618","R1444"
"R2005","R258","R624"
"R4822","R3608","R3639"
"R3837","R2727","R1425"
"R593","R231","R220"
"R4823","R3608","R3639"
"R3979","R2474","R2958"
"R685","R238","R201"
"R1724","R242","R217"
"R5329","R4174","R2271"
"R1725","R242","R217"
"R2389","R1604","R1442"
"R4959","R2059","R3246"
"R594","R231","R220"
"R3243","R2174","R1945"
"R1543","R179","R224"
"R3561","R14595","R480"
"R848","R14576","R220"
"R4378","R3148","R1327"
"R3496","R14618","R1444"
"R1580","R14702","R175"
"R2282","R1594","R244"
"R5184","R2534","R3928"
"R4526","R3608","R904"
"R595","R231","R220"
"R3244","R2174","R1945"
"R3562","R14595","R480"
"R2593","R1831","R623"
"R3497","R14618","R1444"
"R5330","R4174","R2271"
"R1380","R14642","R623"
"R3245","R2174","R1945"
"R2283","R1594","R244"
"R2855","R1831","R1697"
"R1250","R14697","R209"
"R2148","R1214","R707"
"R265","R14702","R132"
"R3498","R14618","R1444"
"R1726","R242","R217"
"R1099","R255","R177"
"R3373","R1178","R481"
"R1727","R242","R217"
"R1100","R255","R177"
"R596","R14655","R223"
"R1582","R14608","R222"
"R1153","R165","R215"
"R3838","R2474","R1467"
"R4527","R3366","R2588"
"R961","R238","R162"
"R5186","R2534","R3831"
"R1728","R14608","R612"
"R2856","R2079","R904"
"R5106","R2534","R2488"
"R14742","R3109","R14620"
"R5187","R2534","R3831"
"R1729","R14608","R612"
"R3839","R2474","R1467"
"R5003","R799","R3086"
"R3840","R2474","R1467"
"R14743","R2534","R3831"
"R3841","R2474","R1467"
"R1730","R14608","R612"
"R3563","R1738","R2395"
"R4379","R3310","R651"
"R962","R238","R162"
"R2284","R799","R1409"
"R1583","R14608","R222"
"R2554","R497","R1425"
"R2555","R497","R1425"
"R1861","R1068","R498"
"R2285","R799","R1409"
"R4380","R3310","R651"
"R1385","R14695","R244"
"R1862","R1068","R498"
"R2994","R14587","R1498"
"R1386","R14695","R244"
"R4683","R3148","R2359"
"R3052","R1440","R1002"
"R2152","R14702","R1378"
"R686","R179","R240"
"R4684","R3148","R2359"
"R5107","R2534","R2488"
"R687","R179","R240"
"R4685","R3148","R2359"
"R4916","R2870","R2476"
"R1546","R14608","R176"
"R433","R14683","R133"
"R3500","R2059","R2197"
"R1731","R14608","R612"
"R2995","R14587","R1498"
"R3564","R1738","R2395"
"R119","R19","R88"
"R1863","R1068","R498"
"R434","R14683","R133"
"R3842","R2474","R1467"
"R2153","R14702","R1378"
"R1732","R14608","R612"
"R62","R14563","R14726"
"R4960","R2534","R3638"
"R3501","R2059","R2197"
"R4322","R2870","R1369"
"R4528","R3366","R2588"
"R3117","R2174","R2060"
"R1252","R539","R432"
"R5331","R2534","R3607"
"R2154","R14702","R1378"
"R597","R14655","R223"
"R4795","R3608","R2933"
"R1584","R14608","R222"
"R1044","R242","R217"
"R3249","R14681","R1466"
"R4241","R3148","R2799"
"R1585","R14608","R222"
"R435","R14683","R133"
"R4992","R2534","R2671"
"R5332","R2534","R3607"
"R2857","R2079","R904"
"R1387","R14695","R244"
"R4242","R3148","R2799"
"R2996","R14587","R1498"
"R5004","R799","R3086"
"R3250","R14681","R1466"
"R73","R33","R50"
"R3843","R2474","R1467"
"R3980","R3109","R1536"
"R1586","R14608","R222"
"R688","R179","R240"
"R3981","R3109","R1536"
"R2391","R1440","R1545"
"R4961","R2534","R3638"
"R963","R238","R162"
"R2997","R14587","R1498"
"R1388","R14695","R244"
"R5188","R2534","R3831"
"R3374","R2079","R1232"
"R4381","R3310","R651"
"R2596","R1702","R184"
"R1253","R539","R432"
"R964","R238","R162"
"R1389","R14695","R244"
"R3844","R2474","R1467"
"R2155","R14702","R1378"
"R3251","R14681","R1466"
"R3845","R2474","R1467"
"R1587","R14608","R222"
"R598","R14655","R223"
"R2858","R2079","R904"
"R4825","R3466","R2683"
"R1547","R14608","R176"
"R3846","R2474","R1467"
"R2597","R1702","R184"
"R4243","R3148","R2799"
"R965","R238","R162"
"R3375","R2079","R1232"
"R268","R181","R189"
"R1733","R14608","R612"
"R4244","R3148","R2799"
"R1734","R14608","R612"
"R14744","R3109","R14620"
"R269","R181","R189"
"R1588","R14608","R222"
"R3252","R14681","R1466"
"R14745","R1594","R14602"
"R14746","R14551","R14551"
"R1548","R14608","R176"
"R2998","R14587","R1498"
"R1589","R14608","R222"
"R270","R181","R189"
"R2859","R2079","R904"
"R2286","R799","R1409"
"R1735","R14608","R612"
"R2860","R2079","R904"
"R3376","R2079","R1232"
"R1864","R1068","R498"
"R271","R181","R189"
"R1590","R14608","R222"
"R272","R181","R189"
"R1103","R258","R14667"
"R4382","R3310","R651"
"R273","R181","R189"
"R3502","R2059","R2197"
"R3503","R2059","R2197"
"R1865","R1068","R498"
"R3118","R2174","R2060"
"R3982","R3109","R1536"
"R4529","R3366","R2588"
"R1591","R14608","R222"
"R3253","R14681","R1466"
"R1390","R14695","R244"
"R689","R179","R240"
"R599","R14655","R223"
"R2861","R2079","R904"
"R5333","R2534","R3607"
"R1104","R258","R14667"
"R14747","R1440","R1545"
"R3565","R1738","R2395"
"R4686","R3148","R2359"
"R600","R14655","R223"
"R4826","R3466","R2683"
"R2862","R2079","R904"
"R690","R179","R240"
"R3504","R2059","R2197"
"R14748","R1594","R14602"
"R2287","R799","R1409"
"R3377","R2079","R1232"
"R5334","R2534","R3607"
"R3566","R1738","R2395"
"R14749","R1594","R14602"
"R3254","R14681","R1466"
"R1866","R1068","R498"
"R2598","R1702","R184"
"R274","R181","R189"
"R1549","R14608","R176"
"R14750","R1594","R14602"
"R1105","R258","R14667"
"R275","R181","R189"
"R436","R14683","R133"
"R3505","R2059","R2197"
"R3983","R3109","R1536"
"R2863","R2079","R904"
"R3984","R3109","R1536"
"R3506","R2059","R2197"
"R5335","R2534","R3607"
"R3378","R2079","R1232"
"R1106","R258","R14667"
"R3119","R2174","R2060"
"R3255","R14681","R1466"
"R2288","R799","R1409"
"R2392","R1440","R1545"
"R4947","R2534","R1944"
"R691","R179","R240"
"R4827","R3466","R2683"
"R1867","R1068","R498"
