"Sex","bcl_YM","bcl_YMrc","bcl_Age","TestType","PT_DRA","PT_DRP","PT_OF","PT_N","PT_SM","GenCoeff","InbrdCoeff","altDogID"
1,201010,201010,251,1,5,5,3,0,2,12.61,0.13,"R9748"
1,201004,66,56,1,5,5,4,4,5,12.68,0.14,"R9750"
1,201003,66,54,1,0,0,2,1,3,12.68,0.14,"R9753"
1,201004,66,56,1,5,0,4,5,5,12.68,0.14,"R9754"
2,201004,66,66,1,3,5,5,2,4,12.68,0.14,"R9757"
2,201004,66,58,1,5,2,2,2,5,12.62,0.11,"R9760"
2,201004,66,58,1,5,4,3,2,5,12.62,0.11,"R9762"
1,201004,66,58,1,5,4,3,3,5,12.62,0.11,"R9765"
2,201004,66,58,1,5,2,3,4,5,12.62,0.11,"R9766"
2,201004,66,61,1,2,4,3,3,3,12.92,0.14,"R9767"
1,201004,66,61,1,5,4,3,3,5,12.92,0.14,"R9768"
1,201004,66,61,1,5,3,3,3,0,12.92,0.14,"R9769"
1,201004,66,61,1,5,3,3,3,5,12.92,0.14,"R9770"
2,201006,66,54,1,4,5,5,5,5,11.68,0.1,"R9810"
2,201006,66,60,1,3,5,2,4,5,11.68,0.1,"R9811"
2,201006,66,60,1,5,5,4,5,5,11.68,0.1,"R9812"
2,201006,66,60,1,5,4,3,3,5,11.68,0.1,"R9814"
1,201006,66,60,1,3,5,4,4,4,11.68,0.1,"R9816"
2,201006,66,60,1,2,5,0,0,4,11.68,0.1,"R9819"
2,201006,66,58,1,5,5,5,5,5,12.27,0.1,"R9821"
1,201006,66,58,1,4,5,4,4,4,12.27,0.1,"R9822"
2,201006,66,58,1,5,5,5,5,5,12.27,0.1,"R9823"
1,201006,66,58,1,5,5,5,5,5,12.27,0.1,"R9824"
1,201006,66,58,1,5,5,0,4,5,12.27,0.1,"R9825"
1,201006,66,60,1,5,3,4,3,5,12.98,0.14,"R9826"
1,201006,66,60,1,3,5,5,3,3,12.98,0.14,"R9827"
2,201006,66,60,1,5,5,4,5,4,12.98,0.14,"R9828"
2,201006,66,60,1,3,5,2,5,2,12.98,0.14,"R9829"
1,201007,201007,58,1,5,5,3,4,5,12.31,0.11,"R9830"
2,201007,201007,59,1,2,5,3,4,3,12.31,0.11,"R9831"
2,201007,201007,58,1,5,3,3,3,5,12.31,0.11,"R9832"
2,201007,201007,58,1,4,5,3,3,5,12.31,0.11,"R9833"
1,201007,201007,58,1,4,3,2,3,5,12.31,0.11,"R9834"
2,201007,201007,59,1,4,5,4,4,5,12.31,0.11,"R9835"
2,201007,201007,59,1,5,5,4,5,5,12.31,0.11,"R9836"
2,201007,201007,59,1,2,1,2,3,5,12.31,0.11,"R9837"
1,201007,201007,58,1,5,4,2,4,5,12.31,0.11,"R9838"
2,201007,201007,65,1,2,0,4,2,5,12.38,0.14,"R9839"
1,201007,201007,57,1,4,5,5,5,5,12.38,0.14,"R9840"
1,201007,201007,57,1,2,5,4,5,3,12.38,0.14,"R9841"
2,201007,201007,57,1,5,4,4,3,5,12.38,0.14,"R9842"
1,201007,201007,57,1,2,3,3,2,4,12.38,0.14,"R9843"
1,201008,201008,59,1,5,3,5,3,5,12.3,0.17,"R9844"
2,201008,201008,60,1,3,3,4,3,5,12.3,0.17,"R9845"
2,201007,201007,56,1,5,5,5,3,5,12.25,0.11,"R9846"
1,201008,201008,60,1,3,3,4,5,4,12.3,0.17,"R9847"
2,201007,201007,55,1,5,5,4,5,4,12.25,0.11,"R9848"
1,201008,201008,60,1,3,3,3,3,3,12.3,0.17,"R9849"
1,201008,201008,60,1,5,4,0,3,5,12.3,0.17,"R9850"
2,201007,201007,55,1,4,4,3,5,2,12.25,0.11,"R9851"
2,201008,201008,59,1,5,4,5,3,5,12.3,0.17,"R9852"
1,201007,201007,56,1,5,5,5,3,5,12.25,0.11,"R9853"
1,201007,201007,55,1,3,2,3,4,3,12.25,0.11,"R9854"
2,201007,201007,56,1,5,5,5,4,5,12.25,0.11,"R9855"
1,201007,201007,55,1,3,1,2,3,5,12.25,0.11,"R9856"
1,201008,201008,59,1,3,4,4,5,5,12.3,0.17,"R9857"
1,201008,201008,59,1,5,5,5,4,5,12.3,0.17,"R9858"
2,201008,201008,59,1,5,4,3,3,5,13.23,0.15,"R9859"
2,201008,201008,59,1,5,5,5,5,5,13.23,0.15,"R9860"
2,201008,201008,59,1,4,5,4,5,4,13.23,0.15,"R9861"
1,201008,201008,59,1,5,5,5,3,2,13.23,0.15,"R9862"
2,201008,201008,59,1,5,5,5,5,4,13.23,0.15,"R9863"
1,201008,201008,56,1,5,5,5,5,5,10.92,0.07,"R9864"
2,201008,201008,56,1,4,4,3,5,5,10.92,0.07,"R9865"
2,201008,201008,56,1,3,2,1,4,5,10.92,0.07,"R9866"
2,201008,201008,56,1,5,3,3,3,5,10.92,0.07,"R9867"
2,201008,201008,56,1,5,3,3,3,5,10.92,0.07,"R9868"
2,201008,201008,56,1,5,5,4,5,5,10.92,0.07,"R9869"
2,201008,201008,58,1,3,5,3,5,5,11.88,0.12,"R9870"
2,201008,201008,58,1,3,4,3,3,5,11.88,0.12,"R9871"
1,201008,201008,58,1,5,5,4,5,5,11.88,0.12,"R9872"
2,201008,201008,58,1,4,5,4,3,5,11.88,0.12,"R9873"
1,201008,201008,58,1,2,5,3,5,3,11.88,0.12,"R9874"
1,201008,201008,58,1,5,5,4,5,5,11.88,0.12,"R9875"
1,201008,201008,58,1,5,5,5,5,5,11.88,0.12,"R9876"
2,201008,201008,56,1,5,2,3,1,4,12.07,0.08,"R9878"
1,201008,201008,56,1,5,5,3,3,5,12.07,0.08,"R9879"
1,201008,201008,56,1,3,5,3,3,4,12.07,0.08,"R9880"
2,201008,201008,56,1,4,5,5,4,5,12.76,0.12,"R9881"
2,201008,201008,57,1,2,3,2,5,3,12.76,0.12,"R9882"
2,201008,201008,56,1,5,5,3,5,5,12.76,0.12,"R9883"
1,201008,201008,57,1,5,3,3,5,5,12.76,0.12,"R9884"
