"Sex","bcl_YM","bcl_YMrc","bcl_Age","TestType","PT_DRA","PT_DRP","PT_OF","PT_N","PT_SM","GenCoeff","InbrdCoeff","altDogID"
2,201008,201008,57,1,3,4,3,5,5,12.76,0.12,"R9885"
2,201008,201008,56,1,3,5,3,3,4,12.76,0.12,"R9886"
1,201008,201008,57,1,4,4,4,4,4,12.76,0.12,"R9887"
1,201008,201008,56,1,5,4,4,5,5,12.76,0.12,"R9888"
2,201008,201008,57,1,2,5,4,3,3,12.81,0.15,"R9889"
2,201008,201008,57,1,1,2,2,2,3,12.81,0.15,"R9890"
2,201008,201008,57,1,5,4,3,4,5,12.81,0.15,"R9891"
1,201008,201008,57,1,2,5,3,3,4,12.81,0.15,"R9892"
2,201008,201008,57,1,1,5,3,3,1,12.81,0.15,"R9893"
2,201008,201008,57,1,1,0,2,4,2,12.81,0.15,"R9894"
2,201008,201008,57,1,3,3,3,4,4,12.81,0.15,"R9895"
2,201008,201008,57,1,4,5,3,4,4,12.81,0.15,"R9896"
2,201008,201008,57,1,4,4,3,4,4,12.81,0.15,"R9897"
2,201009,201009,57,1,5,5,5,5,5,10.77,0.07,"R9898"
2,201009,201009,57,1,5,3,2,2,5,10.77,0.07,"R9899"
2,201009,201009,57,1,4,4,4,3,3,10.77,0.07,"R9900"
2,201009,201009,57,1,5,3,4,3,5,10.77,0.07,"R9901"
2,201009,201009,57,1,5,5,5,5,5,10.77,0.07,"R9902"
1,201009,201009,57,1,5,5,4,5,5,10.77,0.07,"R9903"
1,201009,201009,57,1,5,4,4,4,5,10.77,0.07,"R9904"
2,201009,201009,54,1,5,4,3,3,5,12.6,0.11,"R9905"
1,201009,201009,54,1,5,4,3,3,5,12.6,0.11,"R9906"
2,201009,201009,54,1,1,4,3,2,3,12.6,0.11,"R9908"
2,201009,201009,54,1,5,5,4,5,5,12.6,0.11,"R9909"
1,201009,201009,57,1,5,5,3,3,5,11.86,0.07,"R9910"
1,201009,201009,57,1,3,5,3,3,4,11.86,0.07,"R9911"
1,201009,201009,57,1,4,3,5,3,4,11.86,0.07,"R9912"
2,201009,201009,57,1,5,5,5,4,5,11.86,0.07,"R9913"
2,201009,201009,57,1,2,3,4,2,5,11.86,0.07,"R9914"
2,201009,201009,57,1,5,3,4,3,2,11.86,0.07,"R9915"
2,201009,201009,57,1,3,5,4,3,3,11.86,0.07,"R9916"
2,201009,201009,57,1,5,5,5,5,5,11.86,0.07,"R9917"
2,201009,201009,57,1,5,5,4,3,5,11.87,0.14,"R9918"
2,201009,201009,57,1,5,2,3,3,5,11.87,0.14,"R9919"
1,201009,201009,57,1,5,5,5,5,5,11.87,0.14,"R9920"
2,201009,201009,57,1,5,5,3,4,5,11.87,0.14,"R9921"
1,201009,201009,57,1,2,5,3,5,3,11.87,0.14,"R9922"
2,201009,201009,57,1,5,5,5,3,5,11.87,0.14,"R9923"
1,201009,201009,57,1,3,2,4,4,4,11.87,0.14,"R9924"
1,201009,201009,57,1,5,5,4,3,5,11.87,0.14,"R9925"
2,201009,201009,56,1,5,5,3,4,5,12.41,0.13,"R9926"
1,201009,201009,56,1,4,5,2,3,3,12.41,0.13,"R9927"
2,201009,201009,56,1,4,4,3,3,4,12.41,0.13,"R9928"
1,201009,201009,56,1,5,5,4,3,3,12.41,0.13,"R9929"
2,201009,201009,56,1,5,4,4,3,5,12.41,0.13,"R9930"
1,201009,201009,56,1,2,3,3,5,4,12.41,0.13,"R9931"
2,201009,201009,55,1,5,2,3,4,5,12.29,0.09,"R9932"
2,201009,201009,55,1,5,5,3,5,4,12.29,0.09,"R9933"
2,201009,201009,55,1,5,2,3,3,5,12.29,0.09,"R9934"
2,201009,201009,55,1,5,3,3,4,5,12.29,0.09,"R9935"
2,201009,201009,55,1,5,4,3,5,5,12.29,0.09,"R9936"
1,201009,201009,55,1,5,3,3,2,5,12.29,0.09,"R9937"
2,201009,201009,55,1,0,2,3,1,5,12.29,0.09,"R9938"
2,201009,201009,55,1,5,2,2,2,5,12.29,0.09,"R9939"
1,201009,201009,55,1,3,2,1,3,2,12.8,0.11,"R9941"
1,201009,201009,55,1,3,0,3,2,4,12.8,0.11,"R9942"
1,201009,201009,55,1,4,5,4,5,5,12.8,0.11,"R9943"
1,201009,201009,55,1,2,2,2,4,5,12.8,0.11,"R9944"
1,201009,201009,55,1,4,3,3,2,5,12.8,0.11,"R9945"
2,201009,201009,55,1,2,5,4,3,1,12.8,0.11,"R9946"
1,201009,201009,55,1,5,2,2,4,5,12.8,0.11,"R9947"
2,201009,201009,55,1,5,5,4,4,4,12.8,0.11,"R9948"
2,201010,201010,56,1,5,2,2,2,5,11.71,0.1,"R9949"
2,201010,201010,54,1,5,3,3,3,5,11.71,0.1,"R9951"
2,201010,201010,54,1,5,3,3,4,5,11.71,0.1,"R9952"
2,201010,201010,54,1,5,4,3,5,5,11.71,0.1,"R9956"
2,201010,201010,56,1,3,5,3,4,3,12.22,0.09,"R9957"
2,201010,201010,56,1,2,2,2,3,5,12.22,0.09,"R9958"
1,201010,201010,56,1,4,5,3,4,3,12.22,0.09,"R9959"
2,201010,201010,56,1,5,4,5,3,5,12.22,0.09,"R9960"
2,201010,201010,56,1,5,1,3,2,3,12.22,0.09,"R9961"
1,201010,201010,56,1,3,4,4,3,5,12.22,0.09,"R9962"
1,201010,201010,53,1,5,3,2,3,5,11.92,0.07,"R9963"
2,201010,201010,53,1,5,4,3,5,5,11.92,0.07,"R9965"
1,201010,201010,53,1,5,5,4,2,5,11.92,0.07,"R9966"
2,201010,201010,62,1,3,5,3,5,5,11.92,0.07,"R9967"
2,201010,201010,53,1,3,5,3,4,5,11.92,0.07,"R9968"
2,201010,201010,56,1,5,4,4,3,5,11.92,0.07,"R9969"
1,201010,201010,56,1,3,3,3,4,5,11.92,0.07,"R9970"
1,201010,201010,61,1,3,3,3,5,4,11.78,0.09,"R9971"
1,201010,201010,61,1,1,3,2,5,3,11.78,0.09,"R9972"
1,201010,201010,61,1,3,4,3,4,5,11.78,0.09,"R9973"
1,201010,201010,61,1,4,3,2,4,5,11.78,0.09,"R9974"
1,201010,201010,61,1,3,5,3,5,5,11.78,0.09,"R9975"
1,201010,201010,61,1,3,5,4,5,4,11.78,0.09,"R9976"
2,201010,201010,60,1,5,5,5,4,5,11.96,0.09,"R9977"
2,201010,201010,60,1,2,2,4,2,4,11.96,0.09,"R9978"
2,201011,201011,66,1,3,3,4,3,4,11.96,0.09,"R9979"
1,201010,201010,60,1,5,4,4,5,5,11.96,0.09,"R9980"
2,201010,201010,60,1,4,4,4,3,5,11.96,0.09,"R9981"
2,201010,201010,60,1,3,5,4,5,3,11.96,0.09,"R9982"
1,201010,201010,60,1,5,5,4,4,5,11.96,0.09,"R9983"
2,201010,201010,60,1,3,5,4,3,4,11.96,0.09,"R9984"
2,201011,201011,56,1,5,3,3,4,5,12.5,0.12,"R9985"
2,201011,201011,56,1,3,5,4,4,5,12.5,0.12,"R9986"
1,201011,201011,56,1,4,3,4,3,5,12.5,0.12,"R9987"
2,201011,201011,56,1,2,5,3,5,1,12.5,0.12,"R9988"
1,201011,201011,56,1,4,3,3,3,5,12.5,0.12,"R9989"
2,201011,201011,56,1,2,5,2,3,2,12.5,0.12,"R9990"
2,201011,201011,56,1,1,3,2,3,2,12.5,0.12,"R9991"
2,201011,201011,58,1,5,3,5,4,3,12.75,0.09,"R9992"
1,201011,201011,58,1,5,2,4,2,2,12.75,0.09,"R9993"
1,201011,201011,58,1,3,3,4,3,4,12.75,0.09,"R9994"
2,201011,201011,58,1,3,5,5,5,5,12.75,0.09,"R9995"
1,201011,201011,58,1,3,2,5,2,2,12.75,0.09,"R9996"
2,201011,201011,58,1,5,3,5,3,3,12.75,0.09,"R9997"
2,201011,201011,58,1,5,3,5,5,5,12.75,0.09,"R9998"
1,201011,201011,56,1,3,3,3,5,5,11.78,0.07,"R9999"
1,201011,201011,56,1,5,4,4,5,5,11.78,0.07,"R10000"
1,201011,201011,56,1,3,3,3,3,3,11.78,0.07,"R10001"
1,201011,201011,56,1,3,5,0,5,3,11.78,0.07,"R10002"
2,201011,201011,56,1,4,4,4,5,5,11.78,0.07,"R10003"
2,201011,201011,56,1,4,4,3,5,5,11.78,0.07,"R10004"
2,201011,201011,56,1,4,4,3,3,5,12.28,0.12,"R10005"
2,201011,201011,56,1,3,4,3,3,4,12.28,0.12,"R10006"
2,201011,201011,56,1,5,5,5,5,5,12.28,0.12,"R10007"
2,201011,201011,56,1,1,5,2,2,2,12.28,0.12,"R10008"
1,201011,201011,57,1,5,2,3,4,4,12.35,0.12,"R10009"
1,201011,201011,57,1,4,5,4,3,5,12.35,0.12,"R10010"
1,201011,201011,57,1,4,3,3,3,5,12.35,0.12,"R10011"
2,201011,201011,57,1,3,5,5,4,5,12.35,0.12,"R10012"
2,201011,201011,57,1,5,3,3,5,4,12.35,0.12,"R10013"
1,201011,201011,57,1,5,4,4,5,5,12.35,0.12,"R10014"
1,201011,201011,57,1,2,3,3,5,3,12.35,0.12,"R10015"
2,201011,201011,57,1,5,5,4,5,5,12.35,0.12,"R10016"
2,201012,201012,55,1,2,3,2,2,3,12.98,0.16,"R10018"
2,201012,201012,55,1,5,5,5,5,3,12.98,0.16,"R10019"
2,201012,201012,55,1,3,4,4,4,5,12.98,0.16,"R10020"
1,201012,201012,55,1,5,3,2,2,5,12.98,0.16,"R10021"
2,201012,201012,55,1,4,4,4,4,5,12.98,0.16,"R10022"
2,201012,201012,55,1,5,3,2,5,4,12.98,0.16,"R10023"
1,201012,201012,55,1,5,4,4,5,5,12.98,0.16,"R10024"
2,201012,201012,56,1,3,2,3,4,4,12.79,0.12,"R10025"
1,201012,201012,56,1,5,3,2,3,4,12.79,0.12,"R10026"
2,201012,201012,56,1,4,5,3,4,3,12.79,0.12,"R10027"
1,201012,201012,56,1,3,4,4,5,4,12.79,0.12,"R10028"
1,201012,201012,56,1,4,3,3,4,5,12.79,0.12,"R10029"
2,201012,201012,56,1,2,5,3,2,2,12.79,0.12,"R10030"
2,201012,201012,55,1,2,4,4,3,5,11.83,0.09,"R10032"
2,201012,201012,55,1,2,4,4,3,4,11.83,0.09,"R10033"
2,201012,201012,55,1,2,4,3,4,4,11.83,0.09,"R10034"
1,201012,201012,55,1,1,3,3,4,3,11.83,0.09,"R10035"
1,201012,201012,60,1,5,5,5,5,5,12.48,0.07,"R10036"
1,201012,201012,60,1,4,5,3,5,5,12.48,0.07,"R10037"
1,201012,201012,60,1,5,3,3,3,5,12.48,0.07,"R10038"
2,201012,201012,60,1,5,4,4,5,5,12.48,0.07,"R10039"
1,201012,201012,60,1,3,3,3,4,5,12.48,0.07,"R10040"
2,201012,201012,60,1,4,3,2,5,4,12.48,0.07,"R10041"
1,201012,201012,60,1,5,5,4,3,5,12.48,0.07,"R10042"
2,201012,201012,60,1,5,5,5,5,5,12.48,0.07,"R10043"
1,201012,201012,60,1,4,5,4,3,5,12.48,0.07,"R10044"
2,201101,201101,57,1,5,5,5,5,5,12.29,0.09,"R10045"
1,201101,201101,57,1,3,3,3,3,5,12.29,0.09,"R10047"
2,201101,201101,57,1,4,4,5,5,5,12.29,0.09,"R10048"
1,201101,201101,61,1,5,3,5,3,5,12.29,0.09,"R10049"
2,201101,201101,57,1,2,5,3,3,3,12.29,0.09,"R10050"
1,201101,201101,57,1,3,4,3,4,5,12.29,0.09,"R10051"
2,201101,201101,61,1,5,1,1,2,1,12.29,0.09,"R10052"
2,201101,201101,61,1,5,4,5,4,5,12.29,0.09,"R10053"
2,201101,201101,57,1,5,4,4,5,5,12.29,0.09,"R10054"
2,201101,201101,61,1,4,2,5,3,4,12.29,0.09,"R10055"
2,201101,201101,54,1,5,2,4,3,3,12.76,0.12,"R10058"
1,201101,201101,54,1,5,3,3,3,3,12.76,0.12,"R10059"
1,201102,201102,68,1,5,5,5,5,5,12.76,0.12,"R10060"
2,201101,201101,54,1,5,3,4,3,4,12.76,0.12,"R10061"
1,201101,201101,55,1,4,4,3,3,5,11.76,0.05,"R10063"
2,201101,201101,56,1,5,3,3,4,5,11.76,0.05,"R10064"
1,201101,201101,56,1,2,3,2,2,4,11.76,0.05,"R10065"
1,201101,201101,56,1,5,3,5,4,5,11.76,0.05,"R10066"
2,201101,201101,55,1,2,3,3,4,3,11.76,0.05,"R10067"
2,201101,201101,56,1,5,5,4,3,5,11.76,0.05,"R10068"
2,201101,201101,55,1,2,2,3,2,3,11.76,0.05,"R10069"
1,201101,201101,55,1,4,2,2,2,3,11.76,0.05,"R10070"
2,201101,201101,55,1,5,2,2,2,3,11.76,0.05,"R10071"
1,201101,201101,58,1,5,4,4,4,5,12.83,0.13,"R10072"
2,201101,201101,58,1,4,5,4,5,5,12.83,0.13,"R10073"
2,201101,201101,58,1,4,5,5,5,5,12.83,0.13,"R10074"
2,201101,201101,58,1,5,4,4,4,5,12.83,0.13,"R10075"
2,201101,201101,58,1,5,5,5,5,5,12.83,0.13,"R10076"
2,201101,201101,58,1,5,4,4,5,5,12.83,0.13,"R10077"
2,201102,201102,56,1,5,4,3,4,5,13.22,0.15,"R10090"
2,201102,201102,56,1,5,2,2,4,2,13.22,0.15,"R10091"
1,201102,201102,56,1,4,5,4,3,5,13.22,0.15,"R10092"
2,201102,201102,57,1,5,3,4,3,3,13.22,0.15,"R10093"
1,201102,201102,57,1,4,5,4,5,5,13.22,0.15,"R10094"
2,201102,201102,57,1,4,5,4,4,5,13.22,0.15,"R10095"
1,201102,201102,57,1,4,4,4,5,4,13.22,0.15,"R10096"
2,201102,201102,56,1,4,4,4,3,4,13.22,0.15,"R10097"
1,201102,201102,60,1,5,5,5,5,5,11.72,0.06,"R10098"
1,201102,201102,60,1,5,4,4,4,5,11.72,0.06,"R10099"
1,201102,201102,60,1,5,3,3,3,4,11.72,0.06,"R10100"
1,201102,201102,61,1,2,3,4,5,4,11.72,0.06,"R10101"
1,201102,201102,60,1,3,3,3,4,5,11.72,0.06,"R10103"
1,201102,201102,60,1,4,5,5,5,5,11.72,0.06,"R10104"
2,201102,201102,61,1,5,4,4,5,5,12.35,0.09,"R10105"
1,201102,201102,56,1,3,4,4,4,5,12.35,0.09,"R10106"
2,201102,201102,56,1,5,2,3,3,4,12.35,0.09,"R10107"
2,201102,201102,56,1,3,5,4,4,5,12.35,0.09,"R10108"
1,201102,201102,61,1,5,2,2,2,3,12.35,0.09,"R10109"
1,201102,201102,56,1,3,5,4,4,5,12.35,0.09,"R10110"
2,201102,201102,56,1,3,5,3,3,4,12.35,0.09,"R10111"
1,201102,201102,56,1,5,3,5,5,4,12.35,0.09,"R10112"
2,201102,201102,56,1,5,3,3,4,4,12.35,0.09,"R10113"
2,201102,201102,61,1,4,5,4,5,5,12.35,0.09,"R10114"
1,201102,201102,58,1,3,5,3,3,5,13.38,0.12,"R10115"
2,201102,201102,58,1,3,4,4,3,4,13.38,0.12,"R10116"
1,201102,201102,58,1,5,4,4,4,5,13.38,0.12,"R10117"
2,201102,201102,55,1,4,5,4,5,3,11.48,0.07,"R15444"
2,201103,201103,55,1,5,2,3,2,3,13.04,0.13,"R10118"
1,201103,201103,55,1,3,5,3,4,4,13.04,0.13,"R10119"
2,201103,201103,55,1,5,5,5,4,5,13.04,0.13,"R10120"
1,201103,201103,55,1,5,4,4,4,5,13.04,0.13,"R10121"
2,201103,201103,56,1,3,2,2,4,4,13.04,0.13,"R10122"
1,201103,201103,56,1,5,2,2,2,2,13.04,0.13,"R10123"
2,201103,201103,56,1,5,4,4,4,5,13.04,0.13,"R10124"
1,201103,201103,56,1,5,4,4,4,5,13.04,0.13,"R10125"
1,201103,201103,56,1,5,3,2,2,4,13.04,0.13,"R10126"
1,201103,201103,55,1,5,5,4,5,5,13.04,0.13,"R10127"
1,201103,201103,60,1,5,3,4,4,4,11.22,0.07,"R10128"
2,201103,201103,60,1,5,3,3,3,3,11.22,0.07,"R10129"
2,201103,201103,60,1,5,1,1,4,1,11.22,0.07,"R10130"
2,201103,201103,60,1,5,4,4,4,5,11.22,0.07,"R10131"
2,201103,201103,60,1,5,3,4,4,4,11.22,0.07,"R10132"
2,201103,201103,60,1,2,3,3,3,3,11.22,0.07,"R10134"
1,201103,201103,59,1,5,4,5,4,5,13.41,0.14,"R10135"
2,201103,201103,59,1,4,5,4,5,5,13.41,0.14,"R10136"
2,201103,201103,59,1,5,3,3,3,4,13.41,0.14,"R10137"
1,201103,201103,59,1,4,4,3,3,5,13.41,0.14,"R10138"
2,201103,201103,59,1,4,4,3,3,5,13.41,0.14,"R10139"
2,201103,201103,59,1,5,3,4,3,4,13.41,0.14,"R10140"
2,201103,201103,59,1,4,3,3,3,4,13.41,0.14,"R10141"
1,201103,201103,54,1,5,5,5,5,5,12.99,0.15,"R10142"
2,201103,201103,54,1,2,5,4,4,4,12.99,0.15,"R10143"
1,201103,201103,54,1,4,3,3,2,4,12.99,0.15,"R10144"
2,201103,201103,54,1,4,5,4,4,5,12.99,0.15,"R10145"
2,201103,201103,54,1,4,4,3,3,5,12.99,0.15,"R10146"
1,201103,201103,54,1,4,5,4,5,5,12.99,0.15,"R10147"
1,201103,201103,54,1,5,5,4,5,5,12.99,0.15,"R10148"
2,201103,201103,60,1,5,5,5,4,5,12.12,0.1,"R10149"
2,201103,201103,57,1,4,4,4,4,5,12.12,0.1,"R10150"
1,201103,201103,60,1,5,2,3,2,3,12.12,0.1,"R10151"
1,201103,201103,60,1,3,5,4,3,5,12.12,0.1,"R10152"
2,201103,201103,57,1,4,3,4,4,5,12.12,0.1,"R10153"
2,201103,201103,57,1,4,4,4,4,5,12.12,0.1,"R10154"
1,201103,201103,57,1,4,2,3,2,4,12.12,0.1,"R10155"
1,201103,201103,60,1,5,4,4,4,5,12.12,0.1,"R10156"
1,201103,201103,60,1,5,4,4,4,5,12.12,0.1,"R10157"
1,201103,201103,57,1,4,2,2,4,3,12.12,0.1,"R10158"
2,201104,201104,53,1,5,4,4,4,5,12.27,0.09,"R10159"
2,201104,201104,54,1,3,5,4,3,3,12.27,0.09,"R10160"
1,201104,201104,53,1,4,4,3,3,5,12.27,0.09,"R10161"
2,201104,201104,53,1,4,3,4,3,4,12.27,0.09,"R10162"
1,201104,201104,54,1,5,5,4,5,5,12.27,0.09,"R10163"
1,201104,201104,53,1,5,5,5,5,5,12.27,0.09,"R10164"
2,201104,201104,56,1,4,4,4,4,5,11.78,0.07,"R10165"
1,201104,201104,56,1,5,5,4,5,5,11.78,0.07,"R10166"
2,201104,201104,56,1,5,3,4,4,5,11.78,0.07,"R10167"
1,201104,201104,56,1,5,2,2,4,2,11.78,0.07,"R10168"
1,201104,201104,56,1,2,5,3,4,3,11.78,0.07,"R10169"
1,201104,201104,56,1,4,3,4,3,5,11.78,0.07,"R10170"
2,201104,201104,56,1,5,4,4,5,5,11.78,0.07,"R10171"
2,201104,201104,56,1,3,5,3,3,4,11.78,0.07,"R10172"
2,201104,201104,54,1,4,3,3,3,4,11.74,0.08,"R10173"
1,201104,201104,54,1,2,5,2,4,3,11.74,0.08,"R10174"
2,201104,201104,54,1,4,0,4,4,5,11.74,0.08,"R10175"
1,201104,201104,54,1,5,3,4,4,4,11.74,0.08,"R10176"
1,201104,201104,55,1,5,4,4,4,5,11.74,0.08,"R10177"
2,201104,201104,55,1,3,5,4,4,4,11.74,0.08,"R10178"
1,201104,201104,55,1,4,5,4,4,5,11.74,0.08,"R10179"
1,201104,201104,55,1,5,4,4,4,5,11.74,0.08,"R10180"
1,201104,201104,54,1,5,5,5,4,5,11.74,0.08,"R10181"
1,201105,201105,56,1,1,5,3,2,2,12.83,0.13,"R10182"
1,201105,201105,56,1,3,4,3,3,3,12.83,0.13,"R10183"
1,201105,201105,56,1,3,5,3,4,5,12.83,0.13,"R10184"
2,201105,201105,56,1,3,3,3,3,4,12.83,0.13,"R10185"
2,201105,201105,56,1,3,4,3,3,4,12.83,0.13,"R10186"
1,201105,201105,57,1,3,5,3,4,5,12.6,0.09,"R10187"
1,201105,201105,57,1,5,5,4,5,5,12.6,0.09,"R10188"
1,201105,201105,57,1,5,2,2,2,2,12.6,0.09,"R10189"
2,201105,201105,57,1,3,4,3,3,5,12.6,0.09,"R10190"
1,201105,201105,57,1,2,3,2,3,4,12.6,0.09,"R10191"
2,201105,201105,57,1,4,5,4,4,5,12.6,0.09,"R10192"
2,201105,201105,58,1,5,3,3,5,5,13.13,0.16,"R10193"
1,201105,201105,58,1,5,4,4,4,5,13.13,0.16,"R10194"
2,201105,201105,58,1,5,3,3,3,4,13.13,0.16,"R10195"
2,201105,201105,58,1,5,2,3,3,4,13.13,0.16,"R10196"
2,201105,201105,58,1,3,5,4,4,5,13.13,0.16,"R10197"
1,201105,201105,60,1,5,5,4,5,5,12.34,0.1,"R10198"
2,201105,201105,58,1,4,5,4,4,5,12.34,0.1,"R10199"
2,201105,201105,58,1,5,2,2,4,4,12.34,0.1,"R10201"
2,201105,201105,58,1,5,5,4,5,5,12.34,0.1,"R10202"
2,201105,201105,60,1,4,5,5,5,5,12.34,0.1,"R10203"
1,201105,201105,60,1,5,5,5,5,5,12.34,0.1,"R10204"
1,201105,201105,58,1,3,0,3,3,4,12.34,0.1,"R10205"
1,201105,201105,58,1,4,4,3,4,5,12.34,0.1,"R10206"
2,201105,201105,60,1,5,4,4,5,5,12.34,0.1,"R10207"
1,201105,201105,60,1,4,3,4,3,4,12.53,0.1,"R10208"
2,201105,201105,60,1,3,4,3,4,4,12.53,0.1,"R10209"
1,201105,201105,60,1,5,5,4,5,3,12.53,0.1,"R10210"
1,201105,201105,60,1,5,4,4,5,5,12.53,0.1,"R10211"
1,201105,201105,60,1,5,4,4,4,5,12.53,0.1,"R10212"
2,201105,201105,60,1,5,5,5,5,4,12.53,0.1,"R10213"
