"thunder","altDogID","altSireID","altDamID"
5,"R6207","R4240","R5150"
5,"R6208","R4240","R5150"
5,"R6209","R4240","R5150"
2,"R6210","R4240","R5150"
4,"R6211","R4240","R5150"
5,"R6213","R4240","R5150"
5,"R6214","R4240","R5150"
4,"R6216","R4240","R3086"
1,"R6217","R4240","R3086"
5,"R6218","R4240","R3086"
5,"R6219","R4240","R3086"
5,"R6220","R4240","R3086"
5,"R6222","R4240","R3086"
3,"R6224","R4240","R2595"
5,"R6225","R4240","R2595"
4,"R6226","R4240","R2595"
5,"R6227","R4240","R2595"
5,"R6228","R4240","R2595"
5,"R6229","R4240","R2595"
2,"R6230","R4240","R2595"
5,"R6231","R4240","R2595"
5,"R6232","R5081","R2271"
2,"R6233","R5081","R2271"
1,"R6236","R5081","R2271"
5,"R6238","R4504","R4885"
5,"R6239","R4504","R4885"
5,"R6241","R4504","R4885"
2,"R6242","R4174","R3696"
5,"R6246","R4174","R3696"
5,"R6247","R4174","R3696"
5,"R6248","R4174","R3696"
5,"R6249","R4504","R4940"
5,"R6250","R4504","R4940"
1,"R6253","R4504","R4940"
5,"R6257","R4504","R4940"
3,"R6260","R5240","R5101"
5,"R6262","R5240","R5101"
1,"R6263","R5240","R5101"
4,"R6264","R4240","R5082"
5,"R6265","R4240","R5082"
4,"R6268","R4240","R5082"
5,"R6269","R4240","R5082"
5,"R6270","R4240","R5082"
1,"R6271","R4240","R5082"
5,"R6273","R4240","R3822"
4,"R6274","R4240","R3822"
5,"R6277","R4240","R3822"
5,"R6279","R4965","R4631"
5,"R6280","R4965","R4631"
5,"R6281","R4240","R5383"
5,"R6282","R4240","R5383"
5,"R6283","R4240","R5383"
5,"R6284","R4240","R5383"
5,"R6286","R4240","R5383"
4,"R6287","R4240","R5383"
5,"R6289","R5275","R2662"
2,"R6291","R5275","R2662"
2,"R6292","R5275","R2662"
3,"R6294","R5275","R2662"
5,"R6296","R2553","R2075"
5,"R6298","R5045","R5230"
5,"R6299","R5045","R5230"
5,"R6300","R5045","R5230"
1,"R6301","R5045","R5230"
2,"R6305","R5045","R5230"
5,"R6307","R5081","R3998"
5,"R6312","R5081","R3998"
1,"R6314","R5312","R4105"
2,"R6315","R5312","R4105"
2,"R6316","R5312","R4105"
3,"R6318","R1215","R4988"
5,"R6319","R5312","R4105"
4,"R6326","R1215","R4988"
5,"R6329","R3148","R5079"
3,"R6330","R3148","R5079"
2,"R6332","R3148","R5079"
5,"R6334","R5240","R5359"
5,"R6336","R5240","R5359"
5,"R6337","R5240","R5359"
5,"R6339","R5240","R5359"
5,"R6340","R5240","R5359"
5,"R6341","R5240","R5359"
3,"R6343","R5081","R2959"
4,"R6345","R4127","R3989"
1,"R6348","R4127","R3989"
2,"R6349","R1667","R4440"
5,"R6351","R1667","R4440"
3,"R6353","R1667","R4440"
2,"R6354","R1667","R4440"
5,"R6358","R5045","R3311"
5,"R6359","R5045","R3311"
5,"R6356","R1667","R4440"
4,"R6364","R5120","R2735"
5,"R6365","R5120","R2735"
5,"R6368","R5120","R2735"
5,"R6369","R5120","R2735"
1,"R6371","R15603","R4632"
5,"R6374","R3608","R3639"
5,"R6379","R3608","R3639"
2,"R6380","R3608","R3639"
5,"R6381","R4127","R3542"
5,"R6382","R4127","R3542"
5,"R6383","R4127","R3542"
5,"R6392","R2553","R5002"
5,"R6393","R2553","R5002"
5,"R6394","R2553","R5002"
5,"R6398","R4639","R3732"
4,"R6399","R4639","R3732"
5,"R6400","R4639","R3732"
5,"R6401","R4639","R3732"
5,"R6403","R4639","R3732"
5,"R6404","R4639","R3732"
5,"R6405","R4639","R3732"
1,"R6406","R5275","R5238"
1,"R6408","R5275","R5238"
5,"R6410","R5275","R5238"
5,"R6412","R5275","R5238"
5,"R6413","R5275","R5238"
5,"R6415","R5275","R5238"
5,"R6416","R5081","R2058"
5,"R6419","R5081","R4574"
5,"R6421","R2553","R3189"
2,"R6423","R1215","R4829"
2,"R6424","R1215","R4829"
3,"R6426","R1215","R4829"
5,"R6428","R5081","R4267"
3,"R6429","R5081","R4267"
5,"R6432","R4127","R3640"
3,"R6434","R4127","R3640"
5,"R6435","R4127","R3640"
4,"R6437","R4127","R3640"
5,"R6438","R5222","R5386"
5,"R6441","R5222","R5386"
5,"R6442","R5222","R5386"
5,"R6443","R5222","R5386"
5,"R6445","R4639","R4846"
5,"R6448","R4639","R4846"
5,"R6450","R4639","R4846"
5,"R6451","R4639","R4846"
5,"R6456","R5081","R4373"
5,"R6457","R5081","R4373"
5,"R6458","R5081","R4373"
4,"R6467","R4240","R3988"
5,"R6468","R4240","R3988"
5,"R6470","R4639","R5044"
5,"R6472","R4639","R5044"
5,"R6473","R4639","R5044"
5,"R6474","R4639","R5044"
4,"R6476","R5120","R4630"
4,"R6477","R5120","R4630"
3,"R6478","R5120","R4630"
2,"R6483","R5120","R4630"
4,"R6484","R5120","R4630"
4,"R6489","R5703","R2671"
5,"R6490","R5703","R2671"
2,"R6491","R5703","R2671"
1,"R6494","R4965","R3147"
5,"R6496","R4965","R3147"
5,"R6498","R5120","R4582"
4,"R6500","R5120","R4582"
5,"R6504","R5081","R5366"
5,"R6506","R5081","R5366"
1,"R6507","R5081","R5366"
2,"R6508","R5081","R5366"
5,"R6509","R5081","R3086"
4,"R6511","R5081","R3086"
5,"R6512","R5081","R3086"
1,"R6514","R5703","R3667"
5,"R6515","R5703","R3667"
4,"R6519","R5703","R3667"
5,"R6521","R4639","R5493"
2,"R6523","R4639","R5493"
4,"R6527","R5641","R5388"
5,"R6529","R5641","R5388"
5,"R6530","R5641","R5388"
4,"R6531","R5641","R5388"
5,"R6532","R5641","R5388"
4,"R6534","R5641","R3696"
5,"R6539","R5641","R3696"
4,"R6542","R4965","R3830"
5,"R6543","R4965","R3830"
4,"R6544","R4965","R3830"
4,"R6546","R4965","R3830"
5,"R6547","R4504","R4591"
3,"R6548","R4504","R4591"
5,"R6550","R4504","R4591"
5,"R6551","R4504","R4591"
5,"R6552","R4504","R4591"
5,"R6553","R4504","R4591"
5,"R6554","R5641","R3775"
5,"R6555","R5641","R3775"
5,"R6557","R5641","R3775"
5,"R6560","R5641","R3775"
5,"R6562","R5641","R3775"
4,"R6563","R5081","R3745"
5,"R6564","R5081","R3745"
5,"R6569","R5641","R4714"
5,"R6570","R5641","R4714"
5,"R6571","R5641","R4714"
5,"R6572","R5641","R4714"
4,"R6574","R5641","R4714"
5,"R6578","R5081","R4885"
5,"R6580","R5081","R4885"
2,"R6582","R5703","R5403"
5,"R6585","R5703","R5403"
4,"R6586","R5703","R5403"
5,"R6589","R5641","R5230"
5,"R6593","R5641","R5230"
5,"R6596","R5641","R5230"
5,"R6597","R5641","R5230"
5,"R6598","R5641","R5230"
1,"R6601","R5312","R5310"
5,"R6602","R5312","R5310"
5,"R6603","R5312","R5310"
3,"R6604","R5312","R5310"
5,"R6606","R5312","R5310"
2,"R6609","R5703","R5612"
5,"R6610","R5703","R5612"
5,"R6611","R5703","R5612"
3,"R6612","R5703","R5612"
5,"R6614","R5703","R5612"
3,"R6615","R4639","R3998"
5,"R6620","R4639","R3998"
5,"R6622","R4639","R3998"
5,"R6623","R5641","R3831"
1,"R6627","R5641","R3831"
5,"R6630","R5081","R5101"
1,"R6631","R5081","R5101"
5,"R6632","R5081","R5101"
5,"R6633","R5081","R5101"
5,"R6638","R5081","R5101"
5,"R6641","R5638","R5082"
3,"R6642","R5638","R5082"
2,"R6643","R5638","R5082"
3,"R6645","R5638","R5082"
5,"R6648","R5081","R2057"
5,"R6649","R5081","R2057"
5,"R6658","R4127","R5429"
2,"R6662","R4127","R5429"
3,"R6666","R5081","R5218"
5,"R6667","R5081","R5218"
5,"R6669","R5081","R5218"
5,"R6671","R5703","R5535"
4,"R6670","R5081","R5218"
5,"R6673","R5703","R5535"
5,"R6674","R5703","R5535"
5,"R6676","R5120","R4631"
4,"R6681","R4127","R5644"
5,"R6683","R4127","R5644"
4,"R6684","R4127","R5644"
2,"R6687","R4127","R5644"
5,"R6688","R5081","R2735"
5,"R6689","R5081","R2735"
5,"R6691","R5081","R2735"
3,"R6692","R5081","R2735"
5,"R6693","R5081","R2735"
4,"R6695","R5081","R5359"
1,"R6698","R5081","R5359"
3,"R6700","R5081","R5359"
1,"R6702","R5081","R5359"
4,"R6705","R5693","R5610"
5,"R6706","R5693","R5610"
1,"R6709","R5693","R5610"
5,"R6710","R5693","R5610"
5,"R6715","R5081","R5718"
3,"R6716","R5081","R5718"
5,"R6718","R5081","R5718"
5,"R6719","R5081","R5718"
5,"R6720","R5081","R5718"
5,"R6722","R4127","R3638"
5,"R6723","R4127","R3638"
5,"R6727","R4639","R4581"
5,"R6728","R4639","R4581"
4,"R6729","R4639","R4581"
3,"R6733","R5638","R3732"
2,"R6734","R5638","R3732"
5,"R6737","R5638","R3732"
1,"R6738","R5638","R3732"
5,"R6741","R5312","R3639"
5,"R6742","R5312","R3639"
5,"R6743","R5312","R3639"
5,"R6744","R5312","R3639"
2,"R6745","R5312","R3639"
5,"R6747","R5081","R4632"
2,"R6748","R5081","R4632"
5,"R6750","R5081","R4632"
3,"R6752","R5081","R4632"
5,"R6753","R5120","R4726"
5,"R6757","R5120","R4726"
5,"R6758","R5120","R4726"
4,"R6759","R5120","R4726"
5,"R6760","R5120","R4726"
5,"R6761","R5120","R4726"
5,"R6762","R4639","R5002"
5,"R6773","R5081","R5613"
5,"R6776","R5081","R5613"
2,"R6777","R5081","R5613"
1,"R6778","R5081","R5613"
5,"R6779","R4127","R5812"
5,"R6782","R4127","R5812"
5,"R6786","R4127","R5812"
5,"R6787","R4504","R4630"
3,"R6791","R4504","R4630"
5,"R6792","R4504","R4630"
5,"R6793","R4504","R4630"
5,"R6794","R5693","R4574"
4,"R6796","R5693","R4574"
5,"R6797","R5693","R4574"
5,"R6798","R5693","R4574"
4,"R6799","R5693","R4574"
1,"R6800","R15666","R4829"
4,"R6801","R4127","R5079"
1,"R6803","R4127","R5079"
3,"R6804","R4127","R5079"
5,"R6806","R4127","R5079"
5,"R6807","R4127","R5079"
2,"R6808","R4127","R5079"
2,"R6809","R5120","R2595"
5,"R6810","R5120","R2595"
5,"R6812","R5120","R2595"
3,"R6813","R5120","R2595"
5,"R6814","R5120","R2595"
5,"R6817","R5240","R4846"
5,"R6818","R5240","R4846"
5,"R6821","R5240","R4846"
5,"R6823","R5240","R4846"
4,"R6824","R5930","R5736"
5,"R6825","R5930","R5736"
5,"R6826","R5930","R5736"
4,"R6827","R5930","R5736"
5,"R6828","R5930","R5736"
4,"R6829","R5930","R5736"
5,"R6830","R5930","R5736"
1,"R6831","R5081","R4267"
5,"R6835","R5312","R5646"
3,"R6837","R5312","R5646"
5,"R6838","R5312","R5646"
5,"R6839","R5312","R5646"
5,"R6841","R5120","R3247"
5,"R6842","R5120","R3247"
5,"R6843","R5120","R3247"
4,"R6848","R5240","R5555"
5,"R6849","R5240","R5555"
4,"R6850","R5240","R5555"
2,"R6854","R5240","R5555"
5,"R6855","R5240","R5555"
5,"R6845","R5120","R3247"
4,"R6847","R5120","R3247"
5,"R6857","R5928","R4582"
5,"R6860","R5928","R4582"
5,"R6861","R5928","R4582"
5,"R6862","R5928","R4582"
5,"R6863","R5928","R4582"
5,"R6866","R5641","R4440"
5,"R6868","R5641","R4440"
5,"R6869","R5641","R4440"
5,"R6873","R5966","R5388"
2,"R6874","R5966","R5388"
4,"R6875","R5966","R5388"
5,"R6876","R5966","R5388"
5,"R6877","R5966","R5388"
5,"R6878","R5966","R5388"
5,"R6879","R5966","R5388"
4,"R6880","R5930","R4591"
5,"R6882","R5930","R4591"
5,"R6883","R5930","R4591"
5,"R6884","R5930","R4591"
5,"R6885","R5930","R4591"
3,"R6886","R4240","R2959"
5,"R6887","R4240","R2959"
5,"R6889","R4240","R2959"
5,"R6890","R4240","R2959"
5,"R6899","R4240","R3990"
2,"R6905","R5966","R4940"
5,"R6907","R5966","R4940"
1,"R6908","R5966","R4940"
4,"R6912","R5081","R4655"
4,"R6914","R5081","R4655"
5,"R6915","R4240","R3745"
5,"R6916","R4240","R3745"
5,"R6917","R4240","R3745"
5,"R6918","R4240","R3745"
5,"R6919","R4240","R3745"
5,"R6920","R4240","R3745"
4,"R6921","R4240","R3745"
4,"R6923","R5966","R5832"
5,"R6925","R5966","R5832"
5,"R6927","R5966","R5832"
5,"R6931","R5120","R3830"
5,"R6932","R5120","R3830"
3,"R6934","R5120","R3830"
1,"R6935","R5120","R3830"
2,"R6937","R5120","R3830"
5,"R6939","R4240","R4714"
3,"R6940","R4240","R4714"
5,"R6941","R4240","R4714"
5,"R6942","R4240","R4714"
5,"R6945","R5120","R5238"
5,"R6948","R5120","R5238"
5,"R6951","R5120","R5238"
5,"R6958","R4240","R3989"
5,"R15717","R15715","R15716"
4,"R15718","R15715","R15716"
5,"R6960","R5081","R5403"
3,"R6964","R5120","R2488"
5,"R6965","R5120","R2488"
5,"R6966","R5120","R2488"
2,"R6968","R5120","R2488"
5,"R6969","R5120","R2488"
5,"R6970","R5120","R2488"
2,"R6971","R5120","R2488"
5,"R6972","R5120","R5996"
1,"R6973","R5120","R5996"
2,"R6975","R4240","R5938"
2,"R6978","R4240","R5938"
5,"R6981","R4240","R5938"
5,"R6982","R5120","R5996"
2,"R6983","R5120","R5996"
5,"R6984","R5120","R5996"
5,"R6986","R5120","R5996"
5,"R6987","R5120","R5996"
5,"R6988","R5120","R5996"
5,"R6989","R5993","R3668"
1,"R6990","R5993","R3668"
1,"R6991","R5993","R3668"
5,"R6992","R5993","R3668"
5,"R6994","R5993","R3668"
5,"R6996","R5993","R3668"
5,"R6997","R5993","R3668"
3,"R6998","R4240","R5493"
1,"R7001","R5081","R6059"
5,"R7002","R5081","R6059"
2,"R7007","R5081","R6059"
3,"R7008","R5966","R5895"
1,"R7009","R5966","R5895"
2,"R7010","R5966","R5895"
2,"R7014","R5081","R4881"
2,"R7015","R5081","R4881"
5,"R7017","R5081","R4881"
2,"R7023","R4240","R3831"
5,"R7024","R4240","R3831"
5,"R7029","R4240","R3831"
3,"R7031","R5993","R3147"
2,"R7034","R5993","R3147"
5,"R7035","R5993","R5814"
5,"R7037","R5993","R5814"
3,"R7038","R5993","R5814"
5,"R7040","R5993","R5814"
5,"R7042","R5081","R5863"
5,"R7043","R5081","R5863"
3,"R7044","R5081","R5863"
2,"R7045","R5081","R5863"
1,"R7046","R5081","R5863"
2,"R7047","R5081","R5863"
5,"R7048","R5081","R5863"
5,"R7049","R2727","R5919"
5,"R7050","R2727","R5919"
4,"R7051","R2727","R5919"
3,"R7052","R2727","R5919"
5,"R7053","R2727","R5919"
3,"R7054","R2727","R5919"
5,"R7057","R5240","R5898"
4,"R7058","R5240","R5898"
2,"R7059","R5240","R5898"
4,"R7062","R5240","R5898"
1,"R7063","R5240","R5898"
3,"R7064","R5240","R5898"
5,"R7065","R5240","R5898"
1,"R7066","R5240","R5898"
4,"R7068","R5993","R3542"
2,"R7071","R5081","R5769"
5,"R7073","R5081","R5769"
2,"R7077","R5081","R5769"
4,"R7078","R5081","R5769"
2,"R7080","R2727","R5827"
3,"R7081","R2727","R5827"
5,"R7082","R2727","R5827"
5,"R7083","R5081","R5612"
2,"R7084","R5081","R5612"
5,"R7085","R5081","R5612"
1,"R7088","R5081","R5612"
1,"R7089","R5081","R5612"
3,"R7090","R5081","R5612"
2,"R7091","R5081","R5612"
5,"R7098","R5993","R3775"
5,"R7103","R5993","R3775"
5,"R7104","R5993","R3775"
4,"R7106","R5993","R5359"
5,"R7107","R5993","R5359"
5,"R7108","R5993","R5359"
2,"R7109","R5993","R5359"
5,"R7111","R5993","R5359"
5,"R7112","R5993","R5359"
5,"R7115","R5993","R5359"
5,"R7116","R5993","R5359"
3,"R7117","R5930","R5082"
2,"R7118","R5930","R5082"
4,"R7119","R5930","R5082"
5,"R7121","R5930","R5082"
5,"R7122","R5930","R5082"
5,"R7124","R5930","R5082"
2,"R7126","R5693","R5933"
5,"R7127","R5693","R5933"
5,"R7130","R5693","R5933"
4,"R7131","R5693","R5933"
4,"R7132","R5693","R5933"
5,"R7134","R5081","R4631"
3,"R7135","R5081","R4631"
4,"R7136","R5081","R4631"
5,"R7137","R5081","R4631"
5,"R7138","R5993","R5610"
4,"R7140","R5993","R5610"
5,"R7141","R5993","R5610"
5,"R7142","R5993","R5610"
3,"R7143","R5993","R5610"
5,"R7144","R5993","R5610"
3,"R7145","R5993","R3638"
1,"R7146","R5993","R3638"
5,"R7150","R5993","R3638"
3,"R7151","R5993","R4726"
5,"R7152","R5993","R4726"
3,"R7155","R5993","R4726"
5,"R7156","R5993","R4726"
5,"R7159","R5993","R5002"
5,"R7160","R5993","R5002"
5,"R7161","R5993","R5002"
2,"R7162","R5993","R5002"
5,"R7163","R5993","R5002"
5,"R7166","R5993","R5002"
5,"R7167","R5993","R5002"
5,"R7168","R5993","R5002"
5,"R7170","R5693","R6115"
5,"R7171","R5693","R6115"
5,"R7172","R5693","R6115"
5,"R7175","R5693","R6115"
5,"R7177","R5693","R6115"
5,"R7178","R6267","R4846"
5,"R7179","R6267","R4846"
5,"R7180","R6267","R4846"
3,"R7181","R6267","R4846"
5,"R7184","R6267","R4846"
5,"R7185","R6267","R4846"
4,"R7186","R5240","R5535"
5,"R7187","R5240","R5535"
5,"R7188","R5240","R5535"
4,"R7189","R5240","R5535"
5,"R7192","R5993","R3988"
3,"R7195","R5993","R3988"
4,"R7196","R5993","R3988"
5,"R7199","R4240","R5429"
5,"R7200","R4240","R5429"
5,"R7202","R4240","R5429"
3,"R7203","R4240","R5429"
5,"R7205","R4240","R5429"
5,"R7209","R5693","R4829"
5,"R7210","R5693","R4829"
5,"R7211","R5693","R4829"
5,"R7213","R5240","R4574"
2,"R7214","R5240","R4574"
5,"R7216","R5240","R4574"
5,"R7217","R5240","R4574"
5,"R7219","R5081","R5736"
4,"R7221","R5081","R5736"
5,"R7222","R5081","R5736"
3,"R7223","R5081","R5736"
1,"R7224","R5081","R5736"
5,"R7225","R5081","R5736"
1,"R7226","R5081","R5736"
4,"R7228","R5081","R5736"
5,"R7230","R6272","R5646"
5,"R7231","R6272","R5646"
5,"R7232","R6272","R5646"
2,"R7236","R5993","R5044"
5,"R7239","R5993","R2595"
3,"R7241","R5993","R2595"
5,"R7243","R5993","R2595"
5,"R7245","R5993","R3696"
5,"R7246","R5993","R3696"
3,"R7247","R5993","R3696"
4,"R7248","R5993","R3696"
4,"R7249","R5993","R3696"
5,"R7250","R5993","R3696"
5,"R7253","R5993","R3696"
5,"R7256","R5240","R5812"
2,"R7257","R5240","R5812"
5,"R7258","R5240","R5812"
5,"R7262","R5240","R5812"
5,"R7265","R6225","R4507"
5,"R7267","R6225","R4507"
5,"R7269","R5993","R6168"
5,"R7271","R5993","R6168"
5,"R7273","R5993","R6168"
2,"R7274","R5993","R6168"
5,"R7275","R5993","R6168"
2,"R7277","R5993","R6168"
5,"R7278","R5240","R5388"
5,"R7279","R5240","R5388"
5,"R7280","R5240","R5388"
5,"R7282","R5240","R5388"
2,"R7284","R5240","R5388"
2,"R7285","R5240","R5388"
5,"R7286","R5240","R5388"
5,"R7287","R5240","R5386"
5,"R7288","R5240","R5386"
5,"R7289","R5240","R5386"
5,"R7290","R5240","R5386"
4,"R7292","R5240","R5386"
5,"R7293","R5240","R5386"
5,"R7295","R5240","R5386"
5,"R7296","R5240","R5386"
2,"R7297","R15755","R6264"
5,"R7298","R15755","R6264"
5,"R7299","R15755","R6264"
5,"R7300","R15755","R6264"
4,"R7301","R15755","R6264"
5,"R7302","R15755","R6264"
5,"R7303","R15755","R6264"
3,"R7304","R15755","R6264"
5,"R7305","R6267","R4714"
1,"R7306","R6267","R4714"
1,"R7307","R6267","R4714"
2,"R7309","R6267","R4714"
5,"R7311","R6267","R4714"
3,"R7313","R6267","R4373"
2,"R7315","R6267","R4373"
5,"R7316","R6267","R4373"
5,"R7317","R6267","R4373"
5,"R7321","R5993","R5230"
1,"R7325","R5993","R5230"
3,"R7327","R5993","R5230"
5,"R7328","R5993","R5230"
4,"R7329","R5993","R5230"
5,"R7331","R5930","R5938"
4,"R7335","R5930","R5938"
3,"R7339","R5240","R6229"
5,"R7340","R5240","R6229"
5,"R7341","R5240","R6229"
5,"R7342","R5240","R6229"
5,"R7344","R5240","R6229"
5,"R7347","R5240","R6229"
5,"R7348","R5240","R6229"
5,"R7351","R5045","R3990"
5,"R7352","R5045","R3990"
5,"R7357","R5045","R3990"
2,"R7359","R6267","R4581"
3,"R7360","R6267","R4581"
5,"R7363","R6267","R4581"
4,"R7365","R6267","R4581"
5,"R7366","R5993","R4988"
5,"R7368","R5993","R4988"
4,"R7369","R5993","R4988"
2,"R7370","R5993","R4988"
4,"R7372","R5993","R4988"
2,"R7373","R5993","R4988"
5,"R7375","R6267","R3732"
5,"R7376","R6267","R3732"
2,"R7377","R6267","R3732"
4,"R7378","R6267","R3732"
5,"R7380","R6267","R3732"
5,"R7384","R6267","R5814"
5,"R7385","R6267","R5814"
4,"R7386","R6267","R5814"
2,"R7389","R6267","R5814"
5,"R7398","R2534","R6059"
1,"R7399","R2534","R6059"
5,"R7400","R2534","R6059"
5,"R7391","R5993","R4881"
5,"R7392","R5993","R4881"
5,"R7393","R5993","R4881"
4,"R7394","R5993","R4881"
5,"R7395","R5993","R4881"
4,"R7406","R6267","R4632"
3,"R7407","R6267","R4632"
3,"R7408","R6267","R4632"
5,"R7409","R6267","R4632"
5,"R7411","R6267","R4632"
5,"R7412","R6267","R5101"
3,"R7414","R6267","R5101"
5,"R7415","R6267","R5101"
5,"R7416","R6267","R5101"
2,"R7417","R6267","R5101"
2,"R7419","R5993","R5218"
5,"R7421","R5993","R5218"
5,"R7422","R5993","R5218"
4,"R7423","R5993","R5218"
5,"R7424","R5993","R5218"
2,"R7425","R5993","R5218"
5,"R7428","R5993","R5218"
5,"R7429","R6267","R6379"
5,"R7436","R6267","R6379"
5,"R7438","R5641","R6213"
4,"R7439","R5641","R6213"
5,"R7440","R5641","R6213"
5,"R7442","R5641","R6213"
5,"R7443","R5641","R6213"
5,"R7444","R5641","R6213"
5,"R7445","R5641","R6213"
1,"R7454","R6272","R2959"
5,"R7455","R6272","R2959"
5,"R7456","R6272","R2959"
5,"R7457","R6272","R2959"
5,"R7458","R6272","R2959"
4,"R7459","R6272","R2959"
5,"R7461","R5641","R6087"
5,"R7462","R5641","R6087"
1,"R7465","R5641","R6087"
2,"R7466","R5641","R6087"
5,"R7467","R5641","R6087"
5,"R7468","R5641","R6087"
5,"R7469","R6272","R5493"
5,"R7470","R6272","R5493"
4,"R7471","R6272","R5493"
5,"R7472","R6272","R5493"
5,"R7473","R15755","R5079"
5,"R7475","R15755","R5079"
1,"R7476","R6267","R5863"
5,"R7477","R6267","R5863"
5,"R7481","R5641","R5933"
2,"R7482","R5641","R5933"
5,"R7483","R5641","R5933"
5,"R7484","R5641","R5933"
5,"R7485","R5641","R5933"
5,"R7486","R5641","R5933"
3,"R7487","R5641","R5933"
5,"R7488","R5641","R5933"
3,"R7489","R5641","R5933"
5,"R7493","R6267","R6431"
5,"R7495","R6267","R6431"
5,"R7497","R6267","R6431"
5,"R7499","R15666","R5898"
5,"R7500","R15666","R5898"
5,"R7501","R5930","R6262"
2,"R7503","R5930","R6262"
5,"R7504","R5930","R6262"
5,"R7505","R5930","R6262"
5,"R7507","R5930","R6262"
5,"R7515","R6556","R5996"
4,"R7516","R4240","R6458"
4,"R7519","R4240","R6458"
2,"R7522","R4240","R6458"
2,"R7523","R4240","R6458"
5,"R7524","R4240","R6458"
5,"R7525","R6267","R3745"
3,"R7527","R6267","R3745"
5,"R7528","R6267","R3745"
5,"R7530","R6267","R3745"
5,"R7531","R6267","R5646"
2,"R7532","R6267","R5646"
5,"R7533","R6267","R5646"
5,"R7537","R4240","R5082"
5,"R7541","R4240","R5082"
1,"R7542","R6272","R5610"
2,"R7544","R6272","R5610"
1,"R7545","R6272","R5610"
5,"R7546","R6272","R5644"
5,"R7547","R6272","R5644"
5,"R7548","R6272","R5644"
5,"R7549","R6272","R5644"
5,"R7550","R6272","R5644"
5,"R7555","R4240","R6398"
5,"R7556","R4240","R6398"
3,"R7561","R6267","R4829"
3,"R7563","R6267","R4829"
5,"R7564","R6267","R4829"
5,"R7565","R6267","R4829"
2,"R7569","R6267","R3775"
5,"R7570","R6267","R3775"
5,"R7571","R6267","R3775"
2,"R7572","R6267","R3775"
5,"R7573","R6272","R4574"
3,"R7574","R6272","R4574"
3,"R7575","R6272","R4574"
2,"R7576","R6272","R4574"
5,"R7577","R6272","R4574"
4,"R7578","R6272","R4574"
2,"R7579","R4240","R4655"
5,"R7583","R4240","R4655"
5,"R7585","R6272","R5403"
2,"R7586","R6272","R5403"
5,"R7588","R6272","R5403"
5,"R7589","R6272","R5403"
1,"R7590","R6272","R5403"
5,"R7591","R6272","R5403"
2,"R7592","R6272","R5403"
3,"R7595","R6272","R5429"
5,"R7596","R6272","R5429"
5,"R7597","R6272","R5429"
4,"R7600","R6272","R5429"
1,"R7603","R6272","R5429"
1,"R7604","R6267","R4440"
3,"R7607","R6267","R4440"
5,"R7608","R6267","R4440"
5,"R15805","R6267","R15796"
5,"R7610","R6267","R4507"
1,"R7611","R6267","R4507"
3,"R7613","R6267","R4507"
2,"R7614","R6267","R4507"
5,"R7616","R6267","R4507"
3,"R7618","R6718","R5386"
5,"R7621","R6718","R5386"
3,"R7622","R6718","R5386"
5,"R7625","R6272","R6555"
5,"R7630","R6267","R6521"
5,"R7631","R6267","R6521"
4,"R7632","R6267","R6521"
1,"R7638","R5693","R5827"
5,"R7640","R5693","R5827"
5,"R7641","R5693","R5827"
5,"R7644","R6718","R3732"
3,"R7645","R6718","R3732"
5,"R7646","R6718","R3732"
1,"R7647","R6718","R3732"
5,"R7648","R6718","R3732"
5,"R7650","R6267","R3639"
2,"R7651","R6267","R3639"
3,"R7653","R6737","R6264"
5,"R7654","R6737","R6264"
5,"R7655","R6737","R6264"
5,"R7656","R6737","R6264"
5,"R7657","R6737","R6264"
5,"R7659","R6737","R6264"
2,"R7660","R6737","R6264"
5,"R7661","R5693","R4373"
5,"R7662","R5693","R4373"
1,"R7663","R5693","R4373"
5,"R7664","R5693","R4373"
5,"R7665","R5693","R4373"
5,"R7667","R5693","R4373"
5,"R7669","R6796","R6229"
5,"R7671","R6796","R6229"
4,"R7673","R6796","R6229"
5,"R7675","R6796","R6229"
5,"R7676","R6796","R6229"
5,"R7677","R6796","R6229"
4,"R7679","R6796","R6229"
2,"R7680","R6718","R6379"
5,"R7681","R6718","R6379"
5,"R7682","R6718","R6379"
5,"R7683","R6718","R6379"
2,"R7684","R6718","R6379"
4,"R7685","R6718","R6379"
4,"R7686","R6718","R6379"
5,"R7687","R6718","R6379"
2,"R7688","R6718","R6379"
3,"R7689","R6718","R6379"
4,"R7690","R5993","R6609"
5,"R7691","R5993","R6609"
5,"R7692","R5993","R6609"
5,"R7694","R5993","R6609"
5,"R7695","R5993","R6609"
5,"R7696","R5993","R6609"
3,"R7697","R5993","R6609"
5,"R7700","R6720","R5736"
5,"R7701","R6720","R5736"
5,"R7703","R6720","R5736"
5,"R7704","R6720","R5736"
4,"R7705","R6720","R5736"
1,"R7706","R6720","R5736"
5,"R7707","R6720","R4846"
5,"R7708","R6720","R4846"
3,"R7709","R6720","R4846"
5,"R7710","R6718","R4632"
4,"R7711","R6718","R4632"
5,"R7712","R6718","R4632"
2,"R7713","R6718","R4632"
5,"R7714","R6718","R4632"
5,"R7716","R6718","R4632"
4,"R15831","R14552","R15830"
5,"R7717","R6718","R6115"
5,"R7718","R6718","R6115"
5,"R7719","R6718","R6115"
5,"R7720","R6718","R6115"
5,"R7721","R6718","R6115"
