"thunder","altDogID","altSireID","altDamID"
5,"R4603","R799","R2960"
5,"R3679","R14598","R1216"
2,"R5052","R3773","R2058"
5,"R4775","R3608","R2958"
1,"R4626","R3148","R2475"
5,"R4332","R1497","R3226"
5,"R4072","R1667","R1327"
5,"R5285","R2608","R4105"
5,"R4913","R2059","R1327"
5,"R5288","R2608","R4105"
5,"R3927","R2870","R1458"
5,"R4914","R2059","R1327"
5,"R5420","R2059","R3822"
2,"R5054","R3773","R2058"
5,"R5289","R2608","R4105"
5,"R5520","R4127","R4373"
1,"R5510","R2608","R2940"
5,"R5463","R4127","R3928"
5,"R5474","R4240","R2197"
3,"R5501","R2534","R2489"
5,"R5529","R2534","R4383"
5,"R5533","R2553","R2057"
4,"R5459","R2534","R4265"
4,"R5470","R3148","R3998"
5,"R5477","R2608","R2933"
3,"R5490","R2534","R2671"
4,"R5502","R2534","R2489"
3,"R5534","R2553","R2057"
5,"R5465","R4127","R3928"
5,"R5478","R4240","R2197"
3,"R5503","R2534","R2489"
5,"R5522","R4127","R4373"
5,"R5535","R2553","R2057"
5,"R5451","R4127","R3668"
5,"R5466","R4127","R3928"
2,"R5480","R4240","R2197"
2,"R5504","R2534","R2489"
2,"R5467","R4127","R3928"
1,"R5498","R2553","R2941"
2,"R5537","R2553","R2057"
5,"R5447","R2553","R2475"
2,"R5452","R4127","R3668"
3,"R5461","R2534","R4265"
3,"R5485","R2608","R2933"
4,"R5538","R2553","R2057"
4,"R5486","R4240","R2197"
5,"R5507","R2534","R2489"
2,"R5526","R4127","R4373"
5,"R5488","R4240","R2197"
5,"R5508","R2534","R2489"
4,"R5517","R2608","R2940"
5,"R5527","R4127","R4373"
1,"R5500","R2553","R2941"
5,"R5518","R2608","R2940"
1,"R5528","R4127","R4373"
3,"R4189","R799","R3072"
4,"R4193","R2870","R1660"
1,"R5421","R4127","R3189"
5,"R4194","R2870","R1660"
3,"R4335","R3148","R2839"
4,"R4336","R3148","R2839"
5,"R5055","R2059","R1959"
5,"R4197","R2870","R1660"
5,"R4076","R2870","R2060"
3,"R4630","R2608","R2735"
5,"R4923","R2059","R2799"
5,"R4631","R2608","R2735"
3,"R4632","R2608","R2735"
5,"R4337","R3148","R2839"
3,"R5424","R4127","R3189"
5,"R1351","R179","R227"
5,"R4783","R1738","R2488"
4,"R5058","R2059","R1959"
5,"R4635","R2608","R2735"
5,"R4925","R2059","R2799"
5,"R4926","R2059","R2799"
5,"R5059","R2059","R1959"
5,"R5292","R2534","R3745"
5,"R4200","R2870","R1660"
5,"R5060","R2059","R1959"
5,"R3803","R2870","R1595"
4,"R5427","R4127","R3189"
5,"R4786","R1738","R2488"
2,"R4202","R2870","R1660"
5,"R4639","R2608","R2735"
2,"R3805","R2870","R1595"
2,"R5428","R4127","R3189"
5,"R4344","R2672","R1958"
3,"R5065","R1667","R3542"
5,"R4345","R2672","R1958"
5,"R5294","R4174","R1917"
5,"R4205","R2672","R2607"
5,"R4930","R2727","R2489"
1,"R3705","R2174","R1442"
2,"R4793","R1564","R3542"
5,"R5298","R4174","R1917"
4,"R4484","R3310","R3422"
4,"R4932","R2727","R2489"
4,"R1204","R14608","R403"
1,"R4729","R2534","R1808"
2,"R5068","R1667","R3542"
2,"R5299","R4174","R1917"
5,"R4692","R3148","R2359"
5,"R3810","R2672","R651"
1,"R4933","R2727","R2489"
5,"R3692","R14723","R1002"
5,"R4348","R2672","R1958"
1,"R4934","R2727","R2489"
5,"R5304","R4174","R1917"
1,"R5070","R3773","R3189"
5,"R4643","R1497","R3311"
5,"R4489","R3466","R1959"
5,"R4644","R1497","R3311"
2,"R4213","R2534","R1694"
5,"R4447","R3148","R2959"
2,"R3945","R2553","R2395"
3,"R3699","R2534","R1696"
5,"R3877","R2870","R2670"
5,"R4493","R3466","R1959"
5,"R4357","R2727","R3227"
5,"R4358","R2727","R3227"
2,"R3703","R2534","R1696"
5,"R3821","R1215","R2662"
4,"R4648","R3608","R1466"
2,"R5077","R2534","R3830"
2,"R5078","R2534","R3830"
2,"R5079","R2534","R3830"
4,"R5081","R2534","R3830"
5,"R5082","R2534","R3830"
3,"R4800","R3608","R2933"
5,"R4649","R3608","R1466"
5,"R4650","R3608","R1466"
4,"R4502","R2553","R1917"
3,"R4801","R3148","R1700"
5,"R4219","R2672","R2359"
5,"R4802","R3148","R1700"
1,"R5084","R3148","R3774"
5,"R5085","R3148","R3774"
5,"R5086","R3148","R3774"
2,"R4651","R2534","R648"
5,"R4940","R2059","R2475"
2,"R5308","R2534","R1944"
5,"R4087","R3091","R1441"
5,"R15435","R14618","R1130"
5,"R5439","R2534","R2958"
2,"R3709","R2174","R1442"
3,"R5088","R3148","R3774"
5,"R4807","R3148","R1700"
5,"R5089","R3148","R3774"
5,"R4089","R3091","R1441"
1,"R2971","R1440","R1660"
5,"R3825","R1667","R2075"
3,"R3827","R1667","R2075"
5,"R5311","R2534","R1944"
5,"R4506","R2553","R1917"
1,"R4366","R3400","R2476"
1,"R5442","R2534","R2958"
5,"R4942","R2059","R2475"
5,"R5091","R3148","R3774"
5,"R5443","R2534","R2958"
1,"R5313","R4127","R1441"
5,"R4343","R3148","R2839"
5,"R4810","R3248","R1444"
5,"R5314","R4127","R1441"
4,"R4229","R2727","R2588"
1,"R4230","R2727","R2588"
5,"R4655","R2059","R1545"
1,"R3964","R1702","R1442"
5,"R4233","R2727","R2588"
5,"R4811","R3248","R1444"
5,"R4812","R3248","R1444"
5,"R4093","R2870","R1917"
5,"R4658","R2059","R1545"
3,"R4370","R2534","R2271"
1,"R580","R14702","R200"
5,"R3965","R1702","R1442"
4,"R4234","R2727","R2588"
1,"R4663","R2059","R1545"
1,"R3967","R1702","R1442"
5,"R3829","R2870","R1001"
5,"R3969","R1702","R1442"
5,"R4512","R799","R3204"
5,"R5455","R4127","R3668"
2,"R5456","R4127","R3668"
2,"R4516","R799","R3204"
2,"R4517","R799","R3204"
5,"R4668","R3466","R624"
5,"R5545","R4240","R1086"
5,"R5546","R4240","R1086"
2,"R5539","R2553","R3147"
5,"R5540","R2553","R3147"
5,"R5541","R2553","R3147"
5,"R5544","R2553","R3147"
5,"R5551","R2608","R4267"
2,"R5553","R2608","R4267"
2,"R5554","R3148","R1425"
5,"R5555","R3148","R1425"
5,"R5556","R3148","R1425"
5,"R5557","R3148","R1425"
1,"R5558","R3148","R1425"
3,"R5563","R2608","R3988"
5,"R5566","R2608","R3988"
2,"R5567","R2608","R3988"
5,"R5568","R2608","R3988"
4,"R5570","R2608","R3542"
5,"R5572","R2608","R3542"
5,"R5577","R4372","R1659"
2,"R5578","R4372","R1659"
