"hipsofa","altDogID","altSireID","altDamID"
6,"R228","R45","R184"
NA,"R14591","R16528","R16528"
6,"R279","R14702","R173"
NA,"R14592","R1","R16528"
NA,"R135","R52","R48"
NA,"R14593","R14629","R3"
NA,"R136","R52","R48"
NA,"R91","R68","R47"
NA,"R59","R33","R38"
NA,"R14594","R16528","R16528"
NA,"R76","R33","R29"
NA,"R177","R95","R158"
7,"R196","R72","R104"
NA,"R14595","R14734","R14597"
NA,"R14596","R16528","R16528"
4,"R197","R72","R104"
NA,"R14597","R14672","R15067"
7,"R14598","R14618","R14725"
7,"R3246","R2319","R1701"
NA,"R14599","R14563","R16528"
NA,"R82","R16528","R16528"
NA,"R14600","R16528","R16528"
6,"R700","R179","R224"
6,"R2735","R1702","R1216"
NA,"R14601","R6","R8"
NA,"R127","R16528","R16528"
7,"R3247","R2319","R1701"
NA,"R14602","R14552","R14604"
6,"R2870","R14648","R648"
NA,"R14603","R16528","R16528"
6,"R1738","R449","R800"
NA,"R4","R16528","R16528"
7,"R3998","R2553","R1545"
NA,"R15","R6","R8"
6,"R612","R14702","R176"
3,"R3248","R2319","R1701"
NA,"R198","R72","R104"
6,"R613","R14702","R176"
6,"R178","R95","R158"
NA,"R14604","R95","R161"
NA,"R14605","R14734","R14597"
NA,"R14606","R14552","R16528"
NA,"R14607","R16528","R16528"
6,"R14608","R15186","R15197"
NA,"R14609","R16528","R16528"
NA,"R14610","R16528","R16528"
NA,"R14611","R16528","R16528"
6,"R179","R118","R155"
NA,"R168","R14588","R15937"
6,"R288","R14568","R187"
6,"R622","R14702","R230"
7,"R4105","R1377","R1086"
7,"R984","R165","R185"
NA,"R151","R14696","R117"
6,"R1409","R14695","R230"
5,"R707","R238","R116"
NA,"R14612","R14702","R1131"
7,"R1564","R14608","R197"
6,"R623","R14702","R230"
7,"R1565","R14608","R197"
6,"R624","R14702","R230"
NA,"R125","R31","R16528"
6,"R2174","R1178","R481"
7,"R3732","R1377","R1700"
NA,"R14613","R6","R9"
7,"R1604","R539","R700"
6,"R2607","R1440","R244"
NA,"R11","R6","R9"
NA,"R138","R52","R56"
7,"R2608","R1440","R244"
6,"R2015","R14734","R538"
NA,"R14614","R14734","R1128"
NA,"R93","R45","R60"
6,"R3281","R1831","R1808"
NA,"R14615","R22","R14687"
NA,"R14616","R33","R37"
6,"R3400","R2059","R904"
NA,"R14617","R14717","R14685"
7,"R14618","R15865","R15867"
NA,"R14619","R16528","R16528"
6,"R2038","R14734","R1128"
6,"R14620","R14595","R1130"
NA,"R14621","R16528","R16528"
NA,"R159","R72","R16528"
NA,"R248","R16528","R110"
NA,"R14622","R15069","R16174"
6,"R4265","R14642","R1696"
NA,"R129","R16528","R16528"
NA,"R126","R31","R16528"
NA,"R14623","R14717","R14677"
7,"R2039","R14734","R1128"
7,"R1612","R539","R227"
NA,"R66","R16528","R15"
NA,"R18","R6","R14685"
NA,"R14624","R16528","R16528"
NA,"R153","R45","R82"
6,"R3607","R1564","R1593"
NA,"R169","R95","R147"
7,"R3608","R1564","R1593"
6,"R3147","R1377","R2075"
NA,"R14625","R16528","R16528"
NA,"R170","R95","R147"
6,"R1895","R14702","R984"
NA,"R14626","R16528","R16528"
NA,"R14627","R16528","R16528"
NA,"R14628","R10","R8"
6,"R4267","R2553","R2800"
6,"R1425","R622","R221"
NA,"R167","R95","R147"
NA,"R130","R95","R79"
NA,"R67","R14714","R15"
NA,"R14629","R15853","R15848"
NA,"R171","R95","R147"
5,"R95","R19","R14584"
7,"R3609","R1564","R1593"
6,"R306","R14552","R199"
NA,"R14630","R16528","R16528"
6,"R4127","R196","R1425"
7,"R1000","R165","R211"
NA,"R14631","R16528","R16528"
6,"R1001","R165","R211"
6,"R1431","R14702","R185"
NA,"R97","R45","R71"
NA,"R249","R142","R16528"
NA,"R14632","R22","R18"
NA,"R43","R22","R18"
6,"R2378","R14734","R1129"
5,"R1002","R165","R211"
NA,"R14633","R14695","R16528"
7,"R4128","R196","R1425"
4,"R1003","R165","R211"
NA,"R14634","R16528","R16528"
6,"R2056","R15460","R15548"
7,"R1440","R14648","R651"
6,"R1441","R14648","R651"
7,"R3422","R196","R549"
6,"R1442","R14648","R651"
7,"R307","R14552","R207"
NA,"R139","R22","R88"
6,"R1007","R14721","R207"
NA,"R14635","R6","R9"
6,"R1008","R14721","R207"
NA,"R230","R14659","R122"
NA,"R140","R22","R88"
NA,"R77","R31","R11"
NA,"R86","R31","R25"
NA,"R141","R22","R88"
NA,"R28","R22","R14677"
7,"R1443","R14648","R651"
NA,"R142","R22","R88"
NA,"R85","R31","R25"
7,"R1444","R14648","R651"
NA,"R102","R19","R40"
NA,"R29","R22","R14677"
6,"R648","R238","R226"
NA,"R14636","R16528","R16528"
NA,"R14637","R16528","R16528"
NA,"R14638","R15957","R15934"
NA,"R14639","R14734","R16528"
7,"R2319","R258","R1002"
6,"R649","R238","R226"
NA,"R14640","R16528","R16528"
NA,"R154","R95","R88"
NA,"R14641","R14734","R16528"
NA,"R182","R14572","R85"
7,"R14642","R15200","R15201"
NA,"R14643","R16528","R16528"
6,"R650","R238","R226"
NA,"R14644","R6","R16528"
NA,"R104","R72","R37"
4,"R1917","R165","R700"
NA,"R14645","R16528","R16528"
6,"R2197","R258","R612"
NA,"R14646","R16528","R16528"
7,"R651","R238","R226"
NA,"R14647","R14734","R16528"
6,"R2727","R14618","R1131"
7,"R1458","R242","R612"
NA,"R199","R179","R176"
7,"R14648","R14733","R15878"
NA,"R202","R14609","R14653"
NA,"R14649","R95","R16528"
NA,"R173","R16528","R86"
NA,"R14650","R1377","R2538"
NA,"R162","R16528","R16528"
7,"R479","R95","R227"
6,"R480","R95","R227"
NA,"R144","R31","R14554"
6,"R4440","R3148","R2959"
7,"R3306","R2059","R1536"
NA,"R14651","R14622","R14605"
7,"R481","R95","R227"
NA,"R14652","R16528","R16528"
NA,"R14653","R16528","R16528"
6,"R2057","R1377","R1232"
NA,"R14654","R16528","R16528"
NA,"R174","R95","R104"
7,"R3310","R1178","R1958"
7,"R3311","R1178","R1958"
NA,"R14655","R16528","R16528"
NA,"R99","R19","R67"
NA,"R163","R31","R117"
NA,"R175","R95","R104"
7,"R2058","R1377","R1232"
NA,"R14656","R14671","R1128"
6,"R3638","R1377","R1231"
6,"R2059","R1377","R1232"
7,"R2474","R1702","R1693"
1,"R1466","R165","R648"
7,"R2060","R1377","R1232"
6,"R3639","R1377","R1231"
NA,"R176","R95","R104"
NA,"R164","R31","R117"
5,"R3640","R1377","R1231"
6,"R1467","R165","R648"
NA,"R100","R19","R67"
NA,"R14657","R16528","R16528"
NA,"R14658","R16528","R16528"
6,"R3072","R1738","R1467"
NA,"R200","R179","R147"
NA,"R183","R16528","R116"
6,"R3109","R14701","R16528"
5,"R2475","R1594","R481"
NA,"R14659","R15202","R15872"
NA,"R14660","R16528","R16528"
7,"R3745","R2059","R1957"
NA,"R14661","R16528","R16528"
3,"R497","R14715","R182"
NA,"R45","R31","R29"
NA,"R14662","R16528","R16528"
NA,"R14663","R16528","R16528"
NA,"R14664","R14733","R16528"
7,"R3073","R1738","R1467"
7,"R2662","R1085","R1694"
6,"R2476","R1594","R481"
NA,"R14665","R16528","R16528"
6,"R3902","R1702","R2671"
NA,"R259","R14715","R158"
NA,"R155","R15917","R15858"
NA,"R14666","R14713","R14652"
NA,"R3589","R2059","R2636"
NA,"R31","R10","R15"
NA,"R14667","R16528","R16528"
NA,"R79","R33","R36"
NA,"R14668","R1594","R14602"
NA,"R14669","R16528","R14571"
NA,"R14670","R14648","R16528"
4,"R2488","R1215","R707"
7,"R3772","R799","R1808"
7,"R14671","R15029","R15030"
6,"R2670","R165","R1327"
7,"R2074","R1215","R174"
NA,"R252","R95","R162"
NA,"R203","R16528","R16528"
6,"R1178","R165","R260"
6,"R2489","R1215","R707"
7,"R2933","R1377","R1536"
5,"R2075","R1215","R174"
6,"R3773","R799","R1808"
7,"R2671","R165","R1327"
NA,"R48","R31","R11"
NA,"R14672","R15204","R15205"
7,"R3774","R799","R1808"
NA,"R14673","R16528","R16528"
5,"R498","R14683","R14571"
7,"R1497","R14718","R16528"
NA,"R14674","R16528","R16528"
6,"R3189","R2059","R1595"
NA,"R14675","R16528","R16528"
NA,"R14676","R16528","R16528"
NA,"R132","R72","R16528"
NA,"R22","R6","R8"
NA,"R14677","R6","R14685"
7,"R2672","R165","R1327"
6,"R1327","R14695","R220"
NA,"R14678","R6","R8"
NA,"R185","R118","R114"
7,"R3190","R2059","R1595"
6,"R1043","R242","R217"
6,"R1179","R165","R260"
6,"R3667","R2059","R2588"
5,"R1943","R14702","R904"
6,"R2079","R1377","R648"
6,"R1659","R14702","R801"
7,"R2346","R497","R1443"
7,"R1944","R14702","R904"
4,"R904","R95","R305"
6,"R1945","R14702","R904"
6,"R2940","R799","R2057"
7,"R1660","R14702","R801"
7,"R2941","R799","R2057"
NA,"R14679","R14595","R1130"
NA,"R106","R52","R38"
6,"R3668","R2059","R2588"
NA,"R107","R52","R38"
NA,"R201","R16528","R170"
NA,"R14680","R14648","R651"
NA,"R253","R14702","R123"
6,"R2080","R1377","R648"
NA,"R50","R31","R25"
7,"R2799","R1695","R1545"
NA,"R186","R14572","R135"
NA,"R108","R52","R38"
6,"R4174","R2727","R623"
7,"R2800","R1695","R1545"
NA,"R14681","R14648","R16528"
NA,"R14682","R68","R16528"
NA,"R10","R14638","R14593"
NA,"R110","R31","R71"
NA,"R9","R2","R5"
6,"R1808","R622","R177"
NA,"R14683","R15751","R15750"
NA,"R14684","R16528","R16528"
NA,"R187","R118","R79"
6,"R370","R14715","R122"
6,"R1831","R1069","R16528"
6,"R3204","R2059","R1694"
NA,"R231","R14706","R188"
NA,"R14685","R2","R5"
NA,"R188","R118","R79"
NA,"R195","R14580","R16528"
6,"R2683","R14681","R800"
7,"R14686","R14711","R15236"
6,"R4060","R1667","R1327"
NA,"R181","R16528","R16528"
7,"R3086","R1215","R2080"
6,"R1667","R14711","R481"
NA,"R241","R14706","R188"
NA,"R232","R14706","R188"
NA,"R14687","R2","R14592"
NA,"R6","R15914","R15915"
NA,"R233","R16528","R16528"
NA,"R234","R14706","R188"
NA,"R54","R10","R14615"
6,"R260","R14715","R158"
NA,"R112","R45","R82"
NA,"R5","R14629","R4"
NA,"R14688","R16528","R16528"
NA,"R145","R16528","R16528"
NA,"R146","R68","R16528"
NA,"R14689","R14671","R15067"
NA,"R113","R45","R82"
NA,"R14690","R16528","R16528"
NA,"R14691","R16528","R16528"
NA,"R14692","R14583","R16528"
NA,"R14693","R14629","R4"
NA,"R14694","R14648","R16528"
7,"R14695","R14711","R15714"
NA,"R14696","R16528","R16528"
6,"R1498","R14608","R187"
NA,"R14697","R16528","R16528"
NA,"R14698","R15824","R15836"
6,"R376","R14697","R194"
6,"R3928","R2727","R2080"
NA,"R70","R68","R14621"
NA,"R211","R142","R104"
NA,"R47","R31","R28"
NA,"R14699","R16528","R16528"
NA,"R14700","R14722","R16528"
5,"R14701","R14622","R16528"
NA,"R114","R45","R82"
NA,"R862","R16528","R16528"
NA,"R116","R45","R36"
NA,"R14702","R15766","R15198"
NA,"R237","R14706","R158"
NA,"R172","R16528","R16528"
NA,"R14703","R16528","R16528"
NA,"R14704","R16528","R16528"
6,"R1957","R1214","R176"
6,"R1958","R1214","R176"
NA,"R14705","R16528","R16528"
6,"R1067","R238","R176"
NA,"R14706","R15753","R15789"
NA,"R71","R15921","R15922"
NA,"R14707","R14671","R16528"
7,"R3775","R799","R1808"
7,"R2958","R178","R1444"
NA,"R156","R45","R122"
NA,"R14708","R16528","R16528"
NA,"R14709","R16528","R16528"
7,"R238","R14706","R158"
NA,"R14710","R16528","R16528"
NA,"R117","R45","R36"
NA,"R239","R14706","R158"
NA,"R240","R14706","R158"
7,"R1901","R14608","R14686"
6,"R1959","R1214","R176"
NA,"R133","R72","R16528"
6,"R14711","R15199","R15198"
7,"R1068","R238","R176"
6,"R1069","R238","R176"
NA,"R2","R1","R15851"
NA,"R166","R16528","R16528"
NA,"R83","R15897","R15956"
NA,"R255","R14578","R14589"
NA,"R470","R16528","R16528"
5,"R538","R14702","R175"
NA,"R14712","R16528","R16528"
NA,"R14713","R14659","R16186"
5,"R539","R14702","R16528"
5,"R3542","R2534","R2058"
NA,"R14714","R15807","R15904"
6,"R2959","R178","R1444"
6,"R3148","R1377","R2075"
7,"R2960","R178","R1444"
NA,"R157","R45","R122"
7,"R2359","R1702","R1466"
6,"R547","R14608","R216"
6,"R3696","R2534","R1696"
6,"R1693","R14711","R623"
5,"R14715","R15736","R15818"
7,"R1211","R14702","R498"
7,"R184","R14715","R14698"
5,"R305","R14683","R14571"
7,"R2526","R1377","R1467"
7,"R799","R258","R174"
6,"R800","R258","R174"
NA,"R14716","R16528","R16528"
NA,"R14717","R14629","R3"
NA,"R14718","R16528","R16528"
6,"R1694","R14711","R623"
5,"R1212","R14702","R498"
7,"R1695","R14711","R623"
5,"R1213","R14702","R498"
NA,"R7","R14629","R3"
6,"R801","R258","R174"
NA,"R14719","R14594","R16528"
7,"R548","R14608","R216"
5,"R1214","R14702","R498"
NA,"R14720","R1","R16528"
NA,"R14721","R16528","R16528"
NA,"R14722","R15237","R15223"
5,"R1215","R14702","R498"
NA,"R14723","R14618","R14566"
5,"R1216","R14702","R498"
NA,"R8","R14629","R3"
6,"R1696","R14711","R623"
7,"R1697","R14711","R623"
NA,"R14724","R14713","R14664"
7,"R549","R14608","R216"
NA,"R14725","R14648","R16528"
7,"R165","R14722","R15705"
NA,"R213","R118","R176"
6,"R403","R179","R183"
6,"R214","R118","R176"
NA,"R215","R118","R176"
NA,"R216","R118","R176"
NA,"R14726","R19","R14685"
6,"R1700","R196","R549"
6,"R2373","R1178","R480"
6,"R33","R14717","R18"
6,"R2839","R1068","R1693"
7,"R3226","R1178","R2057"
7,"R3466","R2553","R1441"
6,"R2374","R1178","R480"
7,"R1701","R196","R549"
7,"R1702","R196","R549"
NA,"R34","R14717","R18"
NA,"R14727","R16528","R16528"
NA,"R14728","R16528","R16528"
NA,"R217","R181","R187"
7,"R1085","R214","R184"
6,"R1086","R214","R184"
7,"R3227","R1178","R2057"
7,"R3822","R1667","R2075"
7,"R3228","R1178","R2057"
6,"R1368","R14702","R480"
5,"R2527","R1377","R1467"
NA,"R56","R14563","R39"
6,"R825","R165","R16528"
5,"R1231","R14648","R538"
6,"R1232","R14648","R538"
NA,"R14729","R14696","R16528"
7,"R1369","R14702","R480"
NA,"R14730","R16528","R16528"
NA,"R161","R16528","R16528"
NA,"R147","R52","R56"
NA,"R14731","R14734","R16528"
NA,"R218","R168","R177"
NA,"R14732","R14734","R16528"
NA,"R219","R168","R177"
6,"R2271","R14734","R176"
NA,"R58","R33","R16528"
NA,"R220","R168","R177"
NA,"R221","R168","R177"
7,"R244","R14702","R185"
NA,"R14733","R15875","R15886"
NA,"R222","R16528","R185"
NA,"R14734","R14733","R15868"
NA,"R2277","R1594","R244"
4,"R2985","R1943","R1466"
6,"R3832","R2727","R1425"
5,"R262","R14702","R132"
5,"R2139","R1214","R707"
NA,"R3970","R2474","R2958"
7,"R425","R14552","R201"
7,"R1244","R14697","R209"
6,"R4374","R3148","R1327"
6,"R3110","R1943","R1001"
6,"R2536","R258","R1700"
7,"R14735","R2534","R14612"
6,"R2986","R1943","R1466"
6,"R4519","R3608","R904"
4,"R3237","R2174","R1945"
7,"R1537","R179","R224"
NA,"R5321","R4174","R2271"
7,"R4448","R3310","R1444"
7,"R1717","R242","R217"
1,"R5181","R2534","R3928"
1,"R2987","R1943","R1466"
7,"R1935","R1003","R221"
NA,"R3971","R2474","R2958"
NA,"R3972","R2474","R2958"
7,"R1095","R255","R177"
6,"R2386","R1604","R1442"
6,"R840","R14576","R220"
6,"R3833","R2727","R1425"
7,"R1997","R258","R624"
7,"R2537","R258","R1700"
NA,"R61","R14714","R11"
6,"R3718","R1702","R1212"
6,"R3555","R14595","R480"
6,"R3367","R1178","R481"
7,"R841","R14576","R220"
NA,"R14736","R16528","R16528"
5,"R3238","R2174","R1945"
6,"R1718","R242","R217"
NA,"R3111","R1943","R1001"
NA,"R4814","R3608","R3639"
7,"R1719","R242","R217"
NA,"R5457","R2534","R4265"
6,"R3834","R2727","R1425"
7,"R1245","R14697","R209"
7,"R2387","R1604","R1442"
6,"R426","R14552","R201"
6,"R4520","R3608","R904"
7,"R5099","R2059","R3772"
6,"R4375","R3148","R1327"
6,"R2140","R1214","R707"
6,"R4521","R3608","R904"
6,"R1720","R242","R217"
NA,"R89","R52","R40"
5,"R3112","R1943","R1001"
6,"R427","R14552","R201"
NA,"R3113","R1943","R1001"
7,"R1538","R179","R224"
7,"R3492","R14618","R1444"
7,"R4522","R3608","R904"
2,"R2988","R1943","R1466"
7,"R4954","R2059","R3246"
7,"R2723","R1214","R1701"
6,"R1576","R14702","R175"
4,"R2989","R1943","R1466"
NA,"R5100","R2059","R3772"
NA,"R3556","R14595","R480"
7,"R3719","R1702","R1212"
4,"R1577","R14702","R175"
7,"R1246","R14697","R209"
6,"R1581","R14608","R222"
7,"R4523","R3608","R904"
1,"R2990","R1943","R1466"
7,"R4674","R3248","R2662"
NA,"R263","R14702","R132"
5,"R1721","R242","R217"
7,"R5322","R4174","R2271"
NA,"R246","R142","R182"
5,"R2141","R1214","R707"
7,"R1998","R258","R624"
4,"R590","R231","R220"
5,"R3557","R14595","R480"
6,"R428","R14552","R201"
6,"R2142","R1214","R707"
NA,"R4815","R3608","R3639"
7,"R2991","R1943","R1466"
7,"R3973","R2474","R2958"
NA,"R3558","R14595","R480"
6,"R2847","R1831","R1697"
7,"R5323","R4174","R2271"
7,"R3835","R2727","R1425"
7,"R4675","R3248","R2662"
NA,"R14737","R14595","R480"
7,"R1858","R238","R175"
4,"R2724","R1214","R1701"
7,"R4524","R3608","R904"
7,"R842","R14576","R220"
6,"R4915","R2870","R2476"
6,"R2590","R1831","R623"
NA,"R5324","R4174","R2271"
5,"R3368","R1178","R481"
NA,"R2388","R1604","R1442"
6,"R1096","R255","R177"
6,"R429","R14552","R201"
7,"R3499","R2059","R2197"
5,"R2591","R1831","R623"
NA,"R683","R238","R201"
6,"R5101","R2059","R3772"
6,"R1999","R258","R624"
7,"R2278","R1594","R244"
7,"R4676","R3248","R2662"
6,"R3239","R2174","R1945"
NA,"R4824","R3466","R2683"
NA,"R5102","R2059","R3772"
7,"R2848","R1831","R1697"
NA,"R4955","R2059","R3246"
7,"R4816","R3608","R3639"
6,"R3493","R14618","R1444"
5,"R4740","R2534","R3147"
NA,"R4817","R3608","R3639"
6,"R2279","R1594","R244"
7,"R3240","R2174","R1945"
NA,"R4956","R2059","R3246"
7,"R430","R14552","R201"
6,"R2000","R258","R624"
7,"R903","R14576","R220"
6,"R5103","R2059","R3772"
7,"R3720","R1702","R1212"
NA,"R14738","R2534","R14612"
5,"R2849","R1831","R1697"
7,"R1722","R242","R217"
6,"R5182","R2534","R3928"
6,"R2280","R1594","R244"
6,"R843","R14576","R220"
NA,"R3974","R2474","R2958"
6,"R1578","R14702","R175"
NA,"R14739","R449","R14708"
NA,"R14740","R16528","R16528"
1,"R2992","R1943","R1466"
7,"R4677","R3248","R2662"
NA,"R4474","R3366","R2552"
7,"R4488","R3466","R1959"
4,"R2143","R1214","R707"
7,"R3975","R2474","R2958"
6,"R5104","R2059","R3772"
5,"R264","R14702","R132"
5,"R2850","R1831","R1697"
4,"R2725","R1214","R1701"
7,"R1859","R238","R175"
NA,"R5105","R2059","R3772"
7,"R3836","R2727","R1425"
7,"R844","R14576","R220"
6,"R2538","R258","R1700"
NA,"R4678","R3248","R2662"
NA,"R3559","R14595","R480"
7,"R4679","R3248","R2662"
NA,"R4957","R2059","R3246"
NA,"R5325","R4174","R2271"
NA,"R4525","R3608","R904"
7,"R4818","R3608","R3639"
7,"R1539","R179","R224"
7,"R2539","R258","R1700"
2,"R431","R14552","R201"
7,"R4819","R3608","R3639"
7,"R2001","R258","R624"
7,"R2540","R258","R1700"
5,"R3976","R2474","R2958"
5,"R2144","R1214","R707"
6,"R2851","R1831","R1697"
7,"R845","R14576","R220"
4,"R2852","R1831","R1697"
NA,"R5326","R4174","R2271"
6,"R1579","R14702","R175"
6,"R4682","R3148","R2359"
7,"R4958","R2059","R3246"
6,"R3977","R2474","R2958"
5,"R2592","R1831","R623"
7,"R846","R14576","R220"
6,"R5183","R2534","R3928"
NA,"R591","R231","R220"
NA,"R3721","R1702","R1212"
NA,"R592","R231","R220"
NA,"R5327","R4174","R2271"
NA,"R3978","R2474","R2958"
5,"R4256","R3228","R2589"
6,"R2541","R258","R1700"
NA,"R4820","R3608","R3639"
2,"R2145","R1214","R707"
6,"R2726","R1214","R1701"
5,"R1097","R255","R177"
5,"R3114","R1943","R1001"
6,"R1247","R14697","R209"
7,"R1723","R242","R217"
NA,"R3115","R1943","R1001"
6,"R3241","R2174","R1945"
6,"R2002","R258","R624"
5,"R2146","R1214","R707"
6,"R3369","R1178","R481"
2,"R1540","R179","R224"
NA,"R3370","R1178","R481"
1,"R2147","R1214","R707"
6,"R5328","R4174","R2271"
5,"R1379","R14642","R623"
5,"R1098","R255","R177"
NA,"R2003","R258","R624"
6,"R3371","R1178","R481"
7,"R2993","R1943","R1466"
6,"R684","R238","R201"
6,"R4376","R3148","R1327"
6,"R1860","R238","R175"
6,"R4821","R3608","R3639"
6,"R3560","R14595","R480"
NA,"R1541","R179","R224"
NA,"R14741","R3109","R14620"
7,"R2281","R1594","R244"
7,"R3372","R1178","R481"
5,"R4377","R3148","R1327"
6,"R847","R14576","R220"
6,"R3242","R2174","R1945"
6,"R2004","R258","R624"
5,"R1248","R14697","R209"
3,"R2853","R1831","R1697"
6,"R4779","R1738","R2488"
6,"R1249","R14697","R209"
7,"R2854","R1831","R1697"
NA,"R257","R16528","R174"
7,"R3494","R14618","R1444"
7,"R4680","R3248","R2662"
7,"R1542","R179","R224"
NA,"R3116","R1943","R1001"
7,"R3495","R14618","R1444"
7,"R2005","R258","R624"
6,"R4822","R3608","R3639"
7,"R3837","R2727","R1425"
6,"R593","R231","R220"
7,"R4823","R3608","R3639"
5,"R3979","R2474","R2958"
4,"R685","R238","R201"
7,"R1724","R242","R217"
7,"R5329","R4174","R2271"
7,"R1725","R242","R217"
7,"R2389","R1604","R1442"
6,"R4959","R2059","R3246"
NA,"R594","R231","R220"
5,"R3243","R2174","R1945"
7,"R1543","R179","R224"
NA,"R3561","R14595","R480"
7,"R848","R14576","R220"
7,"R4378","R3148","R1327"
6,"R3496","R14618","R1444"
6,"R1580","R14702","R175"
5,"R2282","R1594","R244"
NA,"R5184","R2534","R3928"
7,"R4526","R3608","R904"
6,"R595","R231","R220"
7,"R3244","R2174","R1945"
NA,"R3562","R14595","R480"
5,"R2593","R1831","R623"
6,"R3497","R14618","R1444"
6,"R5330","R4174","R2271"
6,"R1380","R14642","R623"
7,"R3245","R2174","R1945"
7,"R2283","R1594","R244"
7,"R2855","R1831","R1697"
7,"R1250","R14697","R209"
NA,"R2148","R1214","R707"
5,"R265","R14702","R132"
5,"R3498","R14618","R1444"
7,"R1726","R242","R217"
NA,"R1099","R255","R177"
NA,"R3373","R1178","R481"
7,"R1727","R242","R217"
6,"R1100","R255","R177"
NA,"R596","R14655","R223"
7,"R1582","R14608","R222"
3,"R1153","R165","R215"
5,"R3838","R2474","R1467"
7,"R4527","R3366","R2588"
6,"R961","R238","R162"
NA,"R5186","R2534","R3831"
6,"R1728","R14608","R612"
6,"R2856","R2079","R904"
6,"R5106","R2534","R2488"
NA,"R14742","R3109","R14620"
NA,"R5187","R2534","R3831"
7,"R1729","R14608","R612"
7,"R3839","R2474","R1467"
NA,"R5003","R799","R3086"
7,"R3840","R2474","R1467"
NA,"R14743","R2534","R3831"
6,"R3841","R2474","R1467"
7,"R1730","R14608","R612"
7,"R3563","R1738","R2395"
NA,"R4379","R3310","R651"
