"hipsofa","altDogID","altSireID","altDamID"
7,"R2318","R258","R1002"
6,"R4372","R3148","R1327"
NA,"R14552","R16528","R16528"
NA,"R14553","R16528","R16528"
NA,"R189","R72","R97"
NA,"R223","R181","R116"
NA,"R206","R168","R16528"
NA,"R14554","R10","R14584"
NA,"R256","R14706","R174"
NA,"R60","R16528","R11"
6,"R2588","R1831","R623"
NA,"R14555","R10","R14584"
6,"R2589","R1831","R623"
NA,"R14556","R16528","R16528"
6,"R2534","R258","R1700"
NA,"R88","R52","R40"
NA,"R14557","R16528","R11"
NA,"R207","R168","R175"
6,"R3366","R1178","R481"
7,"R3830","R2727","R1425"
NA,"R36","R10","R14584"
NA,"R134","R22","R39"
NA,"R224","R181","R116"
NA,"R14558","R14711","R16528"
NA,"R14559","R14683","R16528"
6,"R190","R72","R97"
5,"R1377","R14642","R623"
NA,"R14560","R16528","R16528"
NA,"R193","R14702","R122"
6,"R3831","R2727","R1425"
6,"R1574","R14702","R175"
NA,"R208","R168","R16528"
NA,"R194","R14702","R122"
6,"R1575","R14702","R175"
7,"R1857","R238","R175"
7,"R1536","R179","R224"
7,"R1378","R14642","R623"
6,"R4373","R3148","R1327"
NA,"R209","R168","R175"
7,"R2535","R258","R1700"
7,"R432","R14683","R133"
7,"R1128","R258","R174"
6,"R158","R72","R71"
6,"R242","R16528","R16528"
6,"R1127","R258","R174"
NA,"R72","R33","R50"
NA,"R14561","R16528","R16528"
NA,"R245","R14583","R14700"
NA,"R14562","R14734","R16528"
NA,"R14563","R15820","R15737"
NA,"R191","R95","R153"
6,"R2552","R497","R1425"
NA,"R14564","R16528","R16528"
NA,"R81","R16528","R16528"
NA,"R14565","R16528","R16528"
6,"R1544","R14608","R176"
NA,"R1129","R258","R174"
NA,"R14566","R16528","R16528"
NA,"R19","R10","R11"
7,"R1384","R14695","R244"
NA,"R14567","R16528","R16528"
NA,"R1130","R258","R174"
NA,"R14568","R16528","R16528"
NA,"R14569","R10","R11"
NA,"R14570","R16528","R16528"
NA,"R128","R16528","R16528"
NA,"R14571","R15936","R15938"
5,"R258","R14715","R158"
NA,"R37","R10","R11"
7,"R2151","R14702","R1378"
6,"R2553","R497","R1425"
5,"R1545","R14608","R176"
7,"R2595","R1702","R184"
NA,"R1131","R258","R174"
NA,"R68","R14563","R16528"
NA,"R14572","R15840","R15823"
NA,"R14573","R16528","R16528"
NA,"R14574","R16528","R16528"
NA,"R118","R19","R88"
NA,"R14575","R16528","R16528"
NA,"R14576","R16528","R16528"
NA,"R14577","R16528","R16528"
NA,"R14578","R16528","R16528"
NA,"R3","R15960","R15959"
NA,"R1","R15764","R15854"
NA,"R14579","R16528","R16528"
7,"R4240","R3148","R2799"
7,"R3988","R2727","R2488"
NA,"R14580","R16528","R16528"
NA,"R14581","R16528","R16528"
7,"R449","R14722","R16528"
NA,"R120","R83","R50"
NA,"R52","R15897","R15969"
NA,"R160","R45","R110"
NA,"R38","R14717","R15"
7,"R3391","R165","R648"
3,"R226","R45","R184"
6,"R1593","R799","R624"
NA,"R39","R14717","R15"
NA,"R14582","R16528","R16528"
7,"R1594","R799","R624"
6,"R227","R45","R184"
7,"R1595","R799","R624"
6,"R3989","R2727","R2488"
NA,"R210","R16528","R16528"
NA,"R14583","R16528","R16528"
NA,"R40","R14717","R15"
6,"R4383","R1564","R3147"
7,"R3990","R2727","R2488"
NA,"R121","R83","R50"
NA,"R14584","R14717","R11"
NA,"R14585","R16528","R16528"
6,"R14586","R14722","R15217"
6,"R2395","R178","R305"
6,"R14587","R16528","R14708"
NA,"R122","R83","R50"
NA,"R14588","R15900","R15941"
7,"R2396","R178","R305"
NA,"R25","R22","R14613"
NA,"R14589","R14663","R16528"
7,"R1596","R799","R624"
NA,"R180","R16528","R16528"
NA,"R14590","R52","R16528"
7,"R448","R14567","R211"
NA,"R123","R83","R50"
