"measure","score","desc","status","year","gtype","order","value","tot_yr"
"allergy_atopy",1,"Severe","aff",1991,"Health","Mild-Severe",47,408
"allergy_atopy",1,"Severe","aff",1992,"Health","Mild-Severe",54,413
"allergy_atopy",1,"Severe","aff",1993,"Health","Mild-Severe",53,456
"allergy_atopy",1,"Severe","aff",1994,"Health","Mild-Severe",71,421
"allergy_atopy",1,"Severe","aff",1995,"Health","Mild-Severe",85,603
"allergy_atopy",1,"Severe","aff",1996,"Health","Mild-Severe",97,529
"allergy_atopy",1,"Severe","aff",1997,"Health","Mild-Severe",111,463
"allergy_atopy",1,"Severe","aff",1998,"Health","Mild-Severe",121,542
"allergy_atopy",1,"Severe","aff",1999,"Health","Mild-Severe",122,586
"allergy_atopy",1,"Severe","aff",2000,"Health","Mild-Severe",93,511
"allergy_atopy",1,"Severe","aff",2001,"Health","Mild-Severe",101,494
"allergy_atopy",1,"Severe","aff",2002,"Health","Mild-Severe",155,509
"allergy_atopy",1,"Severe","aff",2003,"Health","Mild-Severe",112,524
"allergy_atopy",1,"Severe","aff",2004,"Health","Mild-Severe",115,566
"allergy_atopy",1,"Severe","aff",2005,"Health","Mild-Severe",111,463
"allergy_atopy",1,"Severe","aff",2006,"Health","Mild-Severe",114,501
"allergy_atopy",1,"Severe","aff",2007,"Health","Mild-Severe",60,368
"allergy_atopy",1,"Severe","aff",2008,"Health","Mild-Severe",69,347
"allergy_atopy",1,"Severe","aff",2009,"Health","Mild-Severe",44,356
"allergy_atopy",1,"Severe","aff",2010,"Health","Mild-Severe",46,350
"allergy_atopy",1,"Severe","aff",2011,"Health","Mild-Severe",41,354
"allergy_atopy",1,"Severe","aff",2012,"Health","Mild-Severe",38,376
"allergy_atopy",1,"Severe","aff",2013,"Health","Mild-Severe",34,395
"allergy_atopy",1,"Severe","aff",2014,"Health","Mild-Severe",40,405
"allergy_atopy",1,"Severe","aff",2015,"Health","Mild-Severe",37,428
"allergy_atopy",1,"Severe","aff",2016,"Health","Mild-Severe",52,425
"allergy_atopy",1,"Severe","aff",2017,"Health","Mild-Severe",37,434
"allergy_atopy",1,"Severe","aff",2018,"Health","Mild-Severe",26,337
"allergy_atopy",2,"Moderate","aff",1991,"Health","Mild-Severe",18,408
"allergy_atopy",2,"Moderate","aff",1992,"Health","Mild-Severe",19,413
"allergy_atopy",2,"Moderate","aff",1993,"Health","Mild-Severe",38,456
"allergy_atopy",2,"Moderate","aff",1994,"Health","Mild-Severe",20,421
"allergy_atopy",2,"Moderate","aff",1995,"Health","Mild-Severe",30,603
"allergy_atopy",2,"Moderate","aff",1996,"Health","Mild-Severe",22,529
"allergy_atopy",2,"Moderate","aff",1997,"Health","Mild-Severe",30,463
"allergy_atopy",2,"Moderate","aff",1998,"Health","Mild-Severe",26,542
"allergy_atopy",2,"Moderate","aff",1999,"Health","Mild-Severe",31,586
"allergy_atopy",2,"Moderate","aff",2000,"Health","Mild-Severe",20,511
"allergy_atopy",2,"Moderate","aff",2001,"Health","Mild-Severe",23,494
"allergy_atopy",2,"Moderate","aff",2002,"Health","Mild-Severe",30,509
"allergy_atopy",2,"Moderate","aff",2003,"Health","Mild-Severe",48,524
"allergy_atopy",2,"Moderate","aff",2004,"Health","Mild-Severe",41,566
"allergy_atopy",2,"Moderate","aff",2005,"Health","Mild-Severe",34,463
"allergy_atopy",2,"Moderate","aff",2006,"Health","Mild-Severe",34,501
"allergy_atopy",2,"Moderate","aff",2007,"Health","Mild-Severe",24,368
"allergy_atopy",2,"Moderate","aff",2008,"Health","Mild-Severe",15,347
"allergy_atopy",2,"Moderate","aff",2009,"Health","Mild-Severe",24,356
"allergy_atopy",2,"Moderate","aff",2010,"Health","Mild-Severe",13,350
"allergy_atopy",2,"Moderate","aff",2011,"Health","Mild-Severe",23,354
"allergy_atopy",2,"Moderate","aff",2012,"Health","Mild-Severe",21,376
"allergy_atopy",2,"Moderate","aff",2013,"Health","Mild-Severe",18,395
"allergy_atopy",2,"Moderate","aff",2014,"Health","Mild-Severe",11,405
"allergy_atopy",2,"Moderate","aff",2015,"Health","Mild-Severe",23,428
"allergy_atopy",2,"Moderate","aff",2016,"Health","Mild-Severe",23,425
"allergy_atopy",2,"Moderate","aff",2017,"Health","Mild-Severe",23,434
"allergy_atopy",2,"Moderate","aff",2018,"Health","Mild-Severe",18,337
"allergy_atopy",3,"Mild","un",1991,"Health","Mild-Severe",43,408
"allergy_atopy",3,"Mild","un",1992,"Health","Mild-Severe",53,413
"allergy_atopy",3,"Mild","un",1993,"Health","Mild-Severe",107,456
"allergy_atopy",3,"Mild","un",1994,"Health","Mild-Severe",125,421
"allergy_atopy",3,"Mild","un",1995,"Health","Mild-Severe",200,603
"allergy_atopy",3,"Mild","un",1996,"Health","Mild-Severe",192,529
"allergy_atopy",3,"Mild","un",1997,"Health","Mild-Severe",156,463
"allergy_atopy",3,"Mild","un",1998,"Health","Mild-Severe",204,542
"allergy_atopy",3,"Mild","un",1999,"Health","Mild-Severe",211,586
