"DogID","Class","Index21n"
23391,"Pass",5.89
23682,"Young",7.71
22464,"Active",11.94
23685,"Young",7.6
23498,"Pass",7.8
23686,"Young",7.62
23386,"Pass",5.9
23684,"Young",7.76
23384,"Pass",6.13
22463,"Active",11.32
22317,"Active",6.82
23510,"Pass",8.51
23013,"Pass",9.52
23504,"Pass",9.17
22314,"Active",8.6
23396,"Pass",7.69
23689,"Young",7.59
22137,"Active",7.93
22659,"Active",4.15
23507,"Pass",9.39
23692,"Young",7.77
22136,"Active",9
23222,"Pass",11.09
23505,"Pass",8.81
20443,"PossRetire",6.09
23017,"Pass",10.54
23016,"Pass",10.15
22656,"Active",4.04
20439,"PossRetire",8.39
22661,"Active",4.54
23018,"Active",12.47
23221,"Pass",10.78
23399,"Pass",7.48
23501,"Pass",9.42
23502,"Pass",9.35
23578,"Young",8.13
23690,"Young",7.48
23508,"Pass",9.27
23394,"Pass",7.75
23618,"Young",9.52
23020,"Eval",10.98
23397,"Pass",6.65
23691,"Young",7.38
23228,"Pass",2.85
22319,"Active",5.16
23518,"Pass",6.18
23227,"Pass",5.28
23706,"Young",7.07
23713,"Young",6.95
23226,"Pass",2.86
23231,"Pass",4.36
23230,"Pass",3.61
23224,"Pass",3.77
23517,"Pass",6.09
20759,"Active",10.24
23704,"Young",7.05
23712,"Young",7.67
23519,"Pass",5.23
20180,"Active",8.5
22484,"Active",7.73
22995,"Pass",7.58
23709,"Young",7.1
22872,"Active",10.77
20454,"Active",8.58
23702,"Young",7.07
21752,"Active",8.23
23710,"Young",7.88
23699,"Young",7.73
23515,"Pass",6.26
23516,"Pass",5.43
23707,"Young",6.65
23229,"Pass",3.99
22878,"Pass",8.54
23700,"Young",7.95
22673,"Active",7.03
23232,"Pass",9.46
22877,"Pass",9.43
21403,"PossRetire",10.9
23708,"Young",6.86
23234,"Pass",8.62
22873,"Pass",9.62
21399,"Active",11.76
22677,"Active",5.59
22679,"Active",5.92
23522,"Pass",5.76
23701,"Young",7.36
23523,"Pass",6.11
22339,"Active",9.58
23705,"Young",7.73
23233,"BW",9.26
23521,"Pass",5.74
21186,"Active",7.09
23716,"Young",8.79
21418,"Active",6.21
21941,"Active",8.43
23239,"Pass",7.54
23046,"Eval",11.07
23048,"Eval",10.57
23047,"Eval",12.06
22163,"Active",7.54
23719,"Young",8.86
23715,"Young",8.75
23236,"Pass",8.07
20186,"PossRetire",8.89
23536,"Young",5.53
22886,"Eval",10.55
22164,"Active",8.1
23240,"BW",9.78
23720,"Young",8.73
22167,"Active",7.43
22353,"Active",4.21
21940,"Active",6.86
21189,"Active",8.2
19097,"PossRetire",8.35
23718,"Young",8.64
23237,"Pass",9.13
23045,"Pass",10.8
23535,"Young",6.22
22883,"Pass",10.11
20476,"PossRetire",10.82
22165,"Active",4.84
22991,"Pass",6.68
22882,"Pass",9.73
23246,"Pass",12.04
22890,"Pass",10.8
22891,"BW",11.02
23249,"BW",13.04
23725,"Young",7.09
23723,"Young",6.92
22897,"Pass",11.44
22894,"Pass",10.9
23244,"BW",13.14
22688,"Active",10.16
23251,"Pass",13.51
23724,"Young",6.99
23245,"BW",12.87
22184,"Active",8.96
23063,"Pass",8.1
23062,"Pass",7.89
23060,"Eval",8.1
23059,"Active",6.92
23061,"Pass",7.37
23069,"Eval",9.82
22701,"Active",11.92
22902,"Pass",7.43
23552,"Young",9.81
23727,"Young",8.79
23728,"Young",9.47
23726,"Young",9.65
23733,"Young",9.34
20978,"PossRetire",7.47
23554,"Young",10.24
19946,"Active",8.29
22900,"PossRetire",7.62
22515,"Active",7.42
23732,"Young",9.59
23558,"Young",10.34
23066,"Pass",8.29
23555,"Young",9.87
23557,"Young",9.92
23556,"Young",10.56
22517,"Active",9.06
23731,"Young",9.51
21784,"Active",6.89
23735,"Young",5.54
23075,"Pass",7.99
22907,"Eval",8.76
20499,"Active",6.51
23076,"Pass",8.53
23568,"Young",9.06
23257,"Pass",7.19
23079,"BW",7.81
23567,"Young",8.61
22903,"Eval",8.17
23560,"Young",9.7
23565,"Young",8.91
23078,"Pass",7.87
20006,"PossRetire",8.18
20988,"Active",5.94
23261,"Pass",6.13
23074,"Pass",7.45
23734,"Young",5.35
23263,"Pass",6.37
23561,"Young",8.8
22909,"Pass",7.58
23086,"Pass",6.62
22911,"Pass",8.76
23738,"Young",9.71
22531,"Active",8.95
23271,"Pass",3.42
23273,"Pass",3.76
23272,"Pass",3.08
22530,"Active",7.46
22367,"Active",4.79
23087,"Pass",6.43
23737,"Young",9.56
22913,"Pass",8.46
22366,"Active",4.77
23681,"Young",7.79
23085,"Pass",6.16
23082,"Pass",7.01
22914,"Pass",8.56
23268,"Eval",4.81
23088,"Pass",6.3
23091,"Pass",7.96
23274,"Pass",3.73
23083,"Pass",6.52
23745,"Young",11.16
23747,"Young",9.8
23748,"Young",10.2
23740,"Young",10.34
23580,"Young",8.88
23582,"Young",8.64
23742,"Young",10.42
23741,"Young",10.33
23743,"Young",10.68
23581,"Young",8.16
23746,"Young",10.33
23276,"Pass",8.47
22722,"Active",10.82
23279,"Pass",8.15
23749,"Young",10.03
21818,"Active",10.96
22725,"Active",11.45
21001,"Active",10.47
22919,"Pass",10.5
22544,"Active",9.49
23280,"Pass",7.77
23277,"Pass",9.41
20516,"Active",9.74
23750,"Young",10.19
22920,"Pass",8.79
22917,"Pass",7.78
22918,"Pass",7.88
22545,"Active",7.54
23585,"Young",11.44
23095,"Pass",7.31
23753,"Young",9.59
23094,"Eval",7.8
23751,"Young",10.21
22541,"Active",7.89
23097,"Pass",7.57
23584,"Young",11.45
22922,"Pass",7.38
23285,"BW",9.18
20529,"Active",9.19
20268,"PossRetire",9.27
22375,"Active",10.81
23282,"Pass",9
23281,"Pass",9.13
22994,"Pass",7.17
23102,"Pass",6.66
23100,"Pass",5.99
23756,"Young",10.77
23106,"Pass",6.72
23759,"Young",10.94
23105,"Pass",6.37
23757,"Young",10.98
22371,"Active",11.56
23284,"BW",8.66
23283,"Pass",8.06
23601,"Young",7.95
23598,"Young",7.48
23765,"Young",8.52
23299,"Pass",5.14
22556,"Active",10.38
23762,"Young",8.71
22557,"Active",11.63
23298,"Pass",5.48
23769,"Young",8.6
23599,"Young",7.7
23600,"Young",8
23768,"Young",8.61
23111,"Pass",6.66
23110,"Pass",6.91
23290,"BW",7.63
23286,"BW",8.99
23291,"Pass",7.62
23295,"Pass",7.55
21837,"PossRetire",6.39
23287,"Pass",8.3
22931,"Pass",6.28
23289,"Pass",8.03
23107,"Pass",6.75
21845,"Active",7.69
