"DogID","Class","Index21n"
22567,"Active",11.29
23605,"Young",10.1
16485,"PossRetire",13.69
22741,"Active",9.38
23607,"Young",10.22
22749,"Active",9.62
23301,"Pass",5.1
21258,"Active",10.85
23606,"Young",10.19
21466,"Active",7.32
23302,"Pass",4.88
23407,"Pass",9.69
23304,"Pass",5.97
23114,"Pass",8.18
23116,"Eval",8.86
23308,"Pass",6.11
22742,"Eval",10.35
23305,"Pass",6.02
23307,"Pass",5.76
23112,"Eval",8.18
23611,"Young",9.04
23420,"Pass",8.78
23414,"Pass",9.65
23612,"Young",9.16
23615,"Young",9.47
22754,"Active",6.88
20042,"Active",9.69
23616,"Young",7.99
21855,"Active",9.51
23614,"Young",9.56
23125,"Pass",8.45
23416,"Pass",10.07
22993,"Pass",8.3
23127,"Pass",8.19
23411,"Pass",9.36
22044,"Active",9.66
22204,"Active",10.15
22750,"Active",9.75
22948,"Pass",4.47
23610,"Young",9.53
23418,"Pass",9.48
23617,"Young",9.49
23126,"Eval",9.38
23123,"Eval",9.18
23119,"Pass",7.93
23120,"Pass",7.59
23419,"Pass",9.34
23122,"Pass",8.05
22793,"Active",9.7
23421,"Pass",7.39
23150,"Pass",8.08
22954,"Pass",10.48
22050,"Active",4.11
22761,"Active",12.28
23313,"Pass",5.75
22803,"Pass",9.59
22581,"Active",9.58
21479,"Active",8.58
22585,"Active",8.14
18676,"Active",12.7
23422,"Pass",6.72
23624,"Young",8.35
21481,"Active",8.54
23140,"Pass",7.3
21682,"Active",5.99
20054,"PossRetire",11.4
23425,"Pass",6.48
22955,"Pass",10.94
23621,"Young",8.48
23428,"Pass",7.78
23144,"Pass",7.78
23427,"Pass",6.58
23145,"Pass",8.68
23148,"Pass",8.13
23149,"Pass",7.35
23424,"Pass",7.81
22759,"Active",11.75
22951,"Pass",11.14
23147,"Eval",7.5
23623,"Young",7.71
23141,"Pass",8.11
22958,"Pass",11.8
22805,"Eval",9.81
23622,"Young",8.25
22810,"Eval",9.42
23625,"Young",8.6
23631,"Young",7.75
23320,"Pass",9.86
23321,"Pass",9.26
23434,"Pass",9.65
18693,"Active",12.75
22767,"Active",8.15
23167,"BW",6.81
23629,"Young",7.99
21048,"PossRetire",8.29
23156,"Eval",10.64
17626,"PossRetire",11.31
22815,"Active",12.02
23155,"Eval",10.01
23432,"Pass",8.08
23634,"Young",7.89
23633,"Young",8.02
23322,"Pass",8.87
22766,"Active",7.93
23323,"Pass",9.83
23317,"Pass",8.82
23319,"Pass",9.13
23153,"Pass",8.7
21204,"PossRetire",3.01
23318,"BW",9.27
23632,"Young",8.09
22813,"Active",11.08
23433,"Pass",9
21686,"Active",11.78
23630,"Young",8.05
22768,"Active",8.15
20337,"Active",8.93
21321,"Active",12.68
21683,"Active",9.99
23327,"Pass",8.83
22975,"Pass",6.93
23639,"Young",9.96
23325,"Pass",9.85
23440,"Pass",5.87
23165,"Pass",6.65
23643,"Young",10.81
23444,"Pass",6.05
23441,"Pass",5.95
23163,"Eval",7.74
23164,"Eval",8.64
23640,"Young",10.97
17574,"Active",-0.97
23166,"Pass",6.53
23638,"Young",10.34
22976,"Eval",8.44
19796,"PossRetire",9.65
23642,"Young",9.95
23443,"Pass",5.94
22971,"Pass",6.47
22977,"Pass",8.64
20341,"PossRetire",8.91
22230,"Active",2.17
23637,"Young",10.7
22411,"Active",9.3
23641,"Young",9.5
23324,"BW",9.59
22084,"Active",7.47
21874,"Active",9.63
23454,"Pass",9.13
23644,"Young",9.86
19266,"Active",10.29
23182,"Pass",6.92
21524,"Active",11.05
22611,"Active",10.03
23645,"Young",9.61
23647,"Young",10.7
23461,"Pass",9.5
23456,"Pass",8.97
23648,"Young",10.89
21526,"PossRetire",7.03
22981,"Pass",7.26
23455,"Pass",8.7
23649,"Young",10.31
23181,"Pass",7.37
23334,"Pass",4.26
23452,"Pass",8.89
23183,"Pass",8.53
22605,"Active",11.13
22987,"Eval",8.45
20615,"PossRetire",12.23
22606,"Active",10.31
23453,"Pass",9.22
23650,"Young",10.38
21694,"Active",11.36
22984,"Pass",7.81
22982,"Pass",5.98
23336,"Pass",3.55
23465,"Pass",7.79
23655,"Young",9.19
20695,"Active",8.14
23187,"Pass",5.06
23342,"Pass",10.36
23620,"Young",8.01
23338,"BW",11.16
23468,"Pass",8.37
22831,"Active",11.25
22832,"Active",11.16
22833,"Active",12.59
22989,"Pass",7
23657,"Young",7.96
23341,"Pass",11.3
21334,"Active",6.94
23462,"Pass",8.11
23189,"BW",9.41
23654,"Young",9.83
23656,"Young",8.7
23340,"Pass",11.02
23467,"Pass",7.41
23463,"Pass",7.88
21879,"Active",11.67
21062,"Active",12.94
23186,"Pass",6.41
23195,"Pass",9.68
23470,"Pass",7.35
23474,"Pass",8.28
23471,"Pass",8.27
23476,"Pass",8.18
23469,"Pass",8.5
23356,"Pass",7.54
22999,"Eval",6.79
23198,"Pass",9.09
22258,"Active",0.87
22445,"Active",9.85
20711,"Active",7.08
21542,"Active",3.25
23473,"Pass",7.93
19851,"Active",14.9
19854,"Active",13.44
23357,"Pass",7.94
22997,"Pass",4.77
23358,"Pass",7.3
23193,"Pass",9.84
22998,"Pass",3.82
23361,"Pass",7.16
23359,"Pass",7.13
18334,"PossRetire",10.17
23348,"Pass",7.02
23665,"Young",9.59
23481,"Pass",9.43
23664,"Young",9.92
23669,"Young",10.38
23672,"Young",10.55
23663,"Young",10.31
23666,"Young",9.65
20416,"Active",8.58
23670,"Young",9.78
23480,"Pass",9.14
21718,"Active",9.06
23479,"Pass",9.42
23006,"Pass",8.7
23205,"Pass",6.78
23486,"Pass",4.46
23367,"Pass",7.76
23676,"Young",10.17
23678,"Young",10.78
23485,"Pass",5.42
23484,"Pass",5.14
21728,"Active",9.79
23368,"Pass",8.16
23369,"Pass",7.76
21901,"Active",10.35
22850,"Active",7.81
23001,"Pass",9.45
23209,"Pass",6.89
19867,"Active",12.46
18000,"Active",10.87
23375,"Pass",7.5
20728,"PossRetire",10.35
23677,"Young",8.26
23002,"Pass",9.31
23371,"Pass",7.72
23207,"Pass",7.27
22122,"Active",5.07
23004,"Pass",10.02
23679,"Young",9.48
23000,"Pass",8.95
23673,"Young",10.45
22069,"Active",-2.83
22305,"Active",2.94
23492,"Pass",8.02
23389,"Pass",6.06
23683,"Young",7.43
23493,"Pass",6.76
23387,"Pass",6.85
23010,"Pass",7.77
23497,"Pass",8.09
23491,"Pass",7.9
21119,"Active",9.17
23011,"Pass",7.59
21573,"Active",3.22
23687,"Young",7.71
23496,"Pass",7.95
23495,"Pass",8.89
23385,"Pass",6.09
23012,"Pass",6.57
