"dog_GenerationCoefficient","dog_InbreedingCoefficient","altDogID"
8.327972412,0.046,"R2318"
8.699691772,0.039,"R4372"
8.856445313,0.156,"R189"
5.203125,0,"R223"
3.380859375,0,"R206"
7.063903809,0,"R256"
4.349609375,0,"R60"
6.70223999,0.015,"R2588"
6.70223999,0.015,"R2589"
9.324394226,0.093,"R2534"
7.420898438,0.101,"R88"
7.944763184,0,"R207"
8.554656982,0.043,"R3366"
8.759994507,0.045,"R3830"
6.706054688,0.134,"R36"
7.549804688,0.292,"R134"
5.203125,0,"R224"
8.856445313,0.156,"R190"
5.813781738,0.034,"R1377"
6.786376953,0,"R193"
8.759994507,0.045,"R3831"
7.595153809,0,"R1574"
3.380859375,0,"R208"
6.786376953,0,"R194"
7.595153809,0,"R1575"
8.678833008,0.088,"R1857"
6.961547852,0.052,"R1536"
5.813781738,0.034,"R1378"
8.699691772,0.039,"R4373"
7.944763184,0,"R209"
9.324394226,0.093,"R2535"
4.599975586,0,"R432"
7.459716797,0.038,"R158"
0,0,"R242"
8.960083008,0.088,"R1127"
8.399902344,0.209,"R72"
2.375,0,"R245"
7.377197266,0.108,"R191"
8.110427856,0.027,"R2552"
8.001403809,0,"R1544"
6.708984375,0.088,"R19"
7.147583008,0.064,"R1384"
6.792358398,0.002,"R258"
6.708984375,0.088,"R37"
5.938140869,0.128,"R2151"
8.110427856,0.027,"R2553"
8.001403809,0,"R1545"
8.131340027,0.007,"R2595"
8.064941406,0.136,"R118"
4.375,0.055,"R3"
8.989624023,0.086,"R4240"
8.538284302,0.035,"R3988"
7.510253906,0.068,"R120"
6.24609375,0.166,"R52"
8.3359375,0.214,"R160"
6.595703125,0.224,"R38"
7.105926514,0.003,"R3391"
7.256347656,0,"R226"
8.512573242,0.03,"R1593"
6.595703125,0.224,"R39"
8.512573242,0.03,"R1594"
7.256347656,0,"R227"
8.512573242,0.03,"R1595"
8.538284302,0.035,"R3989"
0,0,"R210"
6.595703125,0.224,"R40"
8.99887085,0.056,"R4383"
8.538284302,0.035,"R3990"
7.510253906,0.068,"R121"
6.790222168,0,"R2395"
7.510253906,0.068,"R122"
6.790222168,0,"R2396"
7.6015625,0.256,"R25"
8.512573242,0.03,"R1596"
0,0,"R180"
4.123046875,0,"R14590"
5.629211426,0,"R448"
7.510253906,0.068,"R123"
7.256347656,0,"R228"
5.557861328,0,"R279"
7.950683594,0.109,"R135"
7.950683594,0.109,"R136"
6.386230469,0.019,"R91"
7.64453125,0.289,"R59"
8.147460938,0.244,"R76"
8.580444336,0.131,"R177"
9.477172852,0.404,"R196"
9.477172852,0.404,"R197"
10.09220123,0.11,"R3246"
0,0,"R82"
6.961547852,0.052,"R700"
8.193840027,0.003,"R2735"
10.09220123,0.11,"R3247"
7.059051514,0.006,"R2870"
6.855041504,0,"R1738"
9.055915833,0.049,"R3998"
6.50390625,0.16,"R15"
7.595153809,0,"R612"
10.09220123,0.11,"R3248"
9.477172852,0.404,"R198"
7.595153809,0,"R613"
8.580444336,0.131,"R178"
0,0,"R14611"
6.719970703,0,"R179"
4.76171875,0.146,"R168"
5.441162109,0,"R288"
6.065063477,0,"R622"
7.907546997,0.013,"R4105"
7.013916016,0,"R984"
5.203125,0,"R151"
6.776000977,0,"R1409"
8.318054199,0.069,"R707"
8.176086426,0,"R1564"
6.065063477,0,"R623"
8.176086426,0,"R1565"
6.065063477,0,"R624"
4.305664063,0,"R125"
8.554656982,0.043,"R2174"
8.835105896,0.02,"R3732"
5.996398926,0,"R1604"
7.934921265,0.026,"R2607"
6.69921875,0.15,"R11"
7.104980469,0.111,"R138"
