"dog_GenerationCoefficient","dog_InbreedingCoefficient","altDogID"
7.934921265,0.026,"R2608"
7.094451904,0.002,"R2015"
7.228027344,0.112,"R93"
7.831085205,0.066,"R3281"
6.947265625,0.146,"R14615"
7.875007629,0.032,"R3400"
5.199951172,0,"R159"
4.282714844,0,"R248"
5.938140869,0.017,"R4265"
0,0,"R129"
4.305664063,0,"R126"
7.776916504,0.006,"R2039"
6.143798828,0.006,"R1612"
4.251953125,0,"R66"
6.69921875,0.15,"R18"
5.053222656,0,"R153"
9.344329834,0.083,"R3607"
8.403076172,0.117,"R169"
9.344329834,0.083,"R3608"
7.821655273,0.042,"R3147"
8.403076172,0.117,"R170"
6.538208008,0.035,"R1895"
9.134010315,0.05,"R4267"
7.86807251,0.024,"R1425"
8.403076172,0.117,"R167"
8.700439453,0.272,"R130"
5.439453125,0,"R67"
8.403076172,0.117,"R171"
7.701171875,0.247,"R95"
9.344329834,0.083,"R3609"
5.46194458,0,"R306"
9.672622681,0.091,"R4127"
7.863586426,0,"R1000"
7.863586426,0,"R1001"
6.810791016,0,"R1431"
7.312988281,0.039,"R97"
4.981201172,0,"R249"
7.6015625,0.256,"R43"
7.776916504,0.006,"R2378"
7.863586426,0,"R1002"
9.672622681,0.091,"R4128"
7.863586426,0,"R1003"
7.059051514,0.006,"R1440"
7.059051514,0.006,"R1441"
9.856430054,0.144,"R3422"
7.059051514,0.006,"R1442"
4.972381592,0,"R307"
7.962402344,0.206,"R139"
4.972381592,0,"R1007"
4.972381592,0,"R1008"
6.067626953,0,"R230"
7.962402344,0.206,"R140"
7.655273438,0.172,"R77"
8.106445313,0.21,"R86"
7.962402344,0.206,"R141"
7.6015625,0.256,"R28"
7.059051514,0.006,"R1443"
7.962402344,0.206,"R142"
8.106445313,0.21,"R85"
7.059051514,0.006,"R1444"
7.65234375,0.179,"R102"
7.6015625,0.256,"R29"
7.743103027,0.039,"R648"
8.327972412,0.046,"R2319"
7.743103027,0.039,"R649"
8.561035156,0.167,"R154"
6.580566406,0,"R182"
7.743103027,0.039,"R650"
8.554443359,0.204,"R104"
6.715148926,0,"R1917"
8.193756104,0.045,"R2197"
7.743103027,0.039,"R651"
7.651916504,0.004,"R2727"
4.797576904,0,"R1458"
8.92388916,0.124,"R199"
1,0,"R202"
5.053222656,0,"R173"
0,0,"R162"
8.478759766,0.108,"R479"
8.478759766,0.108,"R480"
7.658691406,0.261,"R144"
9.320701599,0.055,"R4440"
8.180488586,0.022,"R3306"
8.478759766,0.108,"R481"
7.399429321,0.051,"R2057"
9.127807617,0.255,"R174"
8.230041504,0.031,"R3310"
8.230041504,0.031,"R3311"
7.07421875,0.098,"R99"
8.508789063,0.325,"R163"
9.127807617,0.255,"R175"
7.399429321,0.051,"R2058"
7.399429321,0.051,"R3638"
7.399429321,0.051,"R2059"
9.085105896,0.023,"R2474"
7.105926514,0.003,"R1466"
7.399429321,0.051,"R2060"
7.399429321,0.051,"R3639"
9.127807617,0.255,"R176"
8.508789063,0.325,"R164"
7.399429321,0.051,"R3640"
7.105926514,0.003,"R1467"
7.07421875,0.098,"R100"
7.980484009,0.061,"R3072"
7.912475586,0.088,"R200"
5.203125,0,"R183"
2.66015625,0,"R3109"
9.495666504,0.107,"R2475"
8.614479065,0.065,"R3745"
0,0,"R14661"
6.352783203,0,"R497"
8.106445313,0.21,"R45"
7.980484009,0.061,"R3073"
8.157546997,0.019,"R2662"
9.495666504,0.107,"R2476"
9.439834595,0.028,"R3902"
6.792358398,0.002,"R259"
3.375,0,"R155"
6.611328125,0.135,"R31"
7.699707031,0.207,"R79"
7.4246521,0,"R2488"
9.641418457,0.133,"R3772"
7.023239136,0.066,"R2670"
7.829528809,0,"R2074"
4.850585938,0,"R252"
0,0,"R203"
6.630554199,0.001,"R1178"
7.4246521,0,"R2489"
7.387664795,0.01,"R2933"
7.829528809,0,"R2075"
9.641418457,0.133,"R3773"
7.023239136,0.066,"R2671"
7.655273438,0.172,"R48"
9.641418457,0.133,"R3774"
3,0,"R498"
1,0,"R1497"
0,0,"R14674"
8.956001282,0.078,"R3189"
5.199951172,0,"R132"
6.50390625,0.16,"R22"
7.023239136,0.066,"R2672"
7.577728271,0.013,"R1327"
7.559082031,0.102,"R185"
8.956001282,0.078,"R3190"
3.720581055,0,"R1043"
6.630554199,0.001,"R1179"
8.050834656,0.097,"R3667"
6.206542969,0,"R1943"
7.778442383,0.012,"R2079"
7.511291504,0.002,"R1659"
7.705917358,0.041,"R2346"
6.206542969,0,"R1944"
6.350585938,0,"R904"
6.206542969,0,"R1945"
9.179756165,0.043,"R2940"
7.511291504,0.002,"R1660"
9.179756165,0.043,"R2941"
7.420898438,0.101,"R106"
8.050834656,0.097,"R3668"
7.420898438,0.101,"R107"
5.201538086,0,"R201"
6.786376953,0,"R253"
7.778442383,0.012,"R2080"
8.106445313,0.21,"R50"
8.157592773,0.02,"R2799"
6.502685547,0,"R186"
7.420898438,0.101,"R108"
7.85848999,0.031,"R4174"
8.157592773,0.02,"R2800"
2.333007813,0,"R14682"
4.71875,0.07,"R10"
6.565429688,0.03,"R110"
5.078125,0.043,"R9"
8.322753906,0.036,"R1808"
8.882324219,0.202,"R187"
6.817626953,0,"R370"
5.339416504,0,"R1831"
7.85660553,0.108,"R3204"
6.941162109,0,"R231"
8.882324219,0.202,"R188"
1,0,"R195"
7.073791504,0.005,"R2683"
8.549179077,0.114,"R4060"
0,0,"R181"
7.154846191,0.033,"R3086"
7.520629883,0.006,"R1667"
6.941162109,0,"R241"
6.941162109,0,"R232"
6.3203125,0.172,"R6"
0,0,"R233"
6.941162109,0,"R234"
6.833007813,0.095,"R54"
6.792358398,0.002,"R260"
5.053222656,0,"R112"
2.5,0,"R5"
0,0,"R145"
2.333007813,0,"R146"
5.053222656,0,"R113"
7.878662109,0,"R1498"
4.393188477,0,"R376"
8.715179443,0.048,"R3928"
2.333007813,0,"R70"
9.258422852,0.202,"R211"
8.106445313,0.21,"R47"
5.053222656,0,"R114"
0,0,"R862"
8.40625,0.216,"R116"
6.229858398,0,"R237"
0,0,"R172"
7.829528809,0,"R1957"
7.829528809,0,"R1958"
8.678833008,0.088,"R1067"
4.51953125,0.034,"R71"
9.641418457,0.133,"R3775"
8.819747925,0.065,"R2958"
8.808349609,0.201,"R156"
6.229858398,0,"R238"
0,0,"R14710"
8.40625,0.216,"R117"
6.229858398,0,"R239"
6.229858398,0,"R240"
7.829528809,0,"R1959"
5.199951172,0,"R133"
8.678833008,0.088,"R1068"
8.678833008,0.088,"R1069"
5.65625,0.277,"R2"
0,0,"R166"
4.9140625,0,"R83"
1.5,0,"R255"
0,0,"R470"
7.595153809,0,"R538"
3.03125,0,"R539"
9.361911774,0.033,"R3542"
8.819747925,0.065,"R2959"
7.821655273,0.042,"R3148"
8.819747925,0.065,"R2960"
8.808349609,0.201,"R157"
9.481178284,0.048,"R2359"
8.235687256,0,"R547"
8.819087982,0.017,"R3696"
6.313781738,0.084,"R1693"
4.53125,0,"R1211"
4.40625,0,"R184"
3,0,"R305"
7.459854126,0.015,"R2526"
8.960083008,0.088,"R799"
8.960083008,0.088,"R800"
6.313781738,0.084,"R1694"
4.53125,0,"R1212"
6.313781738,0.084,"R1695"
4.53125,0,"R1213"
8.960083008,0.088,"R801"
8.235687256,0,"R548"
4.53125,0,"R1214"
4.53125,0,"R1215"
4.53125,0,"R1216"
4.6875,0.063,"R8"
6.313781738,0.084,"R1696"
6.313781738,0.084,"R1697"
8.235687256,0,"R549"
4.46875,0.016,"R165"
9.596374512,0.247,"R213"
6.961547852,0.052,"R403"
9.596374512,0.247,"R214"
9.596374512,0.247,"R215"
9.596374512,0.247,"R216"
9.856430054,0.144,"R1700"
8.554656982,0.043,"R2373"
6.693359375,0.144,"R33"
8.496307373,0.015,"R2839"
8.01499176,0.019,"R3226"
8.584739685,0.034,"R3466"
8.554656982,0.043,"R2374"
9.856430054,0.144,"R1701"
9.856430054,0.144,"R1702"
6.693359375,0.144,"R34"
5.441162109,0,"R217"
8.001312256,0,"R1085"
8.001312256,0,"R1086"
8.01499176,0.019,"R3227"
8.675079346,0.091,"R3822"
8.01499176,0.019,"R3228"
7.270629883,0.006,"R1368"
7.459854126,0.015,"R2527"
5.963867188,0.035,"R56"
3.234375,0,"R825"
6.985076904,0.004,"R1231"
6.985076904,0.004,"R1232"
7.270629883,0.006,"R1369"
7.104980469,0.111,"R147"
7.671081543,0.002,"R218"
7.671081543,0.002,"R219"
7.860778809,0,"R2271"
4.346679688,0,"R58"
7.671081543,0.002,"R220"
7.671081543,0.002,"R221"
6.810791016,0,"R244"
4.779541016,0,"R222"
7.549804688,0.292,"R14735"
8.661682129,0.101,"R2277"
7.656234741,0.03,"R2985"
8.759994507,0.045,"R3832"
5.631225586,0,"R262"
7.4246521,0,"R2139"
9.95242691,0.067,"R3970"
3.600769043,0,"R425"
4.972381592,0,"R1244"
8.699691772,0.039,"R4374"
8.035064697,0.046,"R3110"
9.324394226,0.093,"R2536"
9.417842865,0.121,"R14736"
7.656234741,0.03,"R2986"
8.847457886,0.066,"R4519"
8.380599976,0.06,"R3237"
6.961547852,0.052,"R1537"
8.859634399,0.062,"R5321"
8.644546509,0.031,"R4448"
3.720581055,0,"R1717"
10.01978683,0.09,"R5181"
7.656234741,0.03,"R2987"
8.767333984,0.056,"R1935"
9.95242691,0.067,"R3971"
9.95242691,0.067,"R3972"
6.040222168,0,"R1095"
7.52772522,0.017,"R2386"
4.835540771,0,"R840"
8.759994507,0.045,"R3833"
7.428710938,0.019,"R1997"
9.324394226,0.093,"R2537"
5.537109375,0,"R61"
8.193840027,0.003,"R3718"
8.067504883,0.002,"R3555"
8.554656982,0.043,"R3367"
4.835540771,0,"R841"
0,0,"R14737"
8.380599976,0.06,"R3238"
3.720581055,0,"R1718"
8.035064697,0.046,"R3111"
9.371879578,0.055,"R4814"
3.720581055,0,"R1719"
8.631267548,0.008,"R5457"
8.759994507,0.045,"R3834"
4.972381592,0,"R1245"
6.706054688,0.134,"R14738"
7.52772522,0.017,"R2387"
3.600769043,0,"R426"
8.847457886,0.066,"R4520"
9.520423889,0.062,"R5099"
8.699691772,0.039,"R4375"
7.4246521,0,"R2140"
8.847457886,0.066,"R4521"
3.720581055,0,"R1720"
7.420898438,0.101,"R89"
8.035064697,0.046,"R3112"
3.600769043,0,"R427"
8.035064697,0.046,"R3113"
6.961547852,0.052,"R1538"
6.701400757,0.049,"R3492"
8.847457886,0.066,"R4522"
7.656234741,0.03,"R2988"
9.745815277,0.036,"R4954"
8.193840027,0.003,"R2723"
7.595153809,0,"R1576"
7.656234741,0.03,"R2989"
9.520423889,0.062,"R5100"
8.067504883,0.002,"R3556"
8.193840027,0.003,"R3719"
7.595153809,0,"R1577"
4.972381592,0,"R1246"
5.827270508,0,"R1581"
8.847457886,0.066,"R4523"
7.656234741,0.03,"R2990"
10.12487411,0.066,"R4674"
5.631225586,0,"R263"
3.720581055,0,"R1721"
8.859634399,0.062,"R5322"
8.271484375,0.129,"R246"
7.4246521,0,"R2141"
7.428710938,0.019,"R1998"
8.306121826,0.053,"R590"
8.067504883,0.002,"R3557"
3.600769043,0,"R428"
7.4246521,0,"R2142"
9.371879578,0.055,"R4815"
7.656234741,0.03,"R2991"
9.95242691,0.067,"R3973"
8.067504883,0.002,"R3558"
6.826599121,0.008,"R2847"
8.859634399,0.062,"R5323"
8.759994507,0.045,"R3835"
10.12487411,0.066,"R4675"
8.067504883,0.002,"R14739"
8.678833008,0.088,"R1858"
8.193840027,0.003,"R2724"
8.847457886,0.066,"R4524"
4.835540771,0,"R842"
9.277359009,0.051,"R4915"
6.70223999,0.015,"R2590"
8.859634399,0.062,"R5324"
8.554656982,0.043,"R3368"
7.52772522,0.017,"R2388"
6.040222168,0,"R1096"
3.600769043,0,"R429"
8.796592712,0.059,"R3499"
6.70223999,0.015,"R2591"
6.715698242,0.028,"R683"
9.520423889,0.062,"R5101"
7.428710938,0.019,"R1999"
8.661682129,0.101,"R2278"
10.12487411,0.066,"R4676"
8.380599976,0.06,"R3239"
8.829265594,0.071,"R4824"
9.520423889,0.062,"R5102"
6.826599121,0.008,"R2848"
9.745815277,0.036,"R4955"
9.371879578,0.055,"R4816"
6.701400757,0.049,"R3493"
9.57302475,0.053,"R4740"
9.371879578,0.055,"R4817"
8.661682129,0.101,"R2279"
8.380599976,0.06,"R3240"
9.745815277,0.036,"R4956"
3.600769043,0,"R430"
7.428710938,0.019,"R2000"
4.835540771,0,"R903"
9.520423889,0.062,"R5103"
8.193840027,0.003,"R3720"
9.417842865,0.121,"R14740"
6.826599121,0.008,"R2849"
3.720581055,0,"R1722"
10.01978683,0.09,"R5182"
8.661682129,0.101,"R2280"
4.835540771,0,"R843"
9.95242691,0.067,"R3974"
7.595153809,0,"R1578"
2.375,0,"R14741"
0,0,"R14742"
7.656234741,0.03,"R2992"
10.12487411,0.066,"R4677"
9.332542419,0.067,"R4474"
9.207134247,0.042,"R4488"
7.4246521,0,"R2143"
9.95242691,0.067,"R3975"
9.520423889,0.062,"R5104"
5.631225586,0,"R264"
6.826599121,0.008,"R2850"
8.193840027,0.003,"R2725"
8.678833008,0.088,"R1859"
9.520423889,0.062,"R5105"
8.759994507,0.045,"R3836"
4.835540771,0,"R844"
9.324394226,0.093,"R2538"
10.12487411,0.066,"R4678"
8.067504883,0.002,"R3559"
10.12487411,0.066,"R4679"
9.745815277,0.036,"R4957"
8.859634399,0.062,"R5325"
8.847457886,0.066,"R4525"
9.371879578,0.055,"R4818"
6.961547852,0.052,"R1539"
9.324394226,0.093,"R2539"
3.600769043,0,"R431"
9.371879578,0.055,"R4819"
7.428710938,0.019,"R2001"
9.324394226,0.093,"R2540"
9.95242691,0.067,"R3976"
7.4246521,0,"R2144"
6.826599121,0.008,"R2851"
4.835540771,0,"R845"
6.826599121,0.008,"R2852"
8.859634399,0.062,"R5326"
7.595153809,0,"R1579"
9.651416779,0.052,"R4682"
9.745815277,0.036,"R4958"
9.95242691,0.067,"R3977"
6.70223999,0.015,"R2592"
4.835540771,0,"R846"
10.01978683,0.09,"R5183"
8.306121826,0.053,"R591"
8.193840027,0.003,"R3721"
8.306121826,0.053,"R592"
8.859634399,0.062,"R5327"
9.95242691,0.067,"R3978"
8.358615875,0.062,"R4256"
9.324394226,0.093,"R2541"
9.371879578,0.055,"R4820"
7.4246521,0,"R2145"
8.193840027,0.003,"R2726"
6.040222168,0,"R1097"
8.035064697,0.046,"R3114"
4.972381592,0,"R1247"
3.720581055,0,"R1723"
8.035064697,0.046,"R3115"
8.380599976,0.06,"R3241"
7.428710938,0.019,"R2002"
7.4246521,0,"R2146"
8.554656982,0.043,"R3369"
6.961547852,0.052,"R1540"
8.554656982,0.043,"R3370"
7.4246521,0,"R2147"
8.859634399,0.062,"R5328"
5.813781738,0.034,"R1379"
6.040222168,0,"R1098"
7.428710938,0.019,"R2003"
8.554656982,0.043,"R3371"
7.656234741,0.03,"R2993"
6.715698242,0.028,"R684"
8.699691772,0.039,"R4376"
8.678833008,0.088,"R1860"
9.371879578,0.055,"R4821"
8.067504883,0.002,"R3560"
6.961547852,0.052,"R1541"
6.484161377,0.011,"R14743"
8.661682129,0.101,"R2281"
8.554656982,0.043,"R3372"
8.699691772,0.039,"R4377"
4.835540771,0,"R847"
8.380599976,0.06,"R3242"
7.428710938,0.019,"R2004"
4.972381592,0,"R1248"
6.826599121,0.008,"R2853"
8.139846802,0.041,"R4779"
4.972381592,0,"R1249"
6.826599121,0.008,"R2854"
5.563903809,0,"R257"
6.701400757,0.049,"R3494"
10.12487411,0.066,"R4680"
6.961547852,0.052,"R1542"
8.035064697,0.046,"R3116"
6.701400757,0.049,"R3495"
7.428710938,0.019,"R2005"
9.371879578,0.055,"R4822"
8.759994507,0.045,"R3837"
8.306121826,0.053,"R593"
9.371879578,0.055,"R4823"
9.95242691,0.067,"R3979"
6.715698242,0.028,"R685"
3.720581055,0,"R1724"
8.859634399,0.062,"R5329"
3.720581055,0,"R1725"
7.52772522,0.017,"R2389"
9.745815277,0.036,"R4959"
8.306121826,0.053,"R594"
8.380599976,0.06,"R3243"
6.961547852,0.052,"R1543"
8.067504883,0.002,"R3561"
4.835540771,0,"R848"
8.699691772,0.039,"R4378"
6.701400757,0.049,"R3496"
7.595153809,0,"R1580"
8.661682129,0.101,"R2282"
10.01978683,0.09,"R5184"
8.847457886,0.066,"R4526"
8.306121826,0.053,"R595"
8.380599976,0.06,"R3244"
8.067504883,0.002,"R3562"
6.70223999,0.015,"R2593"
6.701400757,0.049,"R3497"
8.859634399,0.062,"R5330"
5.813781738,0.034,"R1380"
8.380599976,0.06,"R3245"
8.661682129,0.101,"R2283"
6.826599121,0.008,"R2855"
4.972381592,0,"R1250"
7.4246521,0,"R2148"
5.631225586,0,"R265"
6.701400757,0.049,"R3498"
3.720581055,0,"R1726"
6.040222168,0,"R1099"
8.554656982,0.043,"R3373"
3.720581055,0,"R1727"
6.040222168,0,"R1100"
3.6015625,0,"R596"
5.827270508,0,"R1582"
8.032562256,0,"R1153"
9.095516205,0.042,"R3838"
8.628448486,0.043,"R4527"
4.114929199,0,"R961"
10.04219437,0.09,"R5186"
7.235076904,0.011,"R1728"
8.06451416,0.026,"R2856"
9.374523163,0.06,"R5106"
6.484161377,0.011,"R14744"
10.04219437,0.09,"R5187"
7.235076904,0.011,"R1729"
9.095516205,0.042,"R3839"
9.0574646,0.031,"R5003"
9.095516205,0.042,"R3840"
10.04219437,0.09,"R14745"
9.095516205,0.042,"R3841"
7.235076904,0.011,"R1730"
7.822631836,0.059,"R3563"
8.986572266,0.056,"R4379"
4.114929199,0,"R962"
8.868041992,0.03,"R2284"
5.827270508,0,"R1583"
8.110427856,0.027,"R2554"
8.110427856,0.027,"R2555"
6.839416504,0,"R1861"
8.868041992,0.03,"R2285"
8.986572266,0.056,"R4380"
7.147583008,0.064,"R1385"
6.839416504,0,"R1862"
5.439331055,0,"R2994"
7.147583008,0.064,"R1386"
9.651416779,0.052,"R4683"
8.46131897,0.028,"R3052"
5.938140869,0.128,"R2152"
7.474914551,0.031,"R686"
9.651416779,0.052,"R4684"
9.374523163,0.06,"R5107"
7.474914551,0.031,"R687"
9.651416779,0.052,"R4685"
9.277359009,0.051,"R4916"
8.001403809,0,"R1546"
4.599975586,0,"R433"
8.796592712,0.059,"R3500"
7.235076904,0.011,"R1731"
5.439331055,0,"R2995"
7.822631836,0.059,"R3564"
8.064941406,0.136,"R119"
6.839416504,0,"R1863"
4.599975586,0,"R434"
9.095516205,0.042,"R3842"
5.938140869,0.128,"R2153"
7.235076904,0.011,"R1732"
6.112792969,0.035,"R62"
9.361911774,0.033,"R4960"
8.796592712,0.059,"R3501"
8.164840698,0.035,"R4322"
8.628448486,0.043,"R4528"
8.977043152,0.032,"R3117"
4.815612793,0,"R1252"
10.33436203,0.143,"R5331"
5.938140869,0.128,"R2154"
3.6015625,0,"R597"
9.365997314,0.051,"R4795"
5.827270508,0,"R1584"
3.720581055,0,"R1044"
6.146713257,0.002,"R3249"
8.989624023,0.086,"R4241"
5.827270508,0,"R1585"
4.599975586,0,"R435"
9.173816681,0.025,"R4992"
10.33436203,0.143,"R5332"
8.06451416,0.026,"R2857"
7.147583008,0.064,"R1387"
8.989624023,0.086,"R4242"
5.439331055,0,"R2996"
9.0574646,0.031,"R5004"
6.146713257,0.002,"R3250"
8.399902344,0.209,"R73"
9.095516205,0.042,"R3843"
5.810852051,0,"R3980"
5.827270508,0,"R1586"
7.474914551,0.031,"R688"
5.810852051,0,"R3981"
8.530227661,0.028,"R2391"
9.361911774,0.033,"R4961"
4.114929199,0,"R963"
5.439331055,0,"R2997"
7.147583008,0.064,"R1388"
10.04219437,0.09,"R5188"
8.381759644,0.041,"R3374"
8.986572266,0.056,"R4381"
8.131340027,0.007,"R2596"
4.815612793,0,"R1253"
4.114929199,0,"R964"
7.147583008,0.064,"R1389"
9.095516205,0.042,"R3844"
5.938140869,0.128,"R2155"
6.146713257,0.002,"R3251"
9.095516205,0.042,"R3845"
5.827270508,0,"R1587"
3.6015625,0,"R598"
8.06451416,0.026,"R2858"
8.829265594,0.071,"R4825"
8.001403809,0,"R1547"
9.095516205,0.042,"R3846"
8.131340027,0.007,"R2597"
8.989624023,0.086,"R4243"
4.114929199,0,"R965"
8.381759644,0.041,"R3375"
5.428222656,0,"R268"
7.235076904,0.011,"R1733"
8.989624023,0.086,"R4244"
7.235076904,0.011,"R1734"
6.484161377,0.011,"R14746"
5.428222656,0,"R269"
5.827270508,0,"R1588"
6.146713257,0.002,"R3252"
6.968933105,0.036,"R14747"
0,0,"R14748"
8.001403809,0,"R1548"
5.439331055,0,"R2998"
5.827270508,0,"R1589"
5.428222656,0,"R270"
8.06451416,0.026,"R2859"
8.868041992,0.03,"R2286"
7.235076904,0.011,"R1735"
8.06451416,0.026,"R2860"
8.381759644,0.041,"R3376"
6.839416504,0,"R1864"
5.428222656,0,"R271"
5.827270508,0,"R1590"
5.428222656,0,"R272"
4.396179199,0,"R1103"
8.986572266,0.056,"R4382"
5.428222656,0,"R273"
8.796592712,0.059,"R3502"
8.796592712,0.059,"R3503"
6.839416504,0,"R1865"
8.977043152,0.032,"R3118"
6.708984375,0.088,"R14749"
5.810852051,0,"R3982"
8.628448486,0.043,"R4529"
5.827270508,0,"R1591"
6.146713257,0.002,"R3253"
7.147583008,0.064,"R1390"
7.474914551,0.031,"R689"
3.6015625,0,"R599"
8.06451416,0.026,"R2861"
10.33436203,0.143,"R5333"
4.396179199,0,"R1104"
8.530227661,0.028,"R14750"
7.822631836,0.059,"R3565"
9.651416779,0.052,"R4686"
3.6015625,0,"R600"
8.829265594,0.071,"R4826"
8.06451416,0.026,"R2862"
7.474914551,0.031,"R690"
8.796592712,0.059,"R3504"
6.968933105,0.036,"R14751"
8.868041992,0.03,"R2287"
8.381759644,0.041,"R3377"
10.33436203,0.143,"R5334"
7.822631836,0.059,"R3566"
6.968933105,0.036,"R14752"
6.146713257,0.002,"R3254"
6.839416504,0,"R1866"
8.131340027,0.007,"R2598"
5.428222656,0,"R274"
8.001403809,0,"R1549"
6.968933105,0.036,"R14753"
4.396179199,0,"R1105"
5.428222656,0,"R275"
4.599975586,0,"R436"
8.796592712,0.059,"R3505"
5.810852051,0,"R3983"
8.06451416,0.026,"R2863"
5.810852051,0,"R3984"
8.796592712,0.059,"R3506"
10.33436203,0.143,"R5335"
8.381759644,0.041,"R3378"
4.396179199,0,"R1106"
8.977043152,0.032,"R3119"
6.146713257,0.002,"R3255"
8.868041992,0.03,"R2288"
8.530227661,0.028,"R2392"
8.765468597,0.037,"R4947"
7.474914551,0.031,"R691"
8.829265594,0.071,"R4827"
6.839416504,0,"R1867"
8.989624023,0.086,"R4245"
8.796592712,0.059,"R3507"
4.114929199,0,"R966"
3.6015625,0,"R601"
8.989624023,0.086,"R4246"
3.6015625,0,"R602"
8.868041992,0.03,"R2289"
7.822631836,0.059,"R3567"
7.235076904,0.011,"R14754"
9.361911774,0.033,"R4962"
9.651416779,0.052,"R4687"
7.235076904,0.011,"R1736"
5.428222656,0,"R276"
5.428222656,0,"R277"
7.147583008,0.064,"R1391"
7.474914551,0.031,"R692"
8.868041992,0.03,"R2290"
4.114929199,0,"R967"
3.6015625,0,"R603"
6.839416504,0,"R1868"
5.810852051,0,"R3985"
4.993896484,0,"R14755"
5.439331055,0,"R2999"
9.374523163,0.06,"R5108"
2,0,"R14756"
6.146713257,0.002,"R3256"
10.04219437,0.09,"R5189"
8.110427856,0.027,"R2556"
9.361911774,0.033,"R4963"
6.839416504,0,"R1869"
9.374523163,0.06,"R5109"
9.651416779,0.052,"R4688"
8.796592712,0.059,"R3508"
8.868041992,0.03,"R2291"
4.815612793,0,"R1254"
5.938140869,0.128,"R2156"
5.827270508,0,"R1592"
9.651416779,0.052,"R4689"
7.235076904,0.011,"R1737"
8.131340027,0.007,"R2599"
5.810852051,0,"R3986"
8.110427856,0.027,"R2557"
6.839416504,0,"R1870"
9.095516205,0.042,"R3847"
6.968933105,0.036,"R14757"
0,0,"R14758"
5.428222656,0,"R278"
7.822631836,0.059,"R3568"
